Complexity,Loss,Equation
1,1.2913195,"2.367226"
3,0.6735166,"3.4357522 / CH"
5,0.4972438,"(SAVI / CH) * 7.204342"
7,0.36601064,"((NIR + FC) / CH) * 4.738326"
9,0.33876008,"((FC + NIR) / CH) * (6.6314707 - MSR)"
11,0.32043913,"(7.2062063 - MSR) * (((FC + NIR) / CH) - 0.06196281)"
17,0.30782735,"((EVI2 + (FC + NDVI)) * ((5.454263 / (NDVI * (CH + 0.98434556))) + 0.10933821)) + -2.6964731"
19,0.3075113,"((((4.213579 / (NDVI * (CH + 1.1178087))) + 0.045499135) * (NDVI + (FC + EVI2))) + -1.9870347) * 1.422695"
21,0.29862863,"(((c_depth * -0.21988282) + (9.330141 / (CH + (NDVI * (NDVI + 1.2565165))))) * ((NDVI + NIR) + FC)) + -1.9264826"
23,0.2969255,"((NDVI + (FC + NIR)) * ((10.238199 / (((NDVI + 1.4143624) * NDVI) + CH)) + ((c_depth + NDVI) * -0.17766413))) + -2.081547"
25,0.29461285,"(((NDVI + NIR) + FC) * (EVI2 + (2.8822355 / (NDVI * ((Blue / (FC * 4.700804)) + (CH + 0.2817182)))))) + (-1.5699338 - Red)"
27,0.292111,"(EVI2 + ((((NDVI + NIR) + FC) / (((((FC + Blue) / 4.4541183) / FC) * 0.54788303) + ((CH + 0.43346536) * NDVI))) * 4.058893)) + -2.0608041"
29,0.26677012,"(((7.594372 / (((((CH * (CH + FC)) * ((SAVI / TSAVIm) + (EVI2 - 0.996224))) * CH) * (-0.14256802 / FC)) + NDVI)) + -1.972334) * 0.33877388) - -1.3813033"
31,0.26261815,"(((7.6248918 / (((((((CH * CH) + FC) * ((((SAVI / TSAVIm) + EVI2) - 0.97150695) + -0.17828768)) * CH) * -0.12405806) / FC) + NDVI)) + -1.9552088) * 0.37278333) - -1.3408169"
33,0.26211303,"((((7.6243515 / (((CH + FC) * ((CH * CH) * ((-0.12211661 / FC) * ((EVI2 / TSAVIm) + ((EVI2 - 0.9429248) + -0.1497076))))) + NDVI)) + -1.9541128) * 0.3559732) - -1.3441018) - Blue"
37,0.261141,"((((NDVIf - -1.640533) + 1.5984098) * (((12.706603 / (NDVI + ((CH * CH) * (((((SAVI / TSAVIm) + EVI2) - 0.7997834) + -0.29166242) * ((-0.136755 / FC) * CH))))) + -2.302973) * 0.055906307)) - -1.3436445) + -0.24584302"
39,0.2605572,"(((((-1.1685174 / -2.4316638) - -1.640533) + 1.5984098) * (((12.706603 / (NDVI + ((CH * CH) * ((((SAVI / TSAVIm) + (EVI2 - 0.7997834)) + -0.29166242) * ((-0.136755 / FC) * CH))))) + -2.302973) * 0.055906307)) - -1.3436445) + -0.24584302"
43,0.25829783,"(((12.696769 / (NDVI + ((CH * CH) * ((((SAVI / TSAVIm) + (EVI2 - 0.73177785)) + -0.22365688) * (CH * (-0.15440822 / FC)))))) + -2.3171656) * (((NDVIf - -0.20621562) + 1.5587878) * 0.1013363)) - ((SAVI / TSAVIm) + ((NDVIf + -0.5037427) - 0.7829079))"
47,0.25718868,"(((12.696769 / (NDVI + ((((CH * CH) * ((((SAVI / TSAVIm) + EVI2) - 0.73177785) + -0.22365688)) * (CH * -0.15440822)) / FC))) + -2.3171656) * (0.1013363 * ((NDVIf - -0.20621562) + 1.5587878))) - (((-0.08459119 + EVI2) / TSAVIm) + ((NDVIf - 0.7829079) + (-0.27478704 + -0.22895569)))"
