Complexity,Loss,Equation
1,1.2913196,"2.3674154"
3,0.6735165,"3.4357746 / CH"
5,0.44889992,"-2.5136042 / (FC - CH)"
7,0.3733778,"((FC - CH) * 2.3527174) + 5.1842365"
9,0.34930187,"((FC / NDVIf) + (1.9049733 - CH)) * 2.240241"
11,0.33380628,"(NIR - -1.7266134) * (((FC / NDVIf) - CH) + 1.9524273)"
13,0.33015665,"((FC / NDVIf) + ((2.0134184 - CH) / 0.88054246)) * (NIR - -1.5117892)"
15,0.3217416,"((3.5071836 - CH) * (((FC / NDVIf) + 1.0870833) - CH)) + (EVI2 + 1.1792709)"
17,0.32051367,"(((EVI2 + 2.913596) - CH) * ((1.0841526 - CH) + (FC / NDVIf))) + (EVI2 + 1.1695529)"
19,0.31850147,"(EVI2 + (((((FC / NDVIf) + 1.5702277) - CH) - (0.2566685 / CH)) * (3.4546466 - CH))) + 0.63616914"
21,0.29626676,"((((FC / 0.39415228) - CH) + 1.308886) * ((CH * -3.2027214) + ((2.1480877 / (FC - CH)) + 8.562174))) + 1.2405506"
23,0.28683898,"((((FC / 0.4199744) + 1.3308445) - CH) * (((EVI2 + -3.6888723) * CH) + ((2.267303 / (FC - CH)) + 8.60765))) + 1.248736"
25,0.2787804,"(((2.6158419 / (FC - CH)) + (((FC + -3.5675821) * CH) + 9.411352)) * (((FC / NDVIf) - CH) + (EVI2 + 0.6053287))) + 1.5545876"
27,0.27302507,"((((((EVI2 + FC) + -4.580173) * CH) + (2.529571 / (FC - CH))) + 9.366269) * (((FC / NDVIf) - CH) + (FC - -1.2332908))) + 1.1749064"
29,0.26856294,"NDVI + (((((2.5841672 / (FC - CH)) + (CH * ((NIR + -4.6382647) + FC))) + 9.557192) * ((((FC / NDVIf) - CH) + FC) - -1.2793797)) + NDVIf)"
31,0.26654485,"NDVI + (((((FC + (FC / NDVIf)) - CH) - -1.2256995) * ((((FC + (NIR + -4.4692655)) * CH) + (2.4322069 / (FC - (CH - Blue)))) + 9.373458)) + 0.4227315)"
33,0.26487896,"NDVI + ((NDVI + ((((FC - -1.2196331) + (FC / NDVIf)) - CH) * ((2.5005467 / (Blue + (FC - CH))) + (((FC + (NIR + -4.5938554)) * CH) + 9.589181)))) + -0.33130562)"
35,0.25902823,"((((FC - -1.2543225) + ((FC / NDVIf) - CH)) * (((2.809158 / (FC - CH)) + 10.415171) + (CH * (FC + (SAVI + -5.2910323))))) + (FC + 1.0990353)) - ((TSAVIg * Blue) * TSAVIg)"
37,0.2589117,"((((FC / NDVIf) - CH) + (FC - -1.2628019)) * ((CH * (SAVI + (FC + -5.243931))) + ((2.7853467 / (FC - CH)) + 10.316079))) + ((FC + 1.0819095) + (Blue - ((TSAVIg * Blue) * TSAVIg)))"
39,0.2578231,"EVI2 + (((((FC / NDVIf) - CH) + (FC / FC)) * ((CH * -3.3490498) + ((((4.380731 / (FC - CH)) + (((-0.027641568 / FC) + 3.7011461) + (NIR * 5.1451225))) * (FC + 0.38978794)) + 6.3720803))) + 1.2747214)"
41,0.253223,"EVI2 + ((((((((((NIR * 5.1741943) + (3.9755628 / (FC - CH))) + 3.0246673) / NDVIf) + (-0.13686605 / FC)) * (FC + Green)) + (CH * -3.3902738)) + 6.6284404) * (((FC / NDVIf) + (FC / FC)) - CH)) + 1.2652205)"
43,0.25136468,"EVI2 + ((((CH * -3.324369) + ((((-0.13963743 / FC) + (((NIR * 5.222887) + ((3.805828 / (FC - CH)) + (3.3324897 - EVI))) / NDVIf)) * (FC + Green)) + 6.591387)) * ((FC / NDVIf) + ((FC / FC) - CH))) + 1.2720138)"
45,0.25015658,"OSAVI + (((((FC / FC) - CH) + (FC / NDVIf)) * ((((CH * -3.4022121) + (-0.01005373 / FC)) + 6.5077376) + (((((NIR * 4.975689) + 3.5028982) - EVI) + (3.8565376 / (FC - CH))) * ((Green + FC) / NDVIf)))) + (EVI2 + 0.7032575))"
47,0.2490426,"((((((FC / NDVIf) + (FC / FC)) - CH) * (((CH * -3.4946923) + 6.818078) + (((((3.4621868 - (EVI + (0.042508557 / FC))) + (NIR * 5.091351)) + (3.8969622 / (FC - CH))) / NDVIf) * (Green + FC)))) - (TSAVIg * Blue)) + EVI2) + 1.2872993"
49,0.2482045,"(((CH * -3.5568092) + ((((Green + FC) * ((-0.04173099 / FC) + ((3.913824 / (FC - CH)) + ((NIR * 4.698761) + (3.6542773 - EVI))))) / NDVIf) + 6.8659997)) * (((FC / NDVIf) - CH) + (FC / FC))) + (((EVI2 + 0.821846) - (TSAVIg * Blue)) * 1.3436103)"
