Complexity,Loss,Equation
1,1.2913195,"2.367226"
3,0.6735165,"3.435736 / CH"
5,0.4678649,"(NDVIf * 7.3720574) / CH"
7,0.38882822,"NDVIf * ((CH * -4.828641) + 12.533812)"
9,0.36983544,"((CH * -1.7424678) + 4.725571) * (GEMI + FC)"
11,0.34971848,"(GEMI * ((CH * -2.6126122) + 5.7905374)) + (FC * 2.509955)"
13,0.33453137,"((2.906077 / (SI + (0.17728622 / FC))) + (CH / -0.43956864)) - -4.047097"
15,0.32827502,"(CH / -0.45839858) + (((3.6669624 / ((0.2243883 / FC) + 1.2350074)) + 3.524241) + NIR)"
17,0.31636813,"((CH / -1.3287886) + (TDVI + ((3.336477 / ((0.013234021 / FC) + CH)) + FC))) + FC"
19,0.30770102,"(TDVI + (FC + FC)) + ((CH / -0.90539896) + (6.7864237 / ((IPVI + (0.015131781 / FC)) + CH)))"
21,0.26579806,"((CH * -2.1469288) + 6.879371) * ((-3.1605146 / (FC + ((NDYI * -4.799044) - -5.4756455))) + ((VARI + MRBVI) + 0.99887264))"
23,0.25610596,"((CH * -2.9293349) + 10.314138) * (GOSAVI * ((VARI + 1.0377082) + ((-2.3010948 / ((NDYI * (FC + -4.3044043)) - -4.6281753)) + MRBVI)))"
25,0.25344536,"(MRBVI + (VARI + ((-2.3597083 / (((FC + -4.288227) * NDYI) - -4.6499677)) + 1.013736))) * ((GOSAVI * 4.6245947) + ((CH * -1.7314438) + 3.4800532))"
27,0.25298175,"(((GOSAVI * 4.626343) + 3.3673625) + (CH * (-1.6579602 - BITM))) * (((-2.3392262 / (((FC + -4.3043694) * NDYI) - -4.646606)) + (MRBVI + 1.0283893)) + VARI)"
29,0.22544141,"(((CH * -1.7283739) + 5.7279363) - (0.3543348 / ((NDYI * -3.6067073) - -1.351808))) * (MRBVI + (VARI + ((-6.615663 / (((NDYI * -4.7203484) - -6.169086) + FC)) + 1.83551)))"
31,0.20780674,"(((VARI + 2.2501996) + MRBVI) + (-6.4762635 / ((NDYI * (FC + -4.7155538)) - -5.8585944))) * ((4.24905 - (0.34258136 / ((NDYI * -3.4933097) - -1.348561))) + (CH * (NLI + -1.6675887)))"
33,0.19996487,"((MRBVI + ((2.070425 + (-7.4917517 / ((NDYI * (FC + -4.7281356)) - -6.1816616))) + VARI)) * (((CH * -1.833938) - (0.5100071 / (((NDYI * -3.9034753) - -1.0947948) + FC))) + 5.5185885)) + NLI"
35,0.19405705,"((((NLI + -1.8449281) * CH) + 4.6396737) - ((0.98529184 - GOSAVI) / (FC + ((NDYI * -3.8598564) - -1.1078906)))) * (VARI + (2.3004336 + (MRBVI + (-7.455093 / (((FC + -4.8405375) * NDYI) - -6.230501)))))"
37,0.19291867,"((4.6920624 - (((0.78775173 - GOSAVI) / 0.5041478) / ((FC + (NDYI * -3.7554936)) - -1.1158166))) + (CH * (NLI + -1.8456546))) * ((MRBVI + (2.2522674 + VARI)) + (-7.615863 / (((FC + -4.9067307) * NDYI) - -6.369173)))"
39,0.19139215,"((-7.5064974 / (((FC + -4.839143) * NDYI) - -6.263534)) + ((MRBVI + VARI) + 2.253341)) * (((4.6822014 - (((1.0058315 - GBNDVI) / ((NDYI * -3.7780337) + (FC - -1.108474))) / NormNIR)) + 0.06356737) + ((NLI + -1.8061967) * CH))"
41,0.19003761,"((((NGRDI + 2.5450974) + NGRDI) + MRBVI) + (-7.2566786 / (((FC + -5.2452874) * NDYI) - -6.277768))) * ((CH * -0.8947264) + (((GOSAVI + 0.526297) * 3.1751812) - (((GNDVI + -0.85021293) / -0.24025872) / ((NDYI * -4.119056) + (FC - -1.3896077)))))"
43,0.18863258,"NGRDI + ((((VARI + (-7.002143 / ((NDYI * (FC + -4.8790817)) - -6.1722965))) + MRBVI) + 2.162353) * (((CH * -1.2771862) - (((GNDVI + -0.8569512) / -0.21314955) / (((NDYI * -4.175912) + FC) - -1.3198162))) + ((GOSAVI + 0.7331204) * (3.6229036 - ExG))))"
45,0.18681899,"(((-7.1906757 / (((FC + -4.9111204) * NDYI) - -6.378814)) + ((VARI + 2.3269835) + MRBVI)) * ((((GOSAVI + 0.73426384) * (PISI + 3.746336)) + (CH * -1.0615529)) - (((GNDVI + -0.8527678) / -0.25155532) / ((FC - -1.2938598) + (NDYI * -4.168005))))) + (NGRDI + -1.0236226)"
47,0.18615173,"(NGRDI + (((-7.3825674 / (((FC + -4.8608065) * NDYI) - -6.4658146)) + ((MRBVI + 2.250331) + VARI)) * (((PISI + (((ExR + GOSAVI) + 0.7808903) * 3.8174014)) + (CH * -1.1021295)) - (((GNDVI + -0.84548515) / -0.23840815) / ((NDYI * -4.181229) + (FC - -1.2769468)))))) + -1.1130301"
49,0.18458644,"(NDGlaI + (((((-8.063436 / ((NDYI * (FC + -5.096364)) - -6.8664722)) + VARI) + (MRBVI + 2.2888095)) * ((((PISI + 3.6605098) * (ExR + (GOSAVI + 0.49616897))) + (CH * -0.7829522)) - (((GNDVI + -0.8388173) / -0.26678362) / ((FC - -1.3528752) + (NDYI * -4.237815))))) + -0.9125555)) / 0.75427157"
