TARP,Tair,RH,VPD,Tair_1hr,RH_1hr,VPD_1hr,IRT
46.59,34.48,32.65,37,33.2,34.47,33.5,52.69
51.6,34.48,32.65,37,33.2,34.47,33.5,60.66
54.76,34.48,32.65,37,33.2,34.47,33.5,65.14
31.43,34.48,32.65,37,33.2,34.47,33.5,32.97
38.44,27.2,38.32,22.4,25.12,40.03,19.2,46.12
43.61,27.2,38.32,22.4,25.12,40.03,19.2,54.21
50.71,27.2,38.32,22.4,25.12,40.03,19.2,64.24
24.94,27.2,38.32,22.4,25.12,40.03,19.2,27.35
43.92,28.66,34.05,26,27.2,38.32,22.4,50.04
50.33,28.66,34.05,26,27.2,38.32,22.4,59.83
56.12,28.66,34.05,26,27.2,38.32,22.4,69.34
29.3,28.66,34.05,26,27.2,38.32,22.4,29.76
43.48,32.61,23.57,37.8,31.76,27.91,34,47.41
49.71,32.61,23.57,37.8,31.76,27.91,34,57.75
54.77,32.61,23.57,37.8,31.76,27.91,34,64.76
28.71,32.61,23.57,37.8,31.76,27.91,34,32.03
40.41,24.36,51.13,15.2,22.59,55.59,12.2,46.34
41.56,24.36,51.13,15.2,22.59,55.59,12.2,53.11
42.51,24.36,51.13,15.2,22.59,55.59,12.2,63.26
22.8,24.36,51.13,15.2,22.59,55.59,12.2,24.9
45.77,26.13,46.67,18.2,24.36,51.13,15.2,50.99
47.51,26.13,46.67,18.2,24.36,51.13,15.2,59.69
49.06,26.13,46.67,18.2,24.36,51.13,15.2,69.25
26.68,26.13,46.67,18.2,24.36,51.13,15.2,26.88
46.7,28.87,41.68,23.3,27.58,43.18,21.1,50.19
47.87,28.87,41.68,23.3,27.58,43.18,21.1,59.94
48.54,28.87,41.68,23.3,27.58,43.18,21.1,67.7
25.58,28.87,41.68,23.3,27.58,43.18,21.1,28.14
43.87,25.84,46.77,17.8,23.98,47.59,15.7,49.74
44.62,25.84,46.77,17.8,23.98,47.59,15.7,55.05
46.45,25.84,46.77,17.8,23.98,47.59,15.7,65.26
22.45,25.84,46.77,17.8,23.98,47.59,15.7,27.28
44.73,28.96,40.91,23.7,27.46,44.63,20.4,54.25
45.89,28.96,40.91,23.7,27.46,44.63,20.4,62.25
46.71,28.96,40.91,23.7,27.46,44.63,20.4,72.05
24.08,28.96,40.91,23.7,27.46,44.63,20.4,28.38
49.66,31.85,38.35,29.2,30.63,37.19,27.8,51.63
50.26,31.85,38.35,29.2,30.63,37.19,27.8,61.31
51.23,31.85,38.35,29.2,30.63,37.19,27.8,68.56
28.13,31.85,38.35,29.2,30.63,37.19,27.8,30.38
35.48,33.71,23.6,40.2,32.02,28.31,34.3,51.38
41.93,33.71,23.6,40.2,32.02,28.31,34.3,58.65
50.99,33.71,23.6,40.2,32.02,28.31,34.3,70.18
18.51,33.71,23.6,40.2,32.02,28.31,34.3,33.1
50.87,35.11,19.4,45.8,33.71,23.6,40.2,55.13
56.93,35.11,19.4,45.8,33.71,23.6,40.2,64.53
66.57,35.11,19.4,45.8,33.71,23.6,40.2,75.81
33.85,35.11,19.4,45.8,33.71,23.6,40.2,37.46
48.43,36.64,17.87,50.8,35.91,18.53,48.4,53.15
55.03,36.64,17.87,50.8,35.91,18.53,48.4,63.19
61.53,36.64,17.87,50.8,35.91,18.53,48.4,72.27
35.31,36.64,17.87,50.8,35.91,18.53,48.4,38.4
45.95,26.99,44.4,20,24.13,50.95,14.8,51.31
50.41,26.99,44.4,20,24.13,50.95,14.8,56.73
56.99,26.99,44.4,20,24.13,50.95,14.8,66.68
26.52,26.99,44.4,20,24.13,50.95,14.8,30.61
48.78,29.41,39,25.2,26.99,44.4,20,54.98
53.74,29.41,39,25.2,26.99,44.4,20,61.54
61.14,29.41,39,25.2,26.99,44.4,20,71.5
31.54,29.41,39,25.2,26.99,44.4,20,34.54
47.84,33.35,25.99,38.2,31.55,30.24,32.6,54.11
53.63,33.35,25.99,38.2,31.55,30.24,32.6,60.7
58.8,33.35,25.99,38.2,31.55,30.24,32.6,68.89
33.85,33.35,25.99,38.2,31.55,30.24,32.6,35.91
44.45,34.55,27.1,40.2,32.26,33.45,32.3,49.31
47.07,34.55,27.1,40.2,32.26,33.45,32.3,52.63
55.29,34.55,27.1,40.2,32.26,33.45,32.3,65.4
31.14,34.55,27.1,40.2,32.26,33.45,32.3,32.1
50.25,36.58,27.26,45,34.55,27.1,40.2,52.89
54.16,36.58,27.26,45,34.55,27.1,40.2,58.46
63.32,36.58,27.26,45,34.55,27.1,40.2,70.77
35.41,36.58,27.26,45,34.55,27.1,40.2,35.51
49.35,40.9,19.61,62.6,38.78,24.51,52.5,51.98
54.67,40.9,19.61,62.6,38.78,24.51,52.5,60.27
60.23,40.9,19.61,62.6,38.78,24.51,52.5,67.66
38.96,40.9,19.61,62.6,38.78,24.51,52.5,35.26
40.73,34.75,13.48,48.2,33.54,12.29,45.7,44.33
41.54,34.75,13.48,48.2,33.54,12.29,45.7,45.21
47.48,34.75,13.48,48.2,33.54,12.29,45.7,53.1
33.77,34.75,13.48,48.2,33.54,12.29,45.7,35.86
46.11,36.38,14.4,52.2,34.75,13.48,48.2,49.18
49.2,36.38,14.4,52.2,34.75,13.48,48.2,52.08
56.31,36.38,14.4,52.2,34.75,13.48,48.2,62.61
35.64,36.38,14.4,52.2,34.75,13.48,48.2,38.24
47.25,38.61,13.86,59.3,37.5,14.13,55.75,49.96
51.17,38.61,13.86,59.3,37.5,14.13,55.75,55.02
58.18,38.61,13.86,59.3,37.5,14.13,55.75,64.58
38.88,38.61,13.86,59.3,37.5,14.13,55.75,41
31.78,27.9,42,16,26.65,46.5,16.5,41.19
37.44,27.11,37.11,22.7,26.6,38.39,21.6,39.16
33.97,26.6,38.39,21.6,27.9,42,16,40.71
34,27.19,37.66,22.6,26.6,38.39,21.6,36.96
9.19,12.61,41.43,8.6,12.91,35.31,9.7,12.81
34.07,25.11,22.45,24.8,23.5,26,21.5,41.5
40.25,26.76,21.96,27.6,25.11,22.45,24.8,43.87
38.88,28.96,14.78,34.2,28.6,15.44,33.2,40.71
