Complexity,Loss,Equation
1,55.320374,"TARP"
3,25.451645,"TARP * 1.1435678"
5,22.865314,"(TARP * 1.2799759) + -5.4353766"
6,20.81359,"(TARP - sqrt(VPD)) * 1.2876735"
7,20.554602,"(TARP * 1.332092) + (Tair * -0.28954354)"
8,20.37269,"(TARP - sqrt(VPD + 8.38172)) * 1.3217558"
9,19.866966,"((TARP - 3.1650298) * 1.3477789) - (VPD * 0.18180205)"
10,18.815994,"(TARP + ((3.921179 - Tair) / log(RH))) * 1.3663924"
11,18.520521,"((TARP * 1.3687315) - ((Tair * 6.4079046) / RH)) + -4.10116"
12,18.414442,"((TARP + -3.506082) * 1.3638124) - (sqrt(Tair) * (Tair / RH))"
13,18.168806,"(TARP * 1.3713014) - (((Tair * 0.18042947) * (Tair / RH)) + 5.2062182)"
14,18.158216,"((TARP + -3.5192564) * 1.368559) - ((Tair * sqrt(Tair)) / (RH - 0.46551824))"
17,17.99948,"((TARP + -3.7398126) - (((Tair - log(Tair * RH)) * sqrt(Tair)) / RH)) * 1.3798816"
19,17.936337,"(((TARP + -3.8574178) - ((Tair - (log(RH) * 3.0065284)) * (sqrt(Tair) / RH))) * 1.375952) - 0.42473575"
