Complexity,Loss,Equation
1,55.320374,"TARP"
3,25.451645,"TARP * 1.1435792"
5,22.865314,"(TARP + -4.2450614) * 1.2799262"
6,20.81359,"(TARP - sqrt(VPD)) * 1.2876695"
7,20.554602,"((Tair * -0.2173388) + TARP) * 1.3320702"
8,20.372686,"(TARP - sqrt(VPD + 8.3901005)) * 1.3217793"
9,19.866966,"(TARP * 1.3477513) - (4.26385 - (VPD * -0.18184721))"
10,19.325098,"((TARP * 1.3543167) - (VPD / sqrt(RH))) - 4.6965194"
11,17.288301,"(TARP + (-5.6671257 - (2.0777946 / (RH - 42.30667)))) * 1.3171341"
13,13.316736,"((TARP - (3.4776783 / (RH - 42.4276))) * 1.389667) - (Tair * 0.40043452)"
14,13.275279,"((TARP - (log(RH) / (RH - 42.480762))) * 1.3926406) - (Tair * 0.40104777)"
15,13.026188,"(TARP * 1.4108005) - (((4.2061224 / (RH - 42.38069)) + 2.3885362) - (Tair * -0.34060287))"
16,12.977481,"(TARP * 1.4478779) - ((5.7264085 / (RH - 42.507053)) + (log(TARP) - (-0.34936833 * Tair)))"
17,10.083466,"((TARP - ((Patm / (Tair - 0.4918156)) / (RH - 42.495945))) * 1.5185565) - (Tair * 0.5805451)"
19,10.062017,"(((TARP - ((Patm / (Tair - 0.49130735)) / (RH - 42.49294))) * 1.5075727) - (Tair * 0.58796316)) + 0.58945704"
20,10.05244,"((TARP - (((sqrt(TARP) + Patm) / (Tair - 0.5134289)) / (RH - 42.506252))) * 1.5193928) - (Tair * 0.58250415)"
21,10.036725,"((TARP + (0.27155167 - (((Patm + 6.718707) / (Tair - 0.51327753)) / (RH - 42.502853)))) * 1.5114999) - (Tair * 0.5879415)"
22,10.032539,"(0.42334932 + (1.5114999 * (TARP - (((sqrt(TARP) + Patm) / (Tair - 0.51327753)) / (RH - 42.502853))))) - (Tair * 0.5879415)"
23,9.997586,"((((0.2527004 - ((VPD + Patm) / (Tair - 0.49686372))) / (RH - 42.51908)) + (TARP + 0.2730107)) * 1.5125234) - (Tair * 0.59073883)"
25,9.9957075,"((((0.26437563 - (((VPD + -1.3432646) + Patm) / (Tair - 0.4907968))) / (RH - 42.51234)) + (TARP + 0.2717885)) * 1.5134916) - (Tair * 0.5916297)"
27,9.995614,"((((0.2717885 - (((VPD + log(sqrt(0.10158237))) + Patm) / (Tair - 0.4907968))) / (RH - 42.51234)) + (0.2717885 + TARP)) * 1.5134916) - (0.5916297 * Tair)"
28,9.979639,"((((TARP - (sqrt(VPD) / (RH - 42.540154))) + -8.877681) * 1.296455) + 7.872435) - ((Tair * 0.26624924) / ((RH / (Tair - (TARP - Tair))) + 0.05897463))"
