Complexity,Loss,Equation
1,55.320374,"TARP"
3,25.451645,"TARP * 1.1435767"
5,22.86531,"(TARP * 1.2799629) - 5.434824"
6,20.81359,"(TARP - sqrt(VPD)) * 1.2876695"
7,20.5546,"(Tair * -0.2895461) + (TARP * 1.3320909)"
8,20.372686,"(TARP - sqrt(VPD + 8.384288)) * 1.3217595"
9,19.866966,"(((VPD * -0.13492137) + TARP) * 1.3477504) - 4.2639523"
11,18.520533,"(((-4.6822906 / RH) * Tair) + (TARP + -2.9896278)) / 0.7307416"
13,18.168808,"((TARP + (Tair * (-0.13156897 / (RH / Tair)))) + -3.799827) / 0.72918296"
15,17.904232,"(((Tair * -0.18484269) / ((RH - 0.49605554) / Tair)) + -5.3830385) + (TARP / 0.72325134)"
17,17.638987,"(((Tair + -19.286604) * (-0.41699255 / (RH / (Tair + -0.40590027)))) + (TARP / 0.72196364)) + -6.668066"
18,17.204199,"(sqrt(RH) + TARP) + ((TARP / 2.9584973) + ((VPD / (Patm + (RH / -0.42436513))) + -14.759196))"
19,17.154484,"((TARP / 2.8186984) + (sqrt(Patm) / ((RH / -0.4238847) + Patm))) + (sqrt(RH) + (TARP + -14.8032))"
20,16.549744,"((((TARP / 2.8418949) + TARP) + -14.808456) + sqrt(RH)) + ((Patm / (Patm + (RH / -0.42436513))) * 0.16158947)"
21,16.53683,"(TARP / 2.8186984) + ((sqrt(Patm + Patm) / (Patm + (RH / -0.4238847))) + ((TARP + -14.916234) + sqrt(RH)))"
22,11.888426,"(((TARP + (TARP / 2.1752903)) + (sqrt(RH) + (VPD / (Patm + (RH / -0.42376637))))) + (Tair * -0.36758336)) + -9.98078"
24,11.801532,"(Tair * -0.37386048) + ((((VPD + 2.7571952) / (Patm + (RH / -0.4241931))) + (((TARP / 2.1784792) + TARP) + sqrt(RH))) + -9.849237)"
25,11.8014145,"(((log(VPD) + VPD) / (Patm + (RH / -0.4241931))) + ((TARP + (TARP / 2.1784792)) + sqrt(RH))) + ((Tair * -0.37386048) + -9.849237)"
26,11.547768,"((TARP + (TARP / 2.0027313)) + (sqrt(RH) + (Tair * -0.37340662))) + (((RH + (TARP * -0.57257545)) / (Patm + (RH / -0.42632443))) + -10.59489)"
27,11.350377,"((((Tair * -0.40252924) + (TARP / 2.1473901)) + TARP) + sqrt(RH)) + (-9.124515 + ((VPD + exp(RH / Tair)) / (Patm + (RH / -0.42488292))))"
30,11.230133,"-10.597822 + ((-0.36806065 * Tair) + (((-1.8422849 / RH) + (TARP + ((((-0.57257545 * TARP) + RH) / ((RH / -0.42632443) + Patm)) + (TARP / 2.0027313)))) + sqrt(RH)))"
31,10.794337,"(((TARP + (TARP / 2.1444197)) + sqrt(RH)) + (((VPD + (Patm / (RH - (VPD - log(VPD))))) / ((RH / -0.424754) + Patm)) + -9.541245)) + (Tair * -0.40869758)"
33,10.715433,"(TARP + (TARP / 2.1444197)) + ((sqrt(RH) + (((VPD + (Patm / (RH - (VPD - log(VPD))))) / (((RH + 0.07760852) / -0.42483884) + Patm)) + -9.541245)) + (Tair * -0.40869758))"
35,10.498361,"((Tair * -0.4540268) + sqrt(RH)) + ((((TARP / 2.0131936) + TARP) + -9.49355) + (((Patm / (RH - (VPD - log(RH - -0.50393337)))) + VPD) / (((RH / -0.4255934) + Patm) - 0.3704629)))"
37,10.491723,"((((VPD / (Patm + (RH / -0.42459765))) + (((-1.7333612 / (((VPD + (Patm / (VPD + RH))) - sqrt(VPD)) + -9.640337)) + TARP) + (TARP / 2.2100215))) + sqrt(RH)) + (Tair * -0.3586972)) + -9.640337"
39,10.214856,"(Tair * -0.45197272) + (sqrt(RH) + ((((((Patm / (RH - (VPD - log(VPD)))) + VPD) / (Patm + (RH / -0.4250721))) + ((1.9471989 / ((VPD + VPD) + -9.5131645)) + TARP)) + (TARP / 2.0492256)) + -8.954589))"
41,9.755608,"(((Patm / (Patm + (RH / -0.45529798))) / TARP) + ((Tair * -0.40869758) + (((Patm / (RH - (VPD - log(VPD)))) + VPD) / (Patm + (RH / -0.424754))))) + ((sqrt(RH) + ((TARP / 2.1444197) + TARP)) + -9.630197)"
43,9.601303,"((((VPD + (Patm / (RH - (VPD - log(VPD))))) / (Patm + (RH / -0.424754))) + -9.630197) + ((sqrt(RH) + ((TARP / 2.1444197) + TARP)) + ((Patm / (Patm + (RH / -0.45529798))) / (TARP + -7.5066485)))) + (Tair * -0.40869758)"
45,9.596519,"(((-9.630197 + ((VPD + (Patm / (RH - (VPD - log(VPD))))) / ((RH / -0.424754) + Patm))) + ((TARP + (TARP / 2.1444197)) + sqrt(RH))) + (((Patm / (Patm + (RH / -0.45529798))) / (TARP + -7.5066485)) + (-0.40869758 * Tair))) + 0.08338961"
46,9.35907,"((-1.7214767 / ((Patm / (RH * 1.1644146)) + ((VPD - sqrt(VPD)) + -9.621187))) + (((sqrt(RH) + (Tair * -0.40457627)) + (((Patm / (RH - (VPD - log(VPD)))) + VPD) / (Patm + (RH / -0.42468664)))) + ((TARP / 2.117872) + TARP))) + -9.658934"
48,9.291036,"((((((Patm / (RH - (VPD - log(0.41383788 + RH)))) + VPD) / ((RH / -0.42480078) + Patm)) + ((sqrt(RH) + TARP) + (TARP / 2.0995073))) + (Tair * -0.40872034)) + (-1.6982763 / ((((Patm / (1.1761359 * RH)) + -9.652025) - sqrt(VPD)) + VPD))) + -9.583712"
50,9.222969,"(Tair * -0.45197272) + ((sqrt(RH) + (TARP + (TARP / 2.0492256))) + (-9.504718 + (((-1.675273 / ((VPD + ((Patm / (RH * 1.2822336)) - sqrt(VPD))) + -9.557021)) + (((Patm / (RH - (VPD - log(RH - -0.51621765)))) + VPD) / (Patm + (RH / -0.4250721)))) - -0.5968352)))"
51,9.103208,"((Tair * -0.45197272) + ((((((VPD + (Patm / (RH - (VPD - log(VPD))))) / (Patm + (RH / -0.4250721))) + ((1.9471989 / ((VPD + -9.5131645) + VPD)) + TARP)) + (TARP / 2.0492256)) + -9.181698) + ((Patm / ((RH / -0.45611733) + Patm)) / (TARP + -7.4795685)))) + sqrt(RH)"
53,9.103204,"((Tair * -0.45197272) + ((((Patm / ((RH / -0.45611733) + Patm)) / (TARP + -7.4795685)) + (sqrt(RH) + (((((Patm / (RH - (VPD - log(VPD)))) + VPD) / (Patm + (RH / -0.4250721))) + ((1.9471989 / (VPD + (VPD + -9.5131645))) + TARP)) + (TARP / 2.0492256)))) + -8.954589)) - 0.22710854"
54,8.785214,"(((((Patm / (Patm + (RH / -0.4550477))) / TARP) + (Tair * -0.3734522)) + ((sqrt(RH) + (TARP / 2.2488062)) + (((VPD + (Patm / (RH - (VPD - log(VPD))))) / (Patm + (RH / -0.42459765))) + TARP))) + (-1.7333612 / (((Patm / RH) * (VPD + -9.640337)) - sqrt(VPD)))) + -9.640337"
56,8.607773,"(-0.37204906 * Tair) + ((((Patm / (Patm + (RH / -0.4550477))) / TARP) + ((((TARP / 2.2488062) + (sqrt(RH) + (-1.886519 / (((-9.640337 - sqrt(VPD)) + VPD) + (Patm / (RH * 1.1242234)))))) + (((Patm / (RH - (VPD - log(VPD)))) + VPD) / (Patm + (RH / -0.42459765)))) + TARP)) + -9.640337)"
58,8.476116,"((((-1.886519 / (((-9.640337 - sqrt(VPD)) + (Patm / (RH * 1.1242234))) + VPD)) + ((sqrt(RH) + ((((Patm / (RH - (VPD - log(VPD)))) + VPD) / ((RH / -0.42459765) + Patm)) + (TARP / 2.2488062))) + TARP)) + -9.640337) + ((Patm / (Patm + (RH / -0.4550477))) / (TARP + -7.512108))) + (Tair * -0.37204906)"
