Complexity,Loss,Equation
1,55.320374,"TARP"
3,25.451645,"TARP * 1.1435792"
5,22.86531,"(TARP * 1.2799629) + -5.434824"
6,20.81359,"(TARP - sqrt(VPD)) * 1.2876861"
7,20.554602,"(TARP * 1.331983) + (Tair / -3.4556081)"
8,19.932583,"(TARP - (Tair / sqrt(RH))) * 1.2845949"
9,19.866964,"(TARP * 1.3477772) + ((VPD * -0.18185088) + -4.2647953)"
10,17.53089,"((inv(42.202206 - RH) + TARP) + -5.001995) * 1.2984356"
11,17.422222,"((TARP + -6.3576345) + exp(inv(42.53677 - RH))) * 1.3117234"
12,14.01306,"((inv(42.194572 - RH) + TARP) + (Tair * -0.27665207)) * 1.3839422"
13,13.350102,"((Tair * -0.39424735) + (5.767607 / (42.519585 - RH))) + (TARP * 1.3859012)"
14,13.314093,"(((Tair * -0.28749385) + TARP) * 1.388179) + (inv(42.441402 - RH) * 4.9570374)"
15,12.50864,"1.3839422 * (inv(42.20237 - RH) + (((Tair * -0.27612248) - inv(Tair)) + TARP))"
16,11.444482,"((TARP - inv(Tair)) * 1.4371051) + ((6.610165 / (42.55618 - RH)) + (Tair * -0.46688843))"
17,10.3750515,"((7.1380363 / (42.560406 - RH)) + (Tair * -0.55872977)) + ((TARP * 1.5032766) + (-3.4725955 / Tair))"
18,10.34729,"(-7.304677 / RH) + (((Tair * -0.5679331) + (TARP * 1.5111109)) + inv((42.6313 - RH) / 8.093162))"
19,10.055373,"((7.3620434 / (42.61372 - RH)) + (((-3.0250285 / RH) + -0.4270844) * (Tair + 1.930779))) + (TARP * 1.49627)"
21,10.05211,"((((Tair + 1.9308518) * ((-3.0251255 / RH) + -0.43011472)) + (TARP * 1.4917037)) + (7.3620415 / (42.614746 - RH))) - -0.25043902"
23,10.006297,"(((Tair + 1.9309412) * ((-3.089138 / RH) + -0.43278384)) + (TARP * 1.4882772)) + ((7.3620443 / (42.61605 - RH)) - special(RH, Patm))"
25,9.375397,"((((-3.7315457 / RH) + -0.3850057) * (Tair - -1.6385143)) - inv(VPD + -11.730522)) + ((TARP + (inv(42.909218 - RH) * 6.399989)) * 1.4896182)"
27,8.9845495,"(((TARP - inv(VPD - (Patm * 0.115392886))) * 1.4977182) + (inv(42.717102 - RH) * 8.653632)) + ((Tair - -2.0606906) * ((-2.9024358 / RH) + -0.4306624))"
29,8.895931,"((inv(42.717102 - RH) * 8.653632) + ((TARP - inv(VPD - (Patm * 0.1154134))) * 1.4977177)) + ((((-2.9024358 / RH) + -0.43066275) * (Tair - -2.0606906)) - -0.31056744)"
32,8.851371,"((inv(42.717102 - RH) * 8.653632) + ((TARP - inv((VPD - (Patm * 0.1154134)) - inv(TARP))) * 1.4977177)) + (((Tair * 0.9621375) - -1.7478821) * ((-3.3418293 / RH) + -0.43066275))"
33,8.491615,"((((-3.4204137 / RH) + -0.46075317) * (Tair - -1.7334199)) - (special(TARP, special(RH, 1.7762965 - VPD)) - inv(VPD + -5.6561017))) + ((inv(42.717102 - RH) * 9.145238) + (TARP * 1.5383061))"
37,8.182391,"(((((inv(42.717102 - RH) * 8.653632) + 0.9398289) + (TARP * 1.4977177)) + ((Tair - -1.6894583) * ((-3.3418293 / RH) + -0.43066275))) - special(TARP, special(RH, 1.8513584 - VPD))) - inv(VPD - (Patm * 0.1154134))"
39,8.095928,"(((((((-3.3418293 / RH) + -0.43066147) * (Tair + 1.7062026)) - special(TARP, special(RH, 1.8513584 - VPD))) - inv(VPD - ((Patm * 0.11534661) + 0.12319373))) + (inv(42.717102 - RH) * 8.653632)) + 1.0082315) + (TARP * 1.4977195)"
41,8.093806,"(((((((-3.3418293 / RH) + -0.43066147) * (Tair + 1.7062026)) - special(TARP, special(RH, 1.8513584 - VPD))) - inv(VPD - ((Patm * 0.11534661) + 0.12319373))) + (inv(42.717102 - RH) * 8.653632)) + 1.0082315) + ((TARP * 1.4977195) + 0.054997984)"
43,7.8876834,"(((((-3.3418293 / RH) + -0.43066177) * (Tair - -1.6710792)) - special(TARP, special(RH, 1.8513584 - VPD))) - inv((-6.1868215 / Tair) + (VPD - ((Patm - 1.5229625) * 0.11555844)))) + (((TARP * 1.4977192) + (inv(42.717102 - RH) * 8.653632)) + 1.0598116)"
45,7.7193494,"(((Tair - -1.6710792) * ((-3.3418293 / RH) + -0.43066064)) + ((0.9872936 - special(TARP - 8.653632, special(RH, 1.6501532 - VPD))) - inv(((-6.1868215 / Tair) + VPD) - ((Patm - 1.5059278) * 0.11547042)))) + ((TARP * 1.4977208) + (inv(42.717102 - RH) * 8.653632))"
47,7.704288,"((((Tair - -1.6152833) * ((-3.3418293 / RH) + -0.43066028)) + ((special(VPD, 0.6640425) - special(TARP - 8.653632, special(RH, 1.6501532 - VPD))) - inv(((-6.1868215 / Tair) + VPD) - ((Patm - 1.5059278) * 0.11541323)))) + (TARP * 1.4977216)) + (inv(42.717102 - RH) * 8.538161)"
49,7.700289,"(((special(VPD, 0.82687306) - special(TARP - 8.653632, special(RH, 1.6501532 - VPD))) - inv(((-6.1868215 / Tair) + VPD) - ((Patm - 1.5059278) * 0.1154546))) + ((Tair - -1.6152833) * ((-3.3418293 / RH) + -0.43066072))) + (((TARP * 1.4977208) + (inv(42.717102 - RH) * 8.653632)) + 0.11547042)"
