Complexity,Loss,Equation
1,1.3153143,"2.3271852"
3,0.6608448,"3.3589559 / ch1"
5,0.47803563,"(wc - ch1) + 2.6554635"
7,0.40996838,"(2.7923734 - ch1) * (WC + RGRI)"
9,0.3689382,"((2.8633564 - ch1) * WC) * (2.846156 - WC)"
11,0.33825657,"((((ch1 - 5.292324) * ch1) - wc) + 9.137324) * WC"
13,0.3196755,"WC * (((ch1 * (NLI - (5.6559896 - ch1))) - wc) + 8.882704)"
15,0.3122627,"(WC * (((ch1 * (NLI - (5.3617473 - ch1))) + 8.034122) - wc)) * 1.2359445"
17,0.29928556,"((WC - ExGR) * ((((NLI - (5.2527432 - ch1)) * ch1) + 7.735876) - wc)) * 1.4109871"
19,0.28937024,"(WC - NDGlaI) * (((7.560377 - wc) + (ch1 * ((NLI - (5.341134 - ch1)) - NDTI))) * 1.596668)"
21,0.28473097,"((WC - NDGlaI) * (((ch1 * ((NLI - (5.289371 - ch1)) - NDTI)) + 7.4688935) - wc)) * (NDTI + 1.7358001)"
23,0.26988292,"(((NLI + ((1.2910994 - (MCARI2 * (wc - BNDVI))) - ch1)) * (2.7207105 - ch1)) + 0.9177265) * ((WC - ExGR) / 0.4678036)"
25,0.26443496,"(((NLI + ((BNDVI * 2.0745783) - ((wc - BNDVI) * MSAVI))) - ch1) * (((WC - RGBVI) * 2.5212595) + (2.1846402 - ch1))) + 1.2489829"
27,0.2580388,"(((NLI + ((BNDVI * 3.188819) - (MSAVI * (wc - (BAI * -0.08165328))))) - ch1) * ((((WC - RGBVI) * 2.1978662) + 2.0134177) - ch1)) + 1.345892"
29,0.25763828,"(((((BNDVI * 3.1969364) - (MSAVI * (wc - (BAI * -0.08214684)))) + NLI) - ch1) * ((2.005012 - ch1) + ((WC - RGBVI) * 2.1936216))) + (1.3609532 - Blue)"
31,0.24833368,"ch1 + ((((((BNDVI + 1.3039477) * NLI) - ch1) + (1.0340086 - ((wc * EVI) - BNDVI))) * (((2.5711207 - ch1) + ((WC - RGBVI) * 1.8570871)) / NDVI)) + -1.1538693)"
33,0.24304736,"(((((IKAW + 1.4045223) * (WC - RGBVI)) + (2.5197806 - ch1)) / NDVI) * (((((BNDVI + 1.7578117) * NLI) + 0.7092807) - ((NLI * wc) - BNDVI)) - ch1)) + (ch1 + -1.0192319)"
35,0.2395276,"((((((2.5784276 - ch1) + ((1.3735243 + IKAW) * (WC - RGBVI))) / NDVI) * (((NLI * (BNDVI + 1.9427184)) + (0.6246911 - ((NLI * wc) - BNDVI))) - ch1)) + ch1) + -0.79527104) - NIRv"
37,0.23140049,"(((FC * 1.6841764) + (((((WC - RGBVI) * 2.906889) + BNDVI) * (((1.6274579 + MCARI1) - ((wc * MSAVI) - NLI)) - ch1)) * (((3.2032888 * BNDVI) - (0.47216338 * wc)) - ch1))) + 0.28089422) * 1.2476182"
39,0.23016609,"(0.4050836 + (FC * 1.8273474)) + (((((BNDVI * 3.0268278) - ((wc - MCARI1) * OSAVI)) - ch1) * (((MCARI1 - ((wc * MSAVI) - NLI)) - ch1) + 1.7238755)) * (BNDVI + (3.3565655 * (WC - (RGBVI * BNDVI)))))"
41,0.22267963,"((FC + (BNDVI + (((((BNDVI * (NLI + 1.8141402)) - ch1) - ((wc - BNDVI) * 0.55304456)) * ((((WC - RGBVI) * 2.2358577) + 0.7531528) * (MCARI1 + ((2.4307344 - ch1) - (MSAVI * wc))))) - IKAW))) / 0.5384049) * BNDVI"
43,0.2203405,"((FC * 1.3008078) + (((((((NLI + 1.7208071) * BNDVI) - ch1) - ((wc - BNDVI) * 0.537158)) * ((BNDVI * (MCARI1 + (2.600451 - ch1))) - (wc * MSAVI))) * (((WC - RGBVI) * 2.767466) + 0.93266875)) + (BNDVI - IKAW))) / 0.6677637"
45,0.21927498,"((((((((NLI + 1.7016569) * BNDVI) - ch1) - ((wc - BNDVI) * 0.5481528)) * ((((WC - RGBVI) * 2.6677423) + 0.97543716) * ((((MCARI1 + 2.632919) - ch1) * BNDVI) - (MSAVI * wc)))) - (IKAW + ExGR)) + (FC * 1.4064553)) + BNDVI) / 0.6632922"
47,0.21843234,"((((((((WC + ExR) - RGBVI) * 2.6784654) + 0.9799316) * (((BNDVI * (MCARI1 + (2.6276512 - ch1))) - (MSAVI * wc)) * ((((NLI + 1.7106373) * BNDVI) - ch1) - ((wc - BNDVI) * 0.5406885)))) - IKAW) + ((FC * 1.4049807) + BNDVI)) / 0.6781802) - ExGR"
49,0.21841313,"(((((FC * 1.4012047) + ((((WC + (ExR - RGBVI)) * 2.732738) + 0.9643406) * (((BNDVI * ((MCARI1 + 2.6342254) - ch1)) - (MSAVI * wc)) * ((((NLI + 1.699869) * BNDVI) - ch1) - ((wc - BNDVI) * 0.53447604))))) - IKAW) + BNDVI) / 0.68764734) + (BITM - ExGR)"
