Complexity,Loss,Equation
1,1.3153143,"2.3271852"
3,0.6608448,"3.3589559 / ch1"
5,0.47803563,"(wc - ch1) + 2.6554635"
7,0.40996838,"(2.7923734 - ch1) * (WC + RGRI)"
9,0.3998963,"GRNDVI + ((WC + TDVI) * (2.5700035 - ch1))"
11,0.3853652,"GRNDVI + ((WC + (TDVI + NDTI)) * (2.6558359 - ch1))"
13,0.3562681,"(TDVI + ((NormNIR - ch1) - -1.6309916)) * ((2.6645694 - WC) * WC)"
15,0.33171898,"((2.3636692 - ch1) * ((WC * (3.6780777 - wc)) + (GBNDVI - ch1))) - -0.9368347"
17,0.3218466,"((2.5083344 - ch1) * ((((4.136277 - wc) * (WC * 0.7063663)) - ch1) + TDVI)) + 1.0787071"
19,0.29837313,"(((NLI - ch1) + (1.856575 - ((wc - 1.0258491) * MSAVI))) * ((WC * 2.9273756) - ch1)) + 1.2347709"
21,0.2866084,"WC * ((((((NLI + 1.4292539) - ((wc - BNDVI) * MSAVI)) - ch1) * (2.562347 - ch1)) + 0.7772988) / 0.48721611)"
23,0.2838337,"((((2.8272524 - ch1) * ((NLI + (1.4432819 - (MCARI2 * (wc - BNDVI)))) - ch1)) + 0.9648468) / 0.5985748) * (WC - ExGR)"
25,0.26462135,"1.2457144 + (((2.5081236 * (WC - RGBVI)) + (2.172861 - ch1)) * ((NLI - ch1) + ((BNDVI * 2.0757072) - (MSAVI * (wc - BNDVI)))))"
27,0.26389536,"(((((BNDVI * 2.055716) - (MSAVI * (wc - BNDVI))) + (NLI - ch1)) * ((2.0854561 - ch1) + ((WC - RGBVI) * 2.319897))) + 1.1794603) * 1.0968744"
29,0.25963026,"(((((BNDVI * (WC - RGBVI)) * 2.6604714) + 2.1858356) - ch1) * (((BNDVI * 1.9151611) + ((NLI * 1.2503998) - ch1)) - ((wc - BNDVI) * MCARI2))) + 1.2485687"
31,0.2573965,"(((((BNDVI * 2.8372447) * (WC - RGBVI)) + 2.2821472) - ch1) * ((BNDVI * (((NLI * 1.3362309) + 1.785285) - ch1)) - ((wc - BNDVI) * MCARI2))) + (BNDVI - -0.25620878)"
33,0.25692743,"((((2.2828624 - ch1) + ((WC - RGBVI) * (BNDVI * 2.8550448))) * ((((NLI * 1.3316534) + (1.7872405 - ch1)) * BNDVI) - (MCARI2 * (wc - BNDVI)))) + (BNDVI - -0.26751047)) - Blue"
35,0.24618821,"((ch1 + (((((IKAW + 1.2154174) * (WC - RGBVI)) + 2.7331164) - ch1) * ((((BNDVI + 1.1704093) * NLI) + (1.5888965 - ch1)) - (NLI * (wc - BNDVI))))) + (-0.953854 - EVI)) / NDVI"
37,0.24487457,"((((((((BNDVI + 1.1502081) * NLI) + 1.5715617) - ch1) - ((wc - BNDVI) * NLI)) * ((((IKAW + 1.1430421) * (WC - RGBVI)) + 2.6558504) - ch1)) + (ch1 - EVI)) + -1.0031791) / (NDVI - 0.0805758)"
39,0.23738489,"((((BNDVI + ((WC - RGBVI) * 3.197696)) * (BNDVI * ((MCARI1 + (1.9225554 - ch1)) - ((MSAVI * wc) - NLI)))) * (((BNDVI * (NLI + 2.3266711)) - ((wc - GNDVI) * MSAVI)) - ch1)) + 0.7270178) + FC"
41,0.23380682,"(((((MCARI1 - ((wc * MSAVI) - NLI)) + (1.8595614 - ch1)) * ((EVI2 - ch1) + ((BNDVI * 2.3360512) - (MSAVI * (wc - MSAVI))))) * (((WC - RGBVI) * (BNDVI * 3.1941752)) + BNDVI)) + 0.53576803) + (FC * 1.4621416)"
43,0.23186679,"(((MCARI1 - ((wc * MSAVI) - NLI)) + (1.8303753 - ch1)) * (((SAVI - ch1) + ((BNDVI * 2.3634126) - (MSAVI * (wc - MSAVI)))) * (BNDVI + (BNDVI * ((WC - RGBVI) * 3.2418833))))) + (((NLI + 0.895303) * FC) + 0.60114425)"
45,0.23179054,"(((((MCARI1 - ((wc * MSAVI) - NLI)) + 1.8504877) - ch1) * (((BNDVI * 2.3419766) - (MSAVI * (wc - MSAVI))) + (SAVI - ch1))) * (BNDVI + ((BNDVI * (WC - RGBVI)) * 3.2337844))) + ((((NLI + 0.89312124) - 0.02588408) * FC) + 0.60969937)"
