Complexity,Loss,Equation
1,55.320374,"TARP"
3,25.451645,"TARP * 1.1435767"
5,22.865313,"(TARP * 1.2799629) - 5.4348164"
7,20.5546,"(Tair * -0.2895461) + (TARP * 1.3320909)"
9,19.866962,"(((VPD * -0.13491689) + TARP) - 3.1647582) * 1.3477882"
11,17.290176,"(-3.1136572 / (RH - 42.333374)) - (7.2432985 - (TARP * 1.31291))"
13,13.314369,"(-5.0053797 / (RH - 42.44814)) + ((Tair * -0.3985934) - (TARP * -1.3878498))"
15,13.025167,"(((Tair * -0.3510608) + (-4.9488673 / (RH - 42.43839))) - (TARP * -1.4066281)) + -1.9846843"
17,10.33573,"(((-7.875093 / (RH - 42.614212)) - (7.1975017 / RH)) - (Tair * 0.56022877)) - (TARP * -1.5065715)"
19,10.150549,"(Tair * ((-3.384413 / (RH - 0.43887937)) + -0.45058864)) + ((-9.598573 / (RH - 42.770214)) - (TARP * -1.4938662))"
21,10.060138,"(((-3.3362482 / (RH + -0.43682796)) + -0.4252178) * Tair) + ((-8.48862 / (RH - 42.686516)) - ((-1.4962713 * TARP) + 0.8006004))"
23,9.618079,"(((-7.8632436 / (RH - 42.646362)) - (7.1918054 / RH)) - (Tair * 0.5863239)) - ((TARP - (-1.3620555 / (VPD - 5.407967))) * -1.5219562)"
25,9.515696,"((Tair * ((-1.8888118 / (RH + -0.4686194)) + -0.5697833)) + (-10.018051 / (RH - 42.815266))) - ((TARP - (-1.5685649 / (VPD - 5.3386083))) * -1.5424496)"
27,8.953123,"(-9.496645 / (RH - 42.749672)) + ((Tair * ((-4.082922 / (RH + -0.42659786)) + -0.4726538)) - ((-1.5137786 - (-0.035184614 / ((RH - VPD) - -2.1042762))) * TARP))"
29,8.936476,"((-9.559416 / (RH - 42.717144)) + ((((-4.149878 / (RH + -0.426879)) + -0.49502063) * Tair) - ((-1.6065036 - (-0.04509069 / ((RH - VPD) - -2.0396287))) * TARP))) * 0.9361627"
31,8.935863,"(((-9.559417 / (RH - 42.717556)) + ((Tair * ((-4.1498814 / (RH + -0.42685106)) + -0.49488935)) - ((-1.6067921 - (-0.044924278 / ((RH - VPD) - -2.0396514))) * TARP))) * 0.9366061) - 0.017368037"
33,8.26871,"(Tair * ((-4.0829086 / (RH + -0.4265533)) + -0.47243604)) + ((-9.496654 / (RH - 42.74908)) - ((-1.5143512 - (-0.035190012 / ((RH - VPD) - -2.1042478))) * (TARP - (-1.3620555 / (VPD - 5.364991)))))"
35,7.966672,"((((-4.083108 / (RH + -0.42198625)) + -0.47741604) * Tair) + (-9.496521 / (RH - 42.757313))) - ((TARP * (-1.5031894 - (-0.03796181 / ((RH - VPD) - -2.1048381)))) - (VPD / ((Tair - RH) + 42.67388)))"
37,7.83972,"(((((-4.0834475 / (RH + -0.4249105)) + -0.48646897) * Tair) + (-9.49646 / (RH - 42.759403))) - (TARP * ((-1.4891403 - (-0.034592345 / ((RH - VPD) - -2.1044068))) - (0.47316968 / ((Tair - RH) + 43.306885))))) + 0.6758487"
39,7.77716,"(((-4.084505 / (RH + -0.42434472)) + -0.45853013) * Tair) + (((-9.509795 / (RH - 42.76815)) - ((TARP * ((-1.470539 - (-0.03463508 / ((RH - VPD) - -2.120022))) + (-0.5678017 / (Tair + (43.343365 - RH))))) + 0.28566808)) - -0.97554433)"
41,7.7598886,"((((-4.083329 / (RH + -0.4270417)) + -0.47944772) * Tair) + ((-9.496536 / (RH - 42.77271)) - (((-1.4810075 - (-0.03646527 / ((RH - VPD) - -2.1049197))) - (0.4727354 / (Tair + (43.306927 - (RH + -0.39865556))))) * (TARP + 0.2621568)))) - -0.6107749"
45,7.75986,"((((-4.083329 / (RH + -0.4270417)) + -0.47944772) * Tair) + (((-9.496536 / (RH - 42.77271)) - ((TARP + 0.2621568) * ((-1.4810075 - (-0.03646527 / ((RH - VPD) - -2.1049197))) - (0.4727354 / ((Tair + 43.306927) - (RH + -0.39865556)))))) - -0.5935308)) - (-0.03629748 / RH)"
47,7.759741,"(((-4.083329 / (RH + -0.4270417)) + -0.47944772) * Tair) + ((((-9.496536 / (RH - 42.77271)) - (((-1.4810075 - (-0.03646527 / ((RH - VPD) - -2.1049197))) - (0.4727354 / (Tair + (43.306927 - (RH + -0.39865556))))) * (TARP + 0.2621568))) - -0.5935308) - (-0.03629748 / (Tair - -2.10492)))"
49,7.734409,"((((-9.496536 / (RH - 42.77271)) - (((-1.4810075 - (-0.03646527 / ((RH - VPD) - -2.1049197))) - (0.4727354 / ((Tair + 43.306927) - (RH + -0.39865556)))) * (TARP + 0.2621568))) - -0.5935308) + (((-4.083329 / (RH + -0.4270417)) + -0.47944772) * Tair)) - (-0.053045455 / ((RH - Tair) - -2.10492))"
