Complexity,Loss,Equation
1,230.81718,"41.102676"
3,25.451645,"myotherfunction(1.0693773, TARP)"
5,25.451641,"myotherfunction(1.0414099, myotherfunction(1.0268611, TARP))"
7,22.833445,"sqrt(sqrt(myotherfunction(myotherfunction(TARP, 0.20324494), TARP)))"
8,22.601137,"sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(TARP)), 0.12433272)))"
9,22.476019,"sqrt(myotherfunction(log(myotherfunction(TARP, 18.539667)), myotherfunction(TARP, 0.012198323)))"
10,22.459694,"sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(myotherfunction(TARP, 0.23757844))), 0.04781071)))"
11,22.45968,"sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(sqrt(myotherfunction(TARP, 0.23756988)))), 0.1911709)))"
13,21.412865,"sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(sqrt(myotherfunction(TARP, inv(sqrt(VPD)))))), 0.19252214)))"
16,20.728489,"sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(sqrt(myotherfunction(TARP, inv(sqrt(sqrt(exp(sqrt(VPD))))))))), 0.17335053)))"
17,19.261093,"sqrt(myotherfunction(sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(TARP)), log(myotherfunction(RH, myotherfunction(inv(Tair), TARP)))))), 0.16927512))"
18,18.913727,"sqrt(myotherfunction(sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(TARP)), log(log(myotherfunction(RH, myotherfunction(inv(Tair), TARP))))))), 0.2931217))"
20,18.654566,"sqrt(myotherfunction(sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(TARP)), log(log(myotherfunction(myotherfunction(RH, myotherfunction(inv(Tair), TARP)), 0.07387583)))))), 0.26597935))"
24,18.644348,"sqrt(myotherfunction(sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(TARP)), log(log(myotherfunction(myotherfunction(RH, myotherfunction(inv(Tair), TARP)), inv(sqrt(exp(sqrt(Tair)))))))))), 0.266483))"
26,18.252607,"sqrt(myotherfunction(sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(TARP)), log(log(myotherfunction(myotherfunction(RH, myotherfunction(inv(Tair), TARP)), inv(myotherfunction(log(myotherfunction(0.4808546, RH)), 8.689191)))))))), 0.28211743))"
29,17.745296,"sqrt(myotherfunction(sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(TARP)), log(log(myotherfunction(myotherfunction(RH, myotherfunction(inv(Tair), TARP)), sqrt(inv(myotherfunction(myotherfunction(log(myotherfunction(0.19564559, Tair)), Tair), 13.967612))))))))), 0.24624138))"
32,17.217691,"sqrt(myotherfunction(sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(TARP)), log(log(myotherfunction(myotherfunction(RH, myotherfunction(inv(Tair), TARP)), sqrt(inv(myotherfunction(log(myotherfunction(0.19436787, Tair)), myotherfunction(13.999755, sqrt(myotherfunction(2.9838634, Tair)))))))))))), 0.25626862))"
36,16.846815,"sqrt(myotherfunction(sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(TARP)), log(log(myotherfunction(myotherfunction(RH, myotherfunction(inv(Tair), TARP)), sqrt(inv(myotherfunction(log(myotherfunction(log(RH), myotherfunction(log(myotherfunction(Tair, myotherfunction(0.3709287, inv(Patm)))), Tair))), Tair))))))))), 0.26587635))"
40,16.580395,"sqrt(myotherfunction(sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(TARP)), log(log(myotherfunction(myotherfunction(RH, myotherfunction(inv(Tair), TARP)), sqrt(inv(myotherfunction(log(myotherfunction(myotherfunction(inv(inv(sqrt(RH))), myotherfunction(log(myotherfunction(Tair, myotherfunction(0.3688603, inv(Patm)))), TARP)), 0.041424893)), Tair))))))))), 0.27618796))"
41,16.474428,"sqrt(myotherfunction(sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(TARP)), log(log(myotherfunction(myotherfunction(RH, myotherfunction(inv(Tair), TARP)), sqrt(inv(myotherfunction(log(sqrt(myotherfunction(myotherfunction(inv(inv(sqrt(RH))), myotherfunction(log(myotherfunction(Tair, myotherfunction(0.36887, inv(Patm)))), TARP)), 0.046739176))), Tair))))))))), 0.2649958))"
43,16.396248,"sqrt(myotherfunction(sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(TARP)), log(log(myotherfunction(myotherfunction(RH, myotherfunction(inv(Tair), TARP)), inv(myotherfunction(log(sqrt(sqrt(myotherfunction(inv(sqrt(inv(Patm))), myotherfunction(myotherfunction(log(myotherfunction(Tair, myotherfunction(0.36887, inv(Patm)))), TARP), exp(-0.17709175)))))), sqrt(Tair))))))))), 0.2649958))"
44,16.396246,"sqrt(myotherfunction(sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(TARP)), log(log(myotherfunction(myotherfunction(RH, myotherfunction(inv(Tair), TARP)), inv(myotherfunction(log(sqrt(sqrt(myotherfunction(myotherfunction(sqrt(inv(inv(sqrt(Patm)))), myotherfunction(log(myotherfunction(Tair, myotherfunction(0.36887, inv(Patm)))), TARP)), exp(-0.17709175))))), sqrt(Tair))))))))), 0.2649958))"
45,16.388409,"sqrt(myotherfunction(sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(inv(TARP))), log(log(myotherfunction(myotherfunction(RH, myotherfunction(inv(Tair), TARP)), inv(myotherfunction(log(myotherfunction(myotherfunction(Tair, log(myotherfunction(Tair, myotherfunction(0.37047437, inv(Patm))))), inv(sqrt(myotherfunction(TARP, myotherfunction(VPD, log(TARP))))))), sqrt(sqrt(sqrt(VPD))))))))))), 0.26585412))"
47,16.3165,"sqrt(myotherfunction(sqrt(sqrt(myotherfunction(myotherfunction(TARP, log(TARP)), log(log(myotherfunction(myotherfunction(RH, myotherfunction(inv(Tair), TARP)), inv(myotherfunction(log(myotherfunction(myotherfunction(Tair, log(myotherfunction(Tair, myotherfunction(0.37047437, inv(Patm))))), inv(myotherfunction(-1.5175472, sqrt(myotherfunction(TARP, myotherfunction(VPD, log(sqrt(TARP))))))))), sqrt(sqrt(sqrt(VPD))))))))))), 0.26585412))"
