Complexity,Loss,Equation
1,230.81718,"41.102676"
3,25.451645,"nd(1.0693773, TARP)"
5,25.451641,"nd(1.0414099, nd(1.0268611, TARP))"
7,22.833445,"sqrt(sqrt(nd(nd(TARP, 0.20324494), TARP)))"
8,22.601137,"sqrt(sqrt(nd(nd(TARP, log(TARP)), 0.12433272)))"
9,22.476019,"sqrt(nd(log(nd(TARP, 18.539667)), nd(TARP, 0.012198323)))"
10,22.459694,"sqrt(sqrt(nd(nd(TARP, log(nd(TARP, 0.23757844))), 0.04781071)))"
11,22.45968,"sqrt(sqrt(nd(nd(TARP, log(sqrt(nd(TARP, 0.23756988)))), 0.1911709)))"
13,21.412865,"sqrt(sqrt(nd(nd(TARP, log(sqrt(nd(TARP, inv(sqrt(VPD)))))), 0.19252214)))"
16,20.728489,"sqrt(sqrt(nd(nd(TARP, log(sqrt(nd(TARP, inv(sqrt(sqrt(exp(sqrt(VPD))))))))), 0.17335053)))"
17,19.261093,"sqrt(nd(sqrt(sqrt(nd(nd(TARP, log(TARP)), log(nd(RH, nd(inv(Tair), TARP)))))), 0.16927512))"
18,18.913727,"sqrt(nd(sqrt(sqrt(nd(nd(TARP, log(TARP)), log(log(nd(RH, nd(inv(Tair), TARP))))))), 0.2931217))"
20,18.654566,"sqrt(nd(sqrt(sqrt(nd(nd(TARP, log(TARP)), log(log(nd(nd(RH, nd(inv(Tair), TARP)), 0.07387583)))))), 0.26597935))"
24,18.644348,"sqrt(nd(sqrt(sqrt(nd(nd(TARP, log(TARP)), log(log(nd(nd(RH, nd(inv(Tair), TARP)), inv(sqrt(exp(sqrt(Tair)))))))))), 0.266483))"
26,18.252607,"sqrt(nd(sqrt(sqrt(nd(nd(TARP, log(TARP)), log(log(nd(nd(RH, nd(inv(Tair), TARP)), inv(nd(log(nd(0.4808546, RH)), 8.689191)))))))), 0.28211743))"
29,17.745296,"sqrt(nd(sqrt(sqrt(nd(nd(TARP, log(TARP)), log(log(nd(nd(RH, nd(inv(Tair), TARP)), sqrt(inv(nd(nd(log(nd(0.19564559, Tair)), Tair), 13.967612))))))))), 0.24624138))"
32,17.217691,"sqrt(nd(sqrt(sqrt(nd(nd(TARP, log(TARP)), log(log(nd(nd(RH, nd(inv(Tair), TARP)), sqrt(inv(nd(log(nd(0.19436787, Tair)), nd(13.999755, sqrt(nd(2.9838634, Tair)))))))))))), 0.25626862))"
36,16.846815,"sqrt(nd(sqrt(sqrt(nd(nd(TARP, log(TARP)), log(log(nd(nd(RH, nd(inv(Tair), TARP)), sqrt(inv(nd(log(nd(log(RH), nd(log(nd(Tair, nd(0.3709287, inv(Patm)))), Tair))), Tair))))))))), 0.26587635))"
40,16.580395,"sqrt(nd(sqrt(sqrt(nd(nd(TARP, log(TARP)), log(log(nd(nd(RH, nd(inv(Tair), TARP)), sqrt(inv(nd(log(nd(nd(inv(inv(sqrt(RH))), nd(log(nd(Tair, nd(0.3688603, inv(Patm)))), TARP)), 0.041424893)), Tair))))))))), 0.27618796))"
41,16.474428,"sqrt(nd(sqrt(sqrt(nd(nd(TARP, log(TARP)), log(log(nd(nd(RH, nd(inv(Tair), TARP)), sqrt(inv(nd(log(sqrt(nd(nd(inv(inv(sqrt(RH))), nd(log(nd(Tair, nd(0.36887, inv(Patm)))), TARP)), 0.046739176))), Tair))))))))), 0.2649958))"
43,16.396248,"sqrt(nd(sqrt(sqrt(nd(nd(TARP, log(TARP)), log(log(nd(nd(RH, nd(inv(Tair), TARP)), inv(nd(log(sqrt(sqrt(nd(inv(sqrt(inv(Patm))), nd(nd(log(nd(Tair, nd(0.36887, inv(Patm)))), TARP), exp(-0.17709175)))))), sqrt(Tair))))))))), 0.2649958))"
44,16.396246,"sqrt(nd(sqrt(sqrt(nd(nd(TARP, log(TARP)), log(log(nd(nd(RH, nd(inv(Tair), TARP)), inv(nd(log(sqrt(sqrt(nd(nd(sqrt(inv(inv(sqrt(Patm)))), nd(log(nd(Tair, nd(0.36887, inv(Patm)))), TARP)), exp(-0.17709175))))), sqrt(Tair))))))))), 0.2649958))"
45,16.388409,"sqrt(nd(sqrt(sqrt(nd(nd(TARP, log(inv(TARP))), log(log(nd(nd(RH, nd(inv(Tair), TARP)), inv(nd(log(nd(nd(Tair, log(nd(Tair, nd(0.37047437, inv(Patm))))), inv(sqrt(nd(TARP, nd(VPD, log(TARP))))))), sqrt(sqrt(sqrt(VPD))))))))))), 0.26585412))"
