Complexity,Loss,Equation
1,55.320374,"TARP"
3,25.451645,"TARP * 1.1435792"
5,22.865314,"(TARP * 1.279923) - 5.4332333"
7,20.554602,"(Tair * -0.28953844) + (TARP * 1.3320869)"
9,19.866964,"(VPD * -0.18185091) + ((TARP * 1.3477728) - 4.2646217)"
11,18.52052,"sr(Tair * -6.4071083, RH) + ((TARP * 1.3687009) - 4.1005497)"
13,18.491758,"((TARP + -2.995131) / 0.73011965) + sr(sr(Tair, RH + -0.13349874), -0.15652597)"
15,18.387144,"sr(sr(RH, Tair) - (TARP * 1.5674216), -1.168258) + ((Tair / RH) * -8.467015)"
17,17.211117,"sr(((Tair / RH) / nd(-0.5848298, nd(nd(VPD, -5.5653634), TARP))) + TARP, 0.72413886) + -4.7474227"
19,14.129526,"((Tair / RH) / -0.1526734) + (((TARP + nd(nd(Tair / -0.66246355, RH), Tair)) / 0.7158751) + -4.0914116)"
21,13.997802,"(((Tair / RH) / -0.1526734) + ((TARP + nd(nd(sr(Tair, -0.66246355), RH) - -0.86004734, Tair)) / 0.7158751)) + -4.0914116"
23,13.880262,"(((Tair / RH) / -0.1526734) + ((TARP + nd(nd(sr(Tair, -0.66246355), RH - (0.40515316 / RH)), Tair)) / 0.7158751)) + -4.0914116"
27,13.481841,"(sr(((Tair / RH) / -0.19718713) + TARP, 0.72478646) + (nd(-2.16132 / nd(-0.2182114, nd(Tair + Tair, RH)), VPD / Tair) / -1.931504)) + -4.692712"
29,13.206101,"sr(TARP + ((Tair / RH) / -0.21791033), 0.71563035) + (((nd(-2.0653317 / nd(-0.22773403, nd(Tair + Tair, RH)), VPD / Tair) / -1.8837749) + -4.9666467) + -0.68646514)"
33,12.955458,"((TARP + sr(nd(Tair / nd(-0.16335812, nd(Tair + Tair, RH)), VPD - Tair), nd(nd(RH, sr(Tair, -0.32263947)), Tair))) / 0.7278153) + (sr(Tair / RH, -0.16450194) + -3.7466588)"
35,12.945123,"((TARP + sr(nd(Tair / nd(-0.16335812, nd(Tair + Tair, RH)), VPD - Tair), nd(nd(RH, sr(Tair, -0.32263947)), Tair + -0.1888767))) / 0.7278153) + (sr(Tair / RH, -0.16450194) + -3.7466588)"
37,12.923537,"((sr(nd(Tair / nd(-0.16335812, nd(Tair + Tair, RH)), VPD - Tair), nd(nd(RH, sr(Tair, -0.32263947)), Tair + nd(1.9721628, TARP))) + TARP) / 0.7278153) + (sr(Tair / RH, -0.16450194) + -3.7466588)"
41,12.862783,"((TARP + sr(nd(Tair / nd(-0.16586865, nd(Tair + Tair, RH)), VPD - Tair), nd(nd(RH, sr(Tair, -0.3306357)), Tair))) / 0.7209506) + (sr(sr(Tair, RH), nd(-0.69798034, nd(nd(Tair + Tair, RH), VPD))) + -4.656153)"
43,12.842184,"(((TARP + sr(nd(Tair / nd(-0.16586865, nd(Tair + Tair, RH)), VPD - Tair), nd(nd(RH, sr(Tair, -0.3306357)), Tair))) / 0.7209506) + (sr(sr(Tair, RH), nd(-0.69798034, nd(nd(Tair + Tair, RH), VPD))) + -4.656153)) - -0.19046798"
45,11.881542,"((sr(nd(Tair / nd(-0.16510336, nd(Tair + Tair, RH)), VPD - Tair), nd(nd(RH, sr(Tair, -0.35392487)), Tair)) + (TARP + sr(sr(Tair, RH), nd(-0.69038564, nd(nd(nd(sr(RH, nd(-0.16510336, TARP)), VPD), RH), TARP))))) / 0.7014891) + -5.501242"
