Complexity,Loss,Equation
1,1.2913196,"2.367395"
3,1.0018395,"SR(NIR, 0.16969414)"
5,0.99643886,"(NIR / 0.1687783) - Green"
7,0.8529779,"SR(NIR, Green / NIR) - NIR"
9,0.84139794,"SR(Blue + NIR, Green / NIR) - NIR"
11,0.7478809,"(NIR / (Green / NIR)) - ((Green / Blue) * Green)"
13,0.7420759,"(NIR / (Green / NIR)) - ((SR(Green, Blue) * Green) * 1.1772044)"
15,0.4841506,"NIR * ((((Blue * NIR) - SR(Red, Blue * -269.9607)) * -462.95044) + 17.064669)"
17,0.48094937,"NIR * (((-462.95044 * ((NIR * Blue) - SR(Red, Blue * -269.9607))) + 17.064669) - Green)"
19,0.475736,"NIR * (((((NIR * Blue) - (SR(Red, Blue * -269.96082) + 0.00074403157)) * -462.95032) + 17.06467) - NIR)"
23,0.4746412,"(((-462.94785 * ((Blue * NIR) - SR(Red, Blue * -269.96375))) + (17.444359 - (Blue + (NIR - 0.09596777)))) * NIR) - Green"
26,0.47229126,"NIR * ((-462.95044 * ((Blue * NIR) - SR(Red, Blue * -269.9607))) + ((17.064669 - (SR(Red, Red) * log(NIR))) - SR(Red, Red)))"
27,0.4716619,"(((((NIR * Blue) - (Red / (Blue * -268.52716))) * (-442.37158 - Green)) + (15.636625 - (NIR * (sqrt(Green) - sqrt(Blue))))) * NIR) + 0.39852574"
29,0.43326017,"((((((NIR * (Blue - Red)) * -1.1654369) / (Blue * -0.31791514)) + ND(ND(-0.8710673 / (Blue * Blue), SR(1.467736, Green)), -0.8760892)) * NIR) - 0.93127894) + Red"
30,0.42615852,"(((((Green - SR(Red, Blue * -0.22266437)) * -0.73032695) * NIR) + ND(sqrt(ND(ND(Red, 0.76372075) / (Blue * Blue), 1.5728521 / Red)), -0.8837028)) * NIR) - 1.03683"
31,0.40452877,"(NIR * ((SR(-0.9359816, Blue * -0.23428228) * (Blue - (NIR * Red))) + ND(ND(SR(Green - NIR, Blue * Blue), 0.7216913 / Red), -0.86853635))) + (NIR - 1.5420158)"
35,0.4027601,"(NIR * ((NIR + ((Blue - (NIR * Red)) * SR(-0.8389858, Blue * -0.20568147))) + (ND(ND(Green - (0.68038195 / (Blue * Blue)), 1.1275237 / Red), -0.877675) - Green))) - (Blue + 1.6782559)"
36,0.40275106,"(NIR * (NIR + ((((Blue - (NIR * Red)) * SR(-0.8389858, Blue * -0.20568147)) + ND(ND(exp(Blue) - (0.68038195 / (Blue * Blue)), 1.1275237 / Red), -0.877675)) - Green))) - (Blue + 1.6782559)"
37,0.40219304,"ND(ND(log(Blue / (Red * Green)), -0.6229197), NIR * (((-0.17145419 - Blue) * (NIR * 0.17179349)) + ((Red - ND(Red / NIR, ND(exp(Blue / (Red * NIR)), -6.106988) / 4.2641716)) * -1.8125243)))"
39,0.38797238,"(NIR * (((Blue - (NIR * Red)) * SR(-0.76148355, Blue * -0.21251303)) + (ND(ND(SR(Green - 0.8046841, Blue * Blue), 1.026549 / Red), -0.8739124) - (Green - (ND(Green, -0.20479465) + 1.5700395))))) + (NIR - 1.8684335)"
40,0.37044644,"(((NIR + -0.056984432) * ND(ND(log(Blue / (Red * Green)), -0.1804781), -0.95785534)) * (((Red * log(Green)) - ND(Red / 0.55348426, ND(ND(log(Blue / (NIR * Green)), -0.8932338), -1.3008674) + NIR)) - Blue)) - Red"
42,0.36371088,"(NIR + -0.056984432) * (ND(ND(log(Blue / (Red * Green)), -0.1804781), -0.95785534) * (((Red * log(Green)) - ND(Red / 0.55348426, (ND(ND(log(Blue / (NIR * Green)), -0.8932338), -1.3008674) + NIR) + (Green * -0.38834304))) - Blue))"
44,0.3633229,"(ND(ND(log(SR(Blue, Green * Red)), -0.1804781), -0.95785534) * (((NIR + -0.056984432) * ((Red * (-0.14732812 * -1.7985218)) - ND(Red / 0.55348426, ND(ND(NIR + log(Blue / (NIR * Green)), -0.8932338), -1.3008674)))) - Blue)) - (sqrt(Red) + Green)"
45,0.35057572,"(ND(ND(log(SR(Blue, Green * Red)), -0.1804781), -0.95785534) * (((NIR + -0.056984432) * (((Red * -0.14732812) * inv(-1.7985218)) - ND(Red / 0.55348426, NIR + ND(ND(log(Blue / (NIR * Green)), -0.8932338), -1.3008674)))) - Blue)) - (sqrt(Red) + Green)"
48,0.32222918,"(ND(ND(log(SR(Blue, Green * Red)), -0.15151729), -0.9870596) * (((Green * -1.7569903) - (ND(Red / 0.6745713, ND(ND(ND(ND(log(Blue / (NIR * Green)) + NIR, -0.9232924), -1.2242343), -0.92488587), -1.2512158)) * (NIR + -0.024207069))) - Blue)) - (Red + (Red + sqrt(Blue)))"
