Complexity,Loss,Equation
1,1.2913195,"2.367226"
3,1.0018395,"NIR * 5.8928456"
5,0.95163065,"(NIR - Green) * 6.9574175"
6,0.51002526,"2.5978436 - cos(Red / Blue)"
8,0.44728133,"2.5770216 - cos(Red * SR(0.94124687, Blue))"
10,0.40893856,"(cos(Red / (Blue / 0.94759977)) * -1.2707795) - -2.6326754"
12,0.38506496,"(cos(Red * (0.9439368 / Blue)) / ND(Red, NIR)) - -2.6219816"
14,0.3789992,"(cos((0.9439368 / Blue) * Red) / ND(Red, NIR - Green)) - -2.6219816"
16,0.3309142,"cos((Red * SR(ND(Blue / Red, ND(Blue, -0.22195452)), Blue)) + -0.44118753) - -2.432698"
18,0.29653516,"(cos((Green + ND(ND(Blue, -0.24324405), Blue / Red)) / (Blue / Red)) - -1.9611508) * 1.2339528"
20,0.28933686,"(cos((Green + ND(ND(Blue, -0.21698293), (Blue / Red) + Blue)) / (Blue / Red)) - -1.9535645) * 1.2513434"
21,0.28696656,"exp((cos(SR(ND(ND(Blue, -0.8763569 * 0.27685696), Blue / Red), SR(Blue, Red)) + NIR) - -1.4718713) * 0.54251975)"
23,0.2796468,"exp((cos(SR(ND(ND(Blue, (Green + -0.8763569) * 0.27685696), Blue / Red), SR(Blue, Red)) + NIR) - -1.4718713) * 0.54251975)"
25,0.27912953,"exp((cos(SR(ND(ND(Blue, (Green + -0.8763569) * 0.27685696), Blue / Red), SR(Blue, Red)) + NIR) - -1.4718713) * 0.54251975) - Blue"
27,0.27829927,"exp(0.54251975 * (cos(0.28117993 + ((SR(ND(ND(Blue, 0.27685696 * (Blue + -0.8763569)), Blue / Red), SR(Blue, Red)) + Green) + Green)) - -1.4718713))"
29,0.2772084,"exp(0.54251975 * (cos((0.28117993 + (SR(ND(ND(Blue, 0.27685696 * (Blue + -0.8763569)), Blue / Red), SR(Blue, Red)) + Green)) + Green) - -1.4718713)) - Blue"
31,0.2748151,"exp((0.54251975 * (cos(0.28117993 + (SR(ND(ND(Blue, 0.27685696 * (Blue + -0.8763569)), Blue / Red), SR(Blue, Red)) + (Green + Green))) - -1.4718713)) - Green) * 1.0537816"
33,0.2578522,"(((exp(Red / 0.07073287) * cos(ND(ND(Blue + (NIR / SR(-1.3980966, Red)), SR(Red, Red) + -1.1672866), SR(Blue, Red)) / SR(Blue, Red))) - -3.195909) * 0.6292903) + NIR"
35,0.25712347,"NIR + ((((0.048369445 + cos(ND(Blue / Red, ND((NIR / SR(-1.4239442, Red)) + Blue, -1.1691324 + (Red / Red))) / SR(Blue, Red))) * exp(Red / 0.06725205)) - -3.2446795) * 0.60083544)"
39,0.25380096,"(0.65024346 * (((exp(Red / 0.07309294) * cos(ND(ND(Blue + SR(NIR, -1.4265271 / Red), -1.1687982 + SR(Red, Red)), Blue / Red) / SR(Blue, Red))) - (-3.167809 - NIR)) + NIR)) - SR(Green, NIR)"
41,0.25347033,"(((((exp(Red / 0.07309294) * cos(ND(ND(SR(NIR, -1.4265271 / Red) + Blue, -1.1687982 + SR(Red, Red)), Blue / Red) / SR(Blue, Red))) - (-3.167809 - NIR)) + NIR) * 0.65024346) - SR(Green, NIR)) - Blue"
42,0.25327384,"(0.65024346 * (((cos(ND(Blue / Red, ND(Blue + (NIR / (-1.4265271 / Red)), -1.1687982 + SR(Red, Red))) / SR(Blue, Red)) * exp(Red / 0.07309294)) - (-3.167809 - NIR)) + NIR)) - (SR(Green, NIR) * exp(Green))"
43,0.2524883,"((((exp(Red / 0.07309294) * cos(ND(Blue / Red, ND(Blue + SR(NIR, -1.4265271 / Red), SR(Red, Red) + -1.1687982)) / SR(Blue, Red))) - (-3.167809 - NIR)) + NIR) * 0.65024346) - SR(Green, NIR - (Green * 1.337903))"
45,0.25228804,"((((exp(Red / 0.07309294) * cos(ND(Blue / Red, ND(Blue + SR(NIR, -1.4265271 / Red), SR(Red, Red) + -1.1687982)) / SR(Blue, Red))) - (-3.167809 - NIR)) + NIR) * 0.65024346) - SR(Green, (NIR - (Green * 1.337903)) * 1.0758305)"
46,0.2511785,"((((cos(ND(Blue / Red, ND(Blue + ((0.3240114 / (-1.4265271 / Green)) * 1.0044894), SR(Red, Red) + -1.1687982)) / SR(Blue, Red)) * exp(Red / 0.07309294)) - (-3.167809 - NIR)) * 0.63829756) + (Red + (ND(NIR, sqrt(Green)) - Red))) - 0.101785205"
47,0.25081322,"(((((cos(ND(Blue / Red, ND(Blue + (NIR / (-1.4265271 / Red)), SR(Red, Red) + -1.1687982)) / SR(Blue, Red)) * exp(Red / 0.07309294)) - (-3.167809 - NIR)) * 0.63829756) + (sqrt(NIR - NIR) - Red)) + ND(NIR, sqrt(Green))) - Red"
49,0.24989547,"0.98162854 * ((0.65024346 * ((cos(ND(Blue / Red, ND(Blue + (NIR / (-1.4265271 / Red)), -1.1687982 + SR(Red, Red))) / SR(Blue, Red)) * exp(Red / 0.07309294)) - (-3.167809 - NIR))) + (ND((sqrt(NIR - NIR) - Red) + NIR, sqrt(Green)) - Red))"
