Complexity,Loss,Equation
1,1.2913195,"2.367226"
3,1.0018395,"SR(NIR, 0.16969956)"
5,0.9269904,"SR(0.76929736, Green ^ NIR)"
6,0.8891285,"NIR / (Green ^ sqrt(NIR))"
7,0.8529779,"SR(NIR, SR(Green, NIR)) - NIR"
8,0.8461765,"((NIR / 0.33158734) / sqrt(Green)) + -2.5802605"
9,0.7943548,"-9.869617 - ((NIR + (Blue ^ Green)) * -10.475616)"
11,0.74745256,"-11.425821 - ((((Blue ^ Green) - Blue) + NIR) * -11.955815)"
13,0.7185384,"(-7.625505 - (((NIR - Blue) + (Blue ^ Green)) * -7.476034)) / NIR"
15,0.6985655,"(((Blue ^ (Blue + (Green ^ 0.8479769))) * (NIR - -0.38811347)) * 20.632738) + -7.818391"
17,0.6680831,"(((NIR - -0.19801173) * ((Blue ^ ((Blue + Green) ^ 0.5264923)) - Blue)) * 39.505665) + -4.9558206"
19,0.6376491,"(((Blue ^ ((Green + Blue) ^ 0.5264923)) * (((NIR - -0.19801173) - Blue) - Blue)) * 39.505665) + -4.9558206"
21,0.63600224,"(((Blue ^ ((Green + Blue) ^ 0.5264923)) * ((((NIR - -0.19801173) - Blue) - Blue) * 39.505665)) + -4.9558206) - Blue"
23,0.6261668,"((((((NIR - -0.23438723) - Blue) - Blue) * 39.71385) * (Blue ^ ((Green + Blue) ^ 0.5415198))) + -5.6881676) ^ (Red + 0.89945704)"
25,0.46331948,"((((Red ^ Green) + NIR) * ((SR(NIR / (Blue / Red), NIR) / SR(-15.359827, NIR)) + (Red ^ Blue))) * 16.99988) - 15.14815"
27,0.46067902,"Red + ((((NIR + (Red ^ Green)) * ((Red ^ Blue) + (SR(NIR / (Blue / Red), NIR) / SR(-15.182735, NIR)))) * 17.02776) - 15.179263)"
29,0.45954967,"((((Red ^ Blue) + ((NIR / (Blue / SR(Red, Blue + NIR))) / SR(-15.273771, NIR))) * ((NIR + (Red ^ Green)) * 16.931486)) - 15.125544) + Blue"
30,0.45861816,"(sqrt(Red) + ((((Red ^ (Blue / 1.0243886)) + ((SR(NIR, Blue / Red) / NIR) / (-15.049741 / NIR))) * ((Red ^ Green) + NIR)) * 16.779097)) - 15.069291"
32,0.45797822,"(sqrt(Red) + ((((SR(NIR, Blue / Red) / NIR) / (-15.049741 / NIR)) + (Red ^ Blue)) * (((Red ^ Green) + NIR) * 16.779097))) - ((Green + 15.069291) - Red)"
35,0.45648316,"(Red + (((((Red ^ (Blue * 1.0243886)) + ((SR(NIR, Blue / Red) / NIR) / (-15.049741 / NIR))) * ((Red ^ Green) + NIR)) * (16.779097 + Green)) - 15.069291)) + (Green + Red)"
36,0.39590606,"(((((Blue ^ Green) + NIR) * (sqrt(Red ^ Blue) + ((SR(sqrt(Green), SR(Blue, Red)) / NIR) / (-14.760911 / NIR)))) * 12.812641) - 10.877585) - ((Blue / (sqrt(Blue) + -0.13780187)) + NIR)"
37,0.36007887,"((((((NIR + (Blue ^ Green)) * ((((sqrt(Green) / SR(Blue, Red)) / 0.3988775) / (-14.737902 / NIR)) + (0.21244651 ^ Blue))) * 12.819813) - 10.817546) - (Blue / (sqrt(Blue) + -0.13680877))) - 0.8344172) + NIR"
40,0.3563675,"(((((Blue ^ Green) + NIR) * (12.819813 * (((SR(sqrt(Red), SR(Blue, Red)) / 0.3988775) / (-14.737902 / NIR)) + sqrt(Red ^ Blue)))) - 10.817546) - ((Blue / (-0.13680877 + sqrt(Blue))) + (NIR ^ NIR))) * 1.0414748"
