Complexity,Loss,Equation
1,55.320374,"TARP"
3,24.362276,"TARP ^ 1.0366857"
5,22.502817,"(TARP ^ 1.1962142) / 1.8185421"
6,20.480276,"(TARP ^ 1.0612687) - sqrt(VPD)"
7,20.134462,"(TARP ^ 1.0606134) - (VPD * 0.20210852)"
9,18.62148,"(Tair * (-6.9630685 / RH)) + (TARP ^ 1.0658666)"
11,18.276608,"(Tair * (-6.393882 / RH)) + ((TARP + -1.3350577) ^ 1.073179)"
12,18.192776,"(TARP ^ 1.0714687) - ((Tair * (sqrt(Tair) / RH)) + 2.270166)"
13,18.096373,"(TARP ^ 1.0778253) - (log(TARP) + (sqrt(Tair) * (Tair / RH)))"
15,17.875051,"(TARP ^ 1.0778253) - (((1.811961 + (sqrt(Tair) * Tair)) / RH) + log(TARP))"
17,17.835667,"((TARP - 3.3159418) - ((((Tair / RH) * Tair) * 8.107542) / (RH + TARP))) / 0.7497672"
19,17.83413,"((TARP - 3.329661) - ((Tair / ((RH - 0.6476207) + TARP)) * ((Tair / RH) * 8.001583))) / 0.749681"
20,17.637915,"(((log(TARP) * -1.4957285) + TARP) - ((((Tair * Tair) / RH) / (TARP + RH)) * 7.553566)) / 0.7062805"
21,17.154602,"((TARP - 3.6615753) - (((((Tair * Tair) * 0.7800525) / RH) ^ 1.4447918) / (TARP + (RH - Tair)))) / 0.7585322"
23,16.953588,"(((((log(RH) / (Tair - 16.752554)) + 6.66387) * (-0.10294175 - Tair)) / RH) + (log(TARP) * -1.3782274)) + (TARP / 0.7106954)"
25,16.953484,"(((-0.10294175 - Tair) / RH) * (6.66387 + (log(RH) / (Tair - 16.752554)))) + ((log(TARP) * (-1.3782274 + -0.00061489095)) + (TARP / 0.7106954))"
27,15.153163,"(TARP / 0.71433544) + ((-2.19707 * ((((VPD ^ -0.84960043) / (Tair - (sqrt(Tair) - -21.26186))) + 3.0733626) * (Tair / RH))) + (log(TARP) * -1.5195616))"
29,14.465539,"(((((Tair ^ -0.8014521) / (Tair - (sqrt(Tair) - -21.26047))) + 3.0722115) * (-2.1956787 * (Tair / RH))) + ((TARP / 0.648736) + 2.026436)) + (log(TARP) * -3.5432248)"
31,13.530575,"(((VPD / ((Tair * sqrt(VPD / 2.4826467)) - exp(sqrt(RH / 2.3487027)))) + TARP) / 0.6516751) + ((((Tair / RH) * -6.616108) + (log(TARP) * -3.6518314)) + 2.117306)"
33,13.51392,"((((VPD / ((Tair * sqrt(VPD / 2.4826467)) - exp(sqrt(RH / 2.3487027)))) + TARP) / 0.6516751) + ((Tair * (-6.616108 / RH)) + (log(TARP - 0.24002068) * -3.6518314))) + 2.117306"
34,13.5030155,"(inv(0.47229826) + (((VPD / ((sqrt(VPD / 2.4826467) * Tair) - exp(sqrt(RH / 2.3487027)))) + TARP) / 0.6516751)) + ((Tair * (-6.616108 / RH)) + (log(TARP - 0.7984352) * -3.6518314))"
35,13.200224,"((VPD / ((sqrt((RH / 2.3604157) / 2.531071) * Tair) - exp(sqrt(RH / 2.3604157)))) + (((TARP / 0.6476207) + ((Tair / RH) * -6.6210513)) + ((log(TARP) * -3.6382616) + 1.6819221))) - -0.4173413"
44,13.004138,"(((Tair / (-0.9622278 - (RH - (sqrt(exp(Tair)) / RH)))) + log(TARP)) * -3.4045317) + ((TARP / 0.6548211) + ((((VPD * (0.33166662 / ((Tair - -22.058008) - exp(VPD / sqrt(Tair))))) + 3.7722688) * (Tair * (-1.8164898 / RH))) + 2.0712934))"
48,12.338984,"(((log((TARP - 0.25898033) + Tair) * -3.0362928) + (((((VPD * (0.41962728 / ((Tair - -21.9575) - exp(VPD / sqrt(Tair))))) + 3.5903301) / RH) * (Tair * -1.6817442)) + 2.526474)) + (TARP / 0.66611147)) + (3.0357287 / ((Tair - 0.31142998) - exp(VPD / sqrt(Tair))))"
50,12.208225,"(3.2236624 / ((Tair - 0.2475541) - exp(VPD / sqrt(Tair)))) + (((((((VPD * (0.30928874 / ((Tair - -22.139149) - exp(VPD / sqrt(Tair))))) + 3.3078604) / RH) * (Tair * -1.2410202)) + (TARP + 2.4068532)) / 0.66226095) + (log((TARP - -1.1341718) + (Tair * 0.90829533)) * -3.3284628))"
