Complexity,Loss,Equation
1,1.2828854,"2.3759112"
3,0.6720953,"3.4375155 / CH"
5,0.55697274,"(CH * -2.070738) + 5.602688"
7,0.45224717,"(3.9035275 / CH) * (FC - -0.5490814)"
9,0.375923,"(FC - -0.3687225) * ((6.902085 / CH) - 1.4706169)"
11,0.3584823,"(((FC - -0.29018) * (4.420225 / CH)) + 1.9624908) - CH"
13,0.33625454,"(((5.3628497 - (2.0373743 / CH)) / CH) * (FC - -1.8090234)) + -3.3663106"
15,0.33501762,"(-3.4977663 + ((FC - -1.8739218) * ((5.1678677 - (1.977582 / CH)) / CH))) - PISI"
17,0.32978192,"((((FC - -1.742073) * (3.6433287 - (1.3958596 / CH))) / CH) + -2.1599333) * (1.3208882 - PISI)"
23,0.31490508,"((((((3.6848502 - (1.2203213 / CH)) * (FC - -1.5787352)) / CH) + (-0.0036181198 / FC)) - (BNDVI + PISI)) * 1.3269361) + -1.4652247"
25,0.3112288,"((((-0.042511333 / (FC / 0.08779704)) - (SI + PISI)) + (((FC - -1.6855041) / CH) * (3.6873193 - (1.265564 / CH)))) + -1.2318126) * 1.3142388"
27,0.31069195,"Blue + (((-1.2318126 + ((3.6873193 - (1.265564 / CH)) * ((FC - -1.6855041) / CH))) + (((-0.042511333 / (FC / 0.08779704)) - SI) - PISI)) * 1.3142388)"
29,0.31068495,"((((((FC - -1.6855041) / CH) * (3.6873193 - (1.265564 / CH))) + ((Blue / 1.1151631) + -1.2318126)) + ((-0.042511333 / (FC / 0.08779704)) - SI)) - PISI) * 1.3142388"
31,0.30134815,"(((((MRBVI * PISI) / (((0.15584111 * SI) / (IKAW - 0.70003885)) / (MRBVI / SI))) + (FC - -1.3475971)) * ((3.2119498 - (1.2065371 / CH)) / CH)) + -1.4862612) * 1.7816207"
33,0.2853462,"((MRBVI * 1.7796953) * ((((3.1826859 - (1.2343738 / CH)) / CH) * ((PISI / ((-0.2213007 / ((IKAW - 0.6971792) / (MRBVI / -0.44272512))) * 0.21196397)) + (FC - -1.5233359))) + -1.5571533)) + -0.019309029"
35,0.2851201,"MRBVI * ((((((PISI / (-0.20178814 / ((IKAW - 0.69432545) / ((MRBVI / -0.3854851) * 0.20404188)))) + (FC - -1.4816473)) * ((3.1842456 - (1.2019911 / CH)) / CH)) + -1.5207455) * 1.7589792) + (Blue * CH))"
37,0.27270025,"((-1.4862612 + (((3.2119498 - (1.2065371 / CH)) / CH) * ((((MRBVI * (IKAW * -0.28145805)) / (((((SI * 0.15584111) / (IKAW - 0.70003885)) / MRBVI) / MRBVI) + BNDVI)) + FC) - -1.3475971))) * 1.7816207) + Blue"
