Complexity,Loss,Equation
1,1.3037006,"2.3752105"
3,0.6909708,"3.4342284 / CH"
5,0.572594,"(CH * -2.0601988) + 5.588915"
7,0.37792766,"(FC - (CH + -2.2088833)) * 2.3480685"
9,0.37558556,"((FC / SI) - (CH + -2.2089443)) * 2.348015"
11,0.35983372,"((6.594351 + (-1.2653048 / (FC - -0.26527035))) / CH) - 0.67250025"
13,0.3522205,"(((-0.61954516 / (FC - -0.16565882)) + (FC + 5.739855)) / CH) - 0.88850224"
15,0.34242353,"(PISI * -1.8384249) + ((((-0.9491632 / (FC - -0.20449843)) + 6.5189447) / CH) - 1.0770926)"
17,0.34242135,"(PISI * -1.8384249) + (((((-0.9491632 / (FC - -0.20449843)) + 6.5189447) / CH) - 1.0770926) + -0.0013004722)"
21,0.33677164,"((SI - PISI) * (SI + ((FC + (BNDVI * (1.6383938 - CH))) / 0.6089906))) * (MRBVI + (BCC * 4.2894683))"
23,0.33139053,"((SI - PISI) * (((((BNDVI * (2.1373963 - CH)) + FC) / 0.67163616) + SI) * (MRBVI + (BCC * 4.61197)))) - SI"
25,0.32668638,"((BCC * 4.819654) + MRBVI) * ((BNDVI - PISI) * (((((FC + BNDVI) * 1.2155894) + (0.32529682 - (CH * BNDVI))) / 0.6466196) + SI))"
27,0.31463733,"((BNDVI + BNDVI) - PISI) * (-2.7911212 + ((MRBVI + (BCC * 4.7114205)) * (((BNDVI + (FC + ((BCC - CH) * 0.6548138))) + BNDVI) + 1.7527083)))"
29,0.30543694,"((BNDVI - (FC * 0.660916)) * (((((BNDVI + ((BCC + FC) * 2.8485713)) - (CH - 1.1040397)) / 0.46849903) * (MRBVI + (BCC * 4.206457))) - 0.07075355)) + -0.83978814"
31,0.29958823,"(((BNDVI - (FC * 0.64102876)) * (((((BNDVI + ((BCC + FC) * 3.339667)) - (CH - 1.7221303)) / 0.4798851) * (MRBVI + (BCC * 4.2115717))) - 0.48441732)) + -1.8151276) - 0.2442581"
33,0.29928857,"((((BNDVI - (FC * 0.71209)) * ((((BCC + 3.5125291) * FC) + BNDVI) - ((CH * BNDVI) - 1.5240308))) / 0.50204915) * (MRBVI + (BCC * 5.341893))) + ((-3.56185 - PISI) + 1.67865)"
35,0.28684407,"((((((BNDVI - (FC * 0.54129905)) * (((((BCC + FC) * 3.3395987) + BNDVI) - ((BNDVI * CH) - 1.9649909)) / 0.50833184)) * (MRBVI + (BCC * 4.0797243))) + 0.5121716) - PISI) - 0.58935606) + -3.0170567"
