Complexity,Loss,Equation
1,1.2984217,"2.373506"
3,0.6790705,"3.4491045 / CH"
5,0.57331264,"(CH * -2.0744843) - -5.6124554"
7,0.41801518,"((FC + -2.5738242) * CH) + 5.805325"
9,0.3734134,"((CH * -2.3411775) + 5.0350523) + (FC * 2.7209587)"
11,0.36840397,"((((Blue + -0.84532815) * CH) + FC) * 2.8091307) + 4.994834"
13,0.35511526,"(((CH * ((-0.0065025557 / BCC) + -0.7073831)) + 1.731036) + FC) * 2.76515"
17,0.35044998,"((PISI * -1.368034) + 0.7834713) * ((((Blue + -0.8048878) * CH) + (FC + 1.7279289)) / 0.35879037)"
19,0.34985474,"((((-32.783012 - ((FC + -0.8005983) / (IKAW + -0.81668526))) * (CH / 17.715055)) + FC) + BNDVI) + 4.3321476"
21,0.33974186,"(FC + (((CH / 18.4121) * (-32.26968 - (((FC + -0.8461315) / (IKAW + -0.83021146)) / GBNDVI))) + 4.2637243)) + BNDVI"
23,0.3149001,"(FC + BNDVI) + ((((-0.11022797 / FC) + (CH * (-32.79388 - ((FC + -0.8616455) / (IKAW + -0.8248072))))) / 17.657906) + 4.3792143)"
25,0.31047666,"(((-0.107856564 / FC) + ((-32.79078 - (((FC + -0.8928933) / (IKAW + -0.8489877)) / GBNDVI)) * CH)) / 17.71437) + ((FC + BNDVI) + 4.439917)"
27,0.30726093,"((BNDVI + (((CH * (-32.659115 - (((FC + -0.95284545) / (IKAW + -0.84398323)) / GBNDVI))) + (-0.110304356 / FC)) / 17.917528)) + (FC - BCC)) + 4.571904"
29,0.3019752,"FC + ((((((CH * -32.850605) + (-0.07623116 / FC)) - ((((FC + -3.5246716) + (MRBVI + FC)) / (IKAW + -0.86972064)) / GBNDVI)) / 17.541603) + 5.8663692) - BCC)"
31,0.30112344,"(5.8663692 + (FC + (((CH * -32.850605) + ((-0.07623116 / FC) - (((FC + (-3.5246716 + (MRBVI + FC))) / (IKAW + -0.86972064)) / GBNDVI))) / 17.541603))) - (BCC + Blue)"
33,0.29942885,"(5.8663692 + (FC + (((-32.850605 * CH) + ((-0.07623116 / FC) - ((((FC + (-3.5246716 + (MRBVI + 0.040936004))) + FC) / (-0.86972064 + IKAW)) / GBNDVI))) / 17.541603))) - (BCC + Blue)"
35,0.29611087,"(((((CH * -32.2031) + (-0.071741514 / FC)) - ((((((MRBVI + (FC + MRBVI)) + -2.5436666) * 2.1267576) + (BNDVI * -1.738977)) / (IKAW + -0.8773601)) / GBNDVI)) / 17.450544) + (FC * BNDVI)) + 5.984181"
37,0.28697875,"(((((-0.071741514 / FC) + (CH * -32.900574)) - ((((((FC + MRBVI) + (MRBVI + -2.5436666)) * 2.1267576) + -1.738977) / (IKAW + -0.8773601)) / GBNDVI)) / 17.450544) + (((FC - BCC) * 1.1038365) + 5.984181)) - PISI"
