Complexity,Loss,Equation
1,1.2932982,"2.3459759"
3,0.6943861,"3.4141068 / CH"
5,0.57733136,"5.555123 - (CH * 2.0437474)"
7,0.38443032,"((FC - CH) + 2.2060637) * 2.3412519"
9,0.37443423,"((FC - CH) + 2.2292137) * (2.1373713 - PISI)"
11,0.37176746,"BCC + (((FC - CH) + 2.197986) * (2.101339 - PISI))"
13,0.34138492,"((FC + ((-0.035485692 / BCC) - (CH + -2.910935))) * GBNDVI) * 2.717262"
15,0.31956467,"((((-0.046039768 / BCC) + (FC + FC)) * MRBVI) - (CH + -2.790096)) * 1.795872"
17,0.298697,"(GBNDVI * ((((FC + FC) * MRBVI) - (CH + -3.6204972)) + (-0.08881799 / BCC))) * 2.22305"
19,0.29151016,"((GBNDVI + Green) * ((MRBVI * (FC + FC)) + ((-0.0852962 / BCC) - (CH + -3.5623465)))) * 2.061676"
21,0.28310812,"(((((((Green + FC) / 0.47575366) + (-0.08872173 / BCC)) * MRBVI) * MRBVI) - (CH + -3.37279)) * GBNDVI) * 2.2289789"
23,0.28052706,"((((((FC + Green) / 0.45549244) + (-0.09402955 / BCC)) * (MRBVI * (MRBVI * MRBVI))) - (CH + -3.4421089)) * 2.1752172) * GBNDVI"
25,0.27937257,"(GBNDVI * ((((((FC + Green) / 0.43550906) + (-0.09913323 / BCC)) * (MRBVI * (MRBVI * MRBVI))) - (CH + -3.47539)) * 2.1661904)) - 0.029636804"
27,0.27668476,"((((((-0.05082905 / BCC) + FC) / 1.1005096) + Green) * ((-0.079972245 - ((CH + -3.387625) * MRBVI)) * MRBVI)) - (CH + -3.2450325)) * (GBNDVI * 2.5168433)"
29,0.27432695,"((((Green + ((FC + ((-0.054681934 / BCC) * MRBVI)) / 1.1005096)) * (-0.079972245 - (MRBVI * ((CH + -3.387625) * MRBVI)))) - (CH + -3.2450325)) * GBNDVI) * 2.5168433"
31,0.27032214,"(((((-0.21194378 - (MRBVI * ((CH + -3.4499435) * MRBVI))) * (Green + (((FC + (-0.05017899 / BCC)) * MRBVI) / 1.2734877))) - (CH + -2.8425925)) * GBNDVI) * 2.7183883) + FC"
33,0.2700946,"(((((((MRBVI / BCC) * -0.054681934) + FC) / 1.1005096) + Green) * ((MRBVI * MRBVI) * (0.08975125 - (MRBVI * (CH + (MRBVI * -3.387625)))))) - (CH + -3.2450325)) * (GBNDVI * 2.5168433)"
35,0.26522967,"(((((((MRBVI * -0.054681934) / BCC) + ((FC / 1.1005096) + Green)) * (MRBVI * (MRBVI * MRBVI))) * ((-0.079972245 / (BCC / FC)) - (CH + -3.387625))) - (CH + -3.2450325)) * GBNDVI) * 2.5168433"
39,0.25085622,"((((Green + ((MRBVI * (-0.054681934 / BCC)) + (FC / 1.1005096))) * ((BNDVI * (MRBVI * ((-0.079972245 / ((BCC / FC) / FC)) - (MRBVI * (CH + -3.387625))))) * MRBVI)) - (CH + -3.2450325)) * GBNDVI) * 2.5168433"
41,0.24799512,"((((((MRBVI * (-0.054681934 / BCC)) + (FC / 1.1005096)) + Green) * ((MRBVI * MRBVI) * (((-0.079972245 / ((BCC / (Green + FC)) / FC)) - (MRBVI * (CH + -3.387625))) * MRBVI))) - (CH + -3.2450325)) * GBNDVI) * 2.5168433"
47,0.24675937,"((MRBVI * ((0.042421702 / ((BCC / (Green + FC)) / FC)) - ((CH + -3.1843543) * (((MRBVI * (-0.06156101 / BCC)) + ((FC / 1.3981978) + Green)) * (MRBVI * MRBVI))))) - (CH + -3.2293763)) * ((GBNDVI * 2.3938634) - ((Green * (MRBVI * -0.43080956)) / BCC))"
