Complexity,Loss,Equation
1,1.2776558,"2.366211"
3,0.63510925,"3.5355458 / CH"
5,0.56719446,"GEMI / (0.24853635 * CH)"
7,0.3943532,"((FC + NIR) * 4.500325) / CH"
9,0.39396325,"(((FCVI + FC) + NormG) * 4.123295) / CH"
11,0.37840134,"((((NIR + FC) + NormG) * 4.2485075) / CH) + -0.19193903"
13,0.3559746,"((RI + (4.3998103 / CH)) * ((NIR + 0.17353153) + FC)) - 0.37892962"
15,0.3387199,"(((FC + 1.7268066) * ((GOSAVI + MSAVI) + 5.0683184)) / (CH + 0.9302732)) - 2.9869397"
17,0.33812478,"(((MSAVI + GOSAVI) + 5.373551) * ((FC + 2.0253255) / ((CH + 0.66271013) - -0.5323858))) - 3.3943224"
27,0.33746272,"((GOSAVI / (0.5654764 / ((CH * -1.8794848) + (4.5170074 - ((((Red * -1.2633228) - DVI) + -0.7437771) * (FC + FC)))))) - (SAVI * 0.4592977)) / IPVI"
29,0.3339108,"((GOSAVI / (0.45446014 / ((CH * -1.5718482) + (3.547025 - (((Red - (DVI - FC)) - (1.5238907 - DVI)) * (FC + FC)))))) - (GLI * MTVI1)) / IPVI"
31,0.3279274,"((GOSAVI / (0.45446014 / (((CH * -1.5718482) + 3.547025) - (((Red - (DVI - (FC * 0.8373799))) - (1.5238907 - DVI)) * (FC + FC))))) - (GLI * MTVI1)) / IPVI"
33,0.3255792,"((GOSAVI / (0.4847179 / (((CH * -1.5934283) + 3.439582) - (((Red - ((DVI - FC) * 1.1275268)) - (1.7025597 - (Red + 0.04938954))) * (FC + FC))))) - (FC * MTVI1)) / IPVI"
35,0.32465133,"((GOSAVI / (0.4704274 / ((CH * -1.559167) + (3.5401711 - ((((Red - (SAVI - FC)) * 1.0609953) - (1.4922203 - (Red + 0.31899405))) * (FC + FC)))))) - (GLI * MTVI1)) / (Blue + IPVI)"
