Complexity,Loss,Equation
1,1.2828854,"2.3760712"
3,0.6720953,"3.4374435 / CH"
5,0.5578149,"(5.492589 - CH) - CH"
7,0.44434887,"((FC - CH) - CH) + 5.126697"
9,0.38168418,"(FC / 0.40366468) + (4.5864453 - (CH + CH))"
11,0.362031,"((DVI + FC) * 2.392864) - (CH + (CH - 3.7643125))"
13,0.35842207,"DVI + (((FC * 2.541701) - (CH + (CH - 4.159484))) / SI)"
15,0.35477445,"(((DVI + (FC * 2.541701)) - (CH + (CH - 4.159484))) / SI) - ExGR"
17,0.35386023,"(FC * 2.6337068) + ((DVI + (-7.2182465 - ((CH + (CH - 10.339677)) / SI))) - VgNIRBI)"
19,0.3524373,"((FC * 2.7370064) + ((TDVI - (((CH + CH) - 7.104585) / SI)) + -3.3105102)) + (MGRVI * -0.39853776)"
21,0.35042593,"((((((FC * 2.711138) + -8.06526) - (NGRDI * CH)) - (CH + (CH - 12.19174))) + NGRDI) + DVI) / SI"
23,0.34873518,"((((NGRDI + DVI) + (FC * 2.7462115)) + ((0.027899975 - MGRVI) * (CH * GCC))) - ((CH + CH) - 4.096708)) / SI"
25,0.3484655,"((((NGRDI + DVI) + (FC * 2.7462115)) + (((0.027899975 - MGRVI) * (CH * GCC)) - ((CH + CH) - 4.096708))) / SI) + Blue"
27,0.33842528,"(((((0.47208714 - (FC + FC)) * FC) - (CH + (CH - 9.233976))) / SI) + (FC * 3.5363598)) + ((DVI - (NDWI * 1.3445039)) + -6.492693)"
29,0.33466637,"(((((FC + -0.6010114) * ((DVI - FC) * 3.2990856)) + ((FC * 1.6375049) - ((CH + CH) - 6.140922))) / SI) + -3.104468) + ((DVI - NDWI) * 1.6361878)"
49,0.33373237,"(((FC * 3.8710773) + (((FC * ((DVI - FC) + (((((FC * DVI) - (FC + 0.99822915)) * (FC + NIRv)) - (NDWI * 2.1650162)) + (((FC * 3.8710773) + -4.2165847) * FC)))) + DVI) + -4.2165847)) - (NDWI * 2.1650162)) - (CH + ((CH - 6.331465) / SI))"
