Complexity,Loss,Equation
1,1.2984217,"2.373436"
3,0.6790705,"3.4490829 / CH"
5,0.5795994,"(FC - -3.1181223) / CH"
7,0.418121,"((FC + MTVI1) * 3.8531847) / CH"
9,0.3735153,"(-1.5436894 - (-7.03335 / CH)) * (FC + 0.36715108)"
11,0.36203486,"(FC + 0.4530079) * (-2.570009 - (-10.407516 / (CH - -0.4063076)))"
13,0.35922906,"((7.621242 / (CH + 1.0862876)) * ((FC + FCVI) - -1.0992349)) + -3.046155"
15,0.35421714,"((FC + 0.5656345) * ((-3.069529 - (-12.750263 / (CH - -0.78542554))) + NIR)) + -0.26481238"
17,0.35101917,"(((FC + 0.5656345) * ((-3.069529 - (-12.750263 / (CH - -0.78542554))) + NIR)) + -0.26481238) - 0.050916605"
21,0.3501359,"(((FC + 0.6767409) * (-3.6643877 - (-15.066029 / (CH - -1.0907352)))) + (((FC + FC) * NIR) + -0.5326619)) + 0.40599924"
23,0.31281352,"-1.6429368 - ((CH + -3.967208) * (((FC - -0.49878347) + EVI) + (MTVI2 / (MSR + ((DSWI4 + (-3.033615 / IKAW)) - -2.8750427)))))"
25,0.3067656,"(-1.8342894 - ((((FC - -0.4919349) + EVI) + (MSAVI / (DSWI4 + (((-3.6477113 / IKAW) - -3.909768) + MSR)))) * (CH + -3.9178765))) + 0.27585956"
29,0.28266692,"-1.7781562 - (((CH + -3.9361014) * ((FC - -0.6894866) + (EVI + (0.2717605 / ((((-3.474978 / IKAW) + 2.1586332) - -2.6830318) + (MTVI2 + DSWI4)))))) - (ExR + -0.12080588))"
31,0.2803719,"-1.7097558 - (((CH + -3.8327136) * (((FC - -0.5620993) + EVI) + (0.32968646 / ((((-3.272772 / IKAW) + 2.2258813) - -2.7507076) + (NDGlaI + DSWI4))))) - ((VIG + BCC) + -0.052374303))"
33,0.27144065,"((1.2185682 - (((EVI + (MSAVI / ((((-2.5077786 / IKAW) - -2.2079434) + MSR) + 0.9334117))) + (FC - -0.6941353)) * (CH + -3.8668082))) + -2.298006) + (MSAVI / (-0.7520413 / (IKAW - -0.6729482)))"
35,0.2543246,"((MSAVI / (-0.62606925 / (IKAW - -0.30995628))) + (FC + -0.6305636)) - ((((EVI + (MSAVI / ((((-2.6085384 / IKAW) + 0.8864626) - -2.1666071) + MSR))) + (FC - -0.45947927)) * (CH + -3.6198018)) + NormR)"
37,0.24679117,"(((1.3627223 - ((CH + -4.0384407) * ((FC - -0.3952598) + (EVI + (MSAVI / (((-2.60391 / IKAW) - -2.1981912) + (MSR + 0.92138517))))))) + -2.153881) + ((AVI / NormNIR) / (NDSII / (IKAW - -0.7757789)))) + 0.2963487"
