Complexity,Loss,Equation
1,1.2932982,"2.3459759"
3,0.6943861,"3.4141006 / CH"
5,0.57821053,"(2.7615442 - CH) * 1.9816033"
7,0.46020558,"((FC * 3.9890947) + 2.0997174) / CH"
9,0.39176682,"((3.053413 - (FC * -4.9491377)) / CH) + -0.96257824"
11,0.37700766,"(FCVI + ((2.905144 - (FC * -4.8197336)) / CH)) + -1.188941"
13,0.36551583,"(((NormR + 1.7643473) - (FC / -0.77335566)) + (DVI - CH)) * 2.107391"
15,0.36467347,"((DVI + ((1.7583426 - (FC / -0.76082134)) - CH)) + (ExR + NormR)) * 2.1028059"
17,0.3373269,"(((3.1556776 - (FC / -0.24735612)) / CH) + (DVI + (-1.2649337 - PISI))) + (-0.0059781745 / FC)"
19,0.3373226,"((3.154263 - (FC / -0.2476401)) / CH) + ((((DVI + (-0.005996122 / FC)) + -2.4244585) - -1.1631893) - PISI)"
23,0.33444452,"((((3.2434094 - (FC / -0.24446902)) / CH) + ((((-0.005998726 / FC) - (-1.2475619 - -0.005998726)) + -2.4397428) + DVI)) - PISI) - NGRDI"
27,0.33170468,"(((NIRv + (FC + ((VIG * -1.4335232) - (FC / -0.32453176)))) / CH) + ((TDVI + (BIXS * (-0.08933905 / FC))) + -1.3174288)) + (2.8875284 / CH)"
29,0.33006057,"((((FC + NIRv) + ((VIG * -1.3928419) - (FC / -0.34067693))) / CH) + ((BIXS * (-0.0875851 / FC)) + (TDVI + -1.4183798))) + (3.2165859 / (CH + Green))"
33,0.3293513,"((((TDVI + ((BIXS + (0.046811827 / OSAVI)) * ((-0.038695246 / FC) + -1.2586743))) + -1.1948955) + NIRv) + ((VIG * -1.4312055) + ((FC - (FC / -0.325941)) / CH))) + (2.912804 / CH)"
35,0.32906875,"((((BIXS + BIXS) + ((GBNDVI + 1.7178661) / CH)) + -1.1013608) + (MSAVI / CH)) + (((BIXS / FC) * -0.08532928) + ((NIRv + ((DSWI4 + -1.2960392) / -1.9317902)) - ((FC / -0.23957428) / CH)))"
43,0.31914172,"(((((((2.1397004 / CH) + -3.3507712) + ((BIXS / FC) * -0.0476043)) / -0.8374908) - (FC / -0.27391183)) + GBNDVI) / (CH + Blue)) + ((1.7945179 / CH) + (((BIXS * -0.14339438) / FC) + ((((NIRv + MSAVI) / CH) + -1.687116) - GRNDVI)))"
45,0.31741783,"(((((((BIXS / FC) * -0.0476043) + ((2.1397004 / CH) + -3.3507712)) / -0.8374908) - (FC / -0.27391183)) + (GBNDVI + Red)) / (CH + Blue)) + ((((1.7945179 / CH) + (BIXS * (-0.14339438 / FC))) + (((NIRv + MSAVI) / CH) + -1.687116)) - GRNDVI)"
47,0.31695622,"((((((((BIXS / FC) * -0.0476043) + ((2.1397004 / CH) + -3.3507712)) / -0.8374908) - (FC / -0.27391183)) + (GBNDVI + Red)) / (CH + Blue)) + (((1.7945179 / CH) + ((BIXS * (-0.14339438 / FC)) + (((NIRv + MSAVI) / CH) + -1.687116))) - GRNDVI)) + ExR"
