Complexity,Loss,Equation
1,1.2913196,"2.3676069"
3,0.6735165,"3.4357746 / CH"
5,0.4488999,"2.5135713 / (CH - FC)"
7,0.37337777,"5.1843376 - ((CH - FC) * 2.352799)"
9,0.33061686,"(FC + (0.9117066 ^ (CH ^ 4.9454684))) * 2.9060607"
11,0.3205842,"((FC + (0.91209733 ^ (CH ^ 5.090946))) * 2.775044) - PISI"
13,0.2937103,"2.081132 * ((0.20737822 ^ (12733.258 ^ (CH - (FC - -1.241114)))) + GBNDVI)"
15,0.2601207,"((0.628156 ^ ((FC ^ -1.2810583) / (Blue ^ (CH - 1.7782165)))) + 0.4907033) * 2.5884552"
17,0.23977096,"((0.93832326 ^ (((FC ^ -1.0579734) / (0.024430815 ^ (CH - 1.6473242))) ^ 2.7218504)) + GBNDVI) * 2.0760407"
19,0.23721157,"(GBNDVI + (0.8628213 ^ (((FC ^ (-1.1169715 - PISI)) / (0.030849544 ^ (CH - 1.7184901))) ^ 2.7032967))) * 2.0776541"
21,0.23454979,"(((0.86041856 ^ (((FC ^ (-1.002363 - PISI)) / (0.046805218 ^ (CH - 1.6994374))) ^ 2.6830235)) + GBNDVI) - 0.062043466) * 2.1809077"
23,0.23410937,"(GBNDVI + (0.9636425 ^ ((((FC ^ -1.0608068) / (GBNDVI ^ (CH - MRBVI))) / (0.030591726 ^ (CH - 1.6675478))) ^ 2.792074))) * 2.085575"
25,0.23157375,"(GBNDVI + (0.8347535 ^ ((((FC ^ -0.35440728) / (0.17275289 ^ (CH - 1.5901474))) ^ 2.1062071) ^ (FC ^ -0.5652764)))) * (1.737337 - (PISI + PISI))"
27,0.22603571,"((1.8778647 - (PISI + PISI)) * (GBNDVI + (0.8347535 ^ ((((FC ^ -0.35440728) / (0.17275289 ^ (CH - 1.5901474))) ^ 2.1062071) ^ (FC ^ -0.5652764))))) - 0.15346652"
29,0.22508924,"(((GBNDVI + (0.8199233 ^ (((FC ^ -0.35440728) / (0.17275289 ^ (CH - 1.5901474))) ^ (2.1062071 * (FC ^ -0.5652764))))) * (1.8778647 - (PISI + PISI))) - 0.15346652) + Blue"
33,0.22133903,"((FC * (CH - GBNDVI)) - ((GBNDVI + (GBNDVI ^ (((((FC ^ -2.0320785) / (Blue ^ (CH - 1.8904272))) / (Blue ^ (CH - 1.8903785))) / PISI) * -0.58516604))) * -2.403616)) - GBNDVI"
35,0.21678354,"(((CH - GBNDVI) * FC) - ((GBNDVI + (GBNDVI ^ ((((((FC ^ -1.7639284) / (Blue ^ (CH - 1.7825937))) / (Blue ^ (CH - 1.7825537))) * -0.33050436) / PISI) - 0.32855114))) * -2.1888988)) - 0.53129244"
37,0.21504728,"((((FC * (CH - BNDVI)) * BNDVI) - ((GBNDVI + (GBNDVI ^ ((-0.58516604 * (((FC ^ -2.0320785) / (Blue ^ (CH - 1.8904272))) / (Blue ^ (CH - 1.8903785)))) / PISI))) * -2.403616)) - GBNDVI) - PISI"
39,0.2071451,"((((FC * CH) - GBNDVI) - (((0.9581745 ^ ((((FC ^ -2.0016956) / ((Blue ^ (CH - 1.8354794)) / (-0.23062903 / PISI))) / (Blue ^ (CH - 1.8354375))) / (PISI * -0.47243628))) + GBNDVI) * -2.4764347)) - FC) - -0.055888493"
45,0.20713568,"((((FC + -0.14930354) * (CH - (PISI - -1.1168256))) - (((0.9574041 ^ (((((FC ^ -2.0862062) / (Blue ^ (CH - 1.8776072))) / (PISI / -1.1116707)) * (-0.5684144 / (Blue ^ (CH - 1.8775507)))) / PISI)) + GBNDVI) * -2.3634343)) - GBNDVI) - (Blue - 0.27525106)"
