Complexity,Loss,Equation
1,67.84314,"TARP"
3,25.025467,"TARP ^ 1.0384421"
5,23.839903,"TARP * (RH ^ 0.042622674)"
7,21.19543,"((VPD * -0.12008985) + TARP) ^ 1.0617049"
9,20.935131,"(((Tair * -0.009981433) + 1.6066337) * TARP) + -6.4610605"
11,20.557337,"((((Tair * -0.00024340727) + 0.01244987) * TARP) + 0.9290139) * TARP"
13,20.550877,"(((((Tair * -0.00024039639) + 0.011950224) * TARP) + 0.96097887) * TARP) - 0.57958305"
15,17.67585,"((2.52467 / (Tair - (RH * 1.4206743))) + (Tair * -0.34207228)) + (TARP * 1.3899386)"
17,17.209717,"(2.8110275 / (Tair - (RH * 1.419934))) + (((Tair * -0.42762613) + 3.2843122) + (TARP * 1.3730124))"
19,16.68945,"(Tair * -0.31829575) + (((-1.435303 / RH) + 1.4224514) * (TARP + (1.4505796 / (Tair - (RH * 1.4224514)))))"
21,16.638918,"(TARP * ((-1.9605912 / RH) + 1.4245476)) + ((Tair * -0.29436058) - (-2.264109 / (-0.3829073 - ((RH * 1.4054716) - Tair))))"
23,16.592453,"((TARP * ((-1.8658972 / RH) + 1.4269257)) + (RH / ((Tair - (RH * 1.4157345)) * (TARP ^ 0.51727474)))) + (Tair * -0.29802772)"
25,16.576563,"0.55912834 + ((Tair * -0.31701884) + (((-1.6112899 / RH) + 1.4158473) * (TARP + ((TARP + VPD) / ((Tair - (RH * 1.4183779)) * TARP)))))"
27,14.77214,"((((1.6660459 / (Tair - (RH * 1.4213561))) + TARP) * 1.4085137) + (1.4788582 / ((((Tair_1hr + RH) * 0.6475151) + -0.5921677) - RH))) + (Tair * -0.37199628)"
29,14.488484,"(((TARP + ((1.0442134 / (((0.6475151 * (RH + Tair_1hr)) + -0.5921677) - RH)) + (1.6833346 / (Tair - (RH * 1.4213561))))) * 1.4085137) + (Tair * -0.41227224)) + 1.17142"
31,14.193465,"((((1.4547524 / (Tair - (RH * 1.4224514))) + TARP) * (1.4224514 - (0.64751387 / RH))) + (1.4547524 / (-0.5921677 - (RH - (0.64751387 * (Tair_1hr + RH)))))) + (Tair * -0.3651757)"
33,13.867975,"(Tair * -0.3466005) + (((-1.5231333 / RH) + 1.4421835) * ((Tair / ((Tair - (RH * 1.4223155)) * RH)) + (TARP + (1.4421835 / ((((Tair_1hr + RH) * 0.6475036) - RH) + -0.53989935)))))"
35,13.7884035,"((((1.4421835 / (((0.6475036 * (Tair_1hr + RH)) - RH) + -0.53989935)) + (Tair / ((VPD * 0.5852274) * (Tair - (RH * 1.4223155))))) + TARP) * (1.4421835 + (-1.5231333 / RH))) + (Tair * -0.3466005)"
37,13.700027,"(Tair * -0.3466005) + (((-1.5231333 / RH) + 1.4421835) * (TARP + ((1.4421835 / ((-0.53989935 - RH) + ((Tair_1hr + RH) * 0.6475043))) + (RH_1hr / ((TARP * (0.39059457 * (Tair - (RH * 1.4222573)))) + 0.78905696)))))"
39,13.687355,"(-0.3466005 * Tair) + (((-1.5231333 / RH) + 1.4421835) * (TARP + ((1.4421835 / (-0.53989935 - (RH - ((Tair_1hr + RH) * 0.6475043)))) + (RH_1hr / (((0.39059457 * TARP) * (Tair - (RH * 1.4222573))) + (RH_1hr / Tair_1hr))))))"
41,13.547323,"(((RH / ((TARP ^ 0.5197072) * (Tair - (RH * 1.4157)))) + ((1.4157 + (-1.213174 / RH)) * TARP)) + (Tair * -0.3185534)) + ((Tair_1hr / (VPD - (Tair - VPD))) / (-0.59216166 - (RH - ((RH + Tair_1hr) * 0.6481361))))"
43,13.249818,"((((Tair * -0.3185529) + (RH / ((Tair - (RH * 1.4157003)) * (TARP ^ 0.5197074)))) + (TARP * ((-1.8715243 / RH) + 1.4157003))) + ((Tair_1hr / (VPD - (Tair - VPD))) / ((((Tair_1hr + RH) * 0.6480244) + -0.5921621) - RH))) * 1.024471"
45,13.242765,"(((RH / ((Tair - (1.4157003 * RH)) * (TARP ^ 0.5197074))) + (((-1.8715243 / (RH + 0.6480244)) + 1.4157003) * TARP)) + (((Tair_1hr / (VPD - (Tair - VPD))) / ((((Tair_1hr + RH) * 0.6480244) + -0.5921621) - RH)) + (-0.3185529 * Tair))) * 1.024471"
47,13.198897,"((Tair / (VPD - (Tair - VPD))) / (-0.59216166 - (RH - ((RH + Tair_1hr) * 0.6481361)))) + ((((TARP / Tair) + (RH / ((Tair - (RH * 1.4157)) * (TARP ^ 0.5197072)))) + (((1.4157 + (-1.6496929 / RH)) * TARP) + (Tair * -0.3185534))) + -0.5338458)"
49,13.134923,"((Tair * -0.31855354) + ((((Tair / (VPD - (Tair - VPD))) / (((RH + Tair_1hr) * 0.64815134) + (-0.59216166 - RH))) - 0.5787017) + (((-1.6496929 / RH) + 1.4156386) * TARP))) + ((RH / (((Tair - (RH * 1.4156386)) * (TARP ^ 0.5310681)) + -0.22050095)) + (TARP / Tair))"
