Complexity,Loss,Equation
1,6.8457894,"TARP"
3,3.6528378,"TARP ^ 1.0346736"
5,3.598179,"(TARP ^ 1.0443609) + -1.8784128"
7,3.2179978,"((VPD * -0.1158568) + TARP) ^ 1.0589051"
9,3.132189,"((Tair_1hr + 11.032541) * (TARP + -5.808038)) / Tair"
11,3.0695343,"(((TARP ^ 1.6777772) + (Tair_1hr * TARP)) * 0.8235144) / Tair"
13,3.0676062,"((((TARP + -0.5329592) * Tair_1hr) + (TARP ^ 1.6643173)) * 0.8435236) / Tair"
15,3.0163856,"(Tair_1hr / (Tair + 3.9102473)) * (TARP + ((TARP ^ 1.8045651) / (VPD + Tair)))"
17,2.977143,"((((Tair_1hr / Tair) - 0.7343249) / (VPD + Tair)) * (TARP ^ 2.0440235)) + (TARP - 2.0440235)"
19,2.9452941,"((((TARP ^ 1.6939156) / (VPD + Tair)) + (TARP - (Tair ^ (2.834322 / VPD)))) * Tair_1hr) / Tair"
21,2.9343731,"((((TARP ^ 1.729328) / (VPD + Tair)) + ((TARP * 0.972828) - ((Tair_1hr * 1.7255169) / VPD))) * Tair_1hr) / Tair"
23,2.9303498,"((((TARP ^ 1.7503601) / (VPD + Tair)) + (TARP - (Tair_1hr * (2.1950126 / VPD)))) * ((0.9429402 / Tair) * Tair_1hr)) + 1.3195442"
25,2.7855422,"Tair_1hr * ((((TARP + -2.604163) + ((TARP ^ 1.7114484) / (VPD + Tair))) - (1.6369468 / (VPD + (-0.2613736 - (Tair * 1.1881164))))) / Tair)"
27,2.783693,"Tair_1hr * ((((TARP + -1.9327054) + ((TARP ^ 1.6955273) / (VPD + Tair))) - (1.6394615 / (-0.13133867 + ((VPD - Tair_1hr) - (0.24221824 * Tair))))) / Tair)"
29,2.760633,"-2.473857 + (((((TARP ^ 1.6955239) / (Tair + (VPD / 1.1260314))) + TARP) * (Tair_1hr / Tair)) - (1.7053955 / ((-0.13133849 + (VPD - Tair_1hr)) - (0.24248925 * Tair))))"
31,2.7373266,"Tair_1hr * ((((TARP + ((TARP ^ 1.6955272) / (Tair_1hr + (VPD + (RH_1hr / VPD))))) + -1.628029) - (1.6394615 / (VPD + ((-0.1313381 - Tair_1hr) - (Tair * 0.24230045))))) / Tair)"
33,2.7196019,"((((TARP ^ 1.695523) / ((((RH_1hr / VPD) + Tair) + VPD) / 1.0985425)) + ((-2.3656297 + TARP) - (1.7053955 / (((-0.13133876 - (Tair * 0.24240597)) + VPD) - Tair_1hr)))) * Tair_1hr) / Tair"
35,2.708228,"(((((TARP ^ 1.6955237) / (Tair + ((((RH_1hr - TARP) / VPD) + VPD) / 1.0985426))) + (TARP + -2.3656297)) * Tair_1hr) / Tair) - (1.695523 / (((VPD - Tair_1hr) + -0.13133861) - (Tair * 0.2425098)))"
37,2.6904502,"((Tair_1hr / (Tair - 0.76583225)) * (((TARP - (1.8701247 / ((-0.31656575 - (Tair * 0.42989585)) + ((VPD - Tair_1hr) + (VPD - Tair))))) + ((TARP ^ 1.7061266) / (VPD + Tair_1hr))) + -2.1477191)) - (TARP / VPD)"
39,2.6881895,"(((Tair_1hr / (Tair - 0.7658323)) * ((((TARP ^ 1.706127) / (VPD + Tair_1hr)) + -2.1477191) + TARP)) - (1.8701247 / ((VPD - Tair) + ((-0.31656563 - (Tair * 0.43001118)) + (VPD - Tair_1hr))))) - (TARP / (VPD + -0.47020963))"
43,2.6844687,"((Tair_1hr / (Tair - 1.0434471)) * (((((TARP ^ 1.6908971) / (Tair + VPD)) + -2.3468845) + TARP) - (2.869596 / ((VPD - Tair_1hr) - (Tair_1hr - ((VPD + ((Tair * -0.25289166) + -0.3616465)) - (Tair * 0.22795811))))))) - (Tair_1hr / (VPD - 1.3675314))"
45,2.6793158,"((((TARP + ((-2.3468845 + ((TARP ^ 1.6908972) / (Tair + VPD))) - (2.869596 / (((VPD - Tair_1hr) - Tair_1hr) - ((Tair * 0.22794427) - ((Tair * -0.25287783) + (VPD + -0.36164653))))))) - (Tair_1hr / (VPD - 1.1032624))) * Tair_1hr) / (Tair - 0.69809574)) - -0.5300162"
47,2.6737375,"((((TARP ^ 1.6908971) / (Tair + (VPD - (RH / RH_1hr)))) + ((TARP + -1.7760596) - (2.869596 / ((Tair * -0.25288725) + (((VPD - Tair_1hr) - Tair_1hr) - ((Tair * 0.2279537) - (VPD + -0.3616465))))))) * (Tair_1hr / (Tair - 0.69809574))) - (Tair / (VPD + -1.4509225))"
