Complexity,Loss,Equation
1,67.84314,"TARP"
3,25.025467,"TARP ^ 1.0384421"
5,24.745682,"(TARP ^ 1.0462842) + -1.5472705"
7,21.195438,"((VPD * -0.12020358) + TARP) ^ 1.061703"
9,20.935135,"(TARP * ((Tair * -0.009980442) + 1.6065687)) + -6.4593844"
11,20.645504,"((-1.9751357 / RH) + 1.3994405) * (TARP + (Tair * -0.19346292))"
13,20.611713,"(Tair * -0.25631794) + (((-3.2480667 / (RH + 8.825948)) + 1.4145224) * TARP)"
15,17.676752,"((2.460521 / (Tair - (1.4207813 * RH))) + (Tair * -0.34262055)) + (1.3902754 * TARP)"
17,17.265621,"(Tair * -0.4009499) + (((1.8084024 / (Tair - (RH * 1.420381))) + (TARP + 1.6119411)) * 1.379789)"
19,16.810549,"(((-1.6402001 / RH) + 1.4288149) * (TARP + (2.7078722 / (Tair - (RH * 1.4158192))))) + (Tair * -0.309475)"
21,16.642365,"(TARP * ((-1.9605912 / RH) + 1.4245476)) + ((Tair * -0.29436058) - (-2.1806452 / (-0.3829073 - ((1.4054723 * RH) - Tair))))"
23,16.625923,"(Tair * -0.3124344) + (((-1.9587251 / (RH + 1.6317084)) + 1.4336939) * (TARP - (-2.1744454 / (-0.33599725 - ((1.4054784 * RH) - Tair)))))"
25,16.578009,"0.55912834 + ((Tair * -0.31701884) + (((-1.6495079 / RH) + 1.4158473) * (TARP + ((TARP + VPD) / ((Tair - (RH * 1.4183779)) * TARP)))))"
27,14.777669,"((((1.5806017 / (Tair - (RH * 1.4216249))) + TARP) * 1.4085137) + (1.4707981 / (((Tair_1hr + RH) * 0.64751476) + (-0.5921677 - RH)))) + (Tair * -0.37199628)"
29,14.776909,"(((((1.1389612 + 0.4518835) / (Tair - (RH * 1.4216249))) + TARP) * 1.4085137) + (1.4635361 / (-0.5921677 + (((Tair_1hr + RH) * 0.64751476) - RH)))) + (-0.37199628 * Tair)"
31,14.339948,"((1.4635361 / (-0.5921677 - (RH - (0.64751387 * (Tair_1hr + RH))))) + (((TARP + (1.5116832 / (Tair - (1.4218053 * RH)))) * 1.4218053) + (Tair * -0.37199625))) - (VPD / RH)"
33,13.993331,"(Tair * -0.31829575) + (((-1.435303 / RH) + 1.4157048) * (TARP + ((1.4157048 / (((0.64749646 * (Tair_1hr + RH)) - RH) + -0.53989935)) + (Tair / ((Tair - (RH * 1.4224514)) * RH)))))"
35,13.891392,"((((Tair / (RH * (Tair - (RH * 1.4224514)))) + (1.4157048 / ((((RH + Tair_1hr) * 0.64749646) - RH) + -0.53989935))) + TARP) * ((-1.5231333 / RH) + 1.4224514)) + ((Tair * -0.3466005) - -0.70260453)"
37,13.880557,"((Tair * -0.3466005) - -0.70260453) + ((((Tair / ((Tair - (RH * 1.4223156)) * (RH + -1.7948159))) + (1.4157048 / ((((RH + Tair_1hr) * 0.6475036) - RH) + -0.53989935))) + TARP) * ((-1.5231333 / RH) + 1.4224514))"
41,13.717007,"((TARP / VPD) / ((((RH + Tair_1hr) * 0.64749664) - RH) + -0.5921675)) + ((((Tair * -0.31829575) + (TARP * ((-1.6496925 / RH) + 1.4157048))) + ((TARP + Tair) / ((TARP * 0.5197077) * (Tair - (RH * 1.4157048))))) + 0.60726035)"
43,13.618611,"(Tair * -0.3183022) + ((((TARP / (VPD - 3.5890174)) / ((-0.59216523 - RH) + ((RH + Tair_1hr) * 0.6477098))) + ((Tair + TARP) / ((Tair - (RH * 1.4157015)) * (TARP * 0.5197071)))) + (((-1.6496928 / RH) + 1.4157015) * (TARP + 0.5197071)))"
45,13.565438,"((TARP / (VPD - 3.5890174)) / ((-0.59216523 - RH) + ((RH + Tair_1hr) * 0.6477098))) + ((((RH_1hr + TARP) / (((Tair + -0.03680343) - (RH * 1.4157015)) * (TARP * 0.5197071))) + (((-1.6496928 / RH) + 1.4157015) * (TARP + 0.5197071))) + (Tair * -0.3183022))"
47,13.3277025,"((TARP + RH_1hr) / (((Tair + ((-0.03680394 - RH) * 1.4151816)) * 0.5197074) * TARP)) + (((((-1.6496929 / RH) + 1.4157003) * TARP) + (((Tair_1hr / (VPD - (Tair - VPD))) / ((((RH + Tair_1hr) * 0.6480244) + -0.5921621) - RH)) + (Tair * -0.3185529))) + 0.7374297)"
49,13.31109,"((((((Tair_1hr / (VPD - (Tair - VPD))) / ((((Tair_1hr + RH) * 0.6480244) - RH) + -0.5921621)) + (Tair * -0.3185529)) + (TARP * ((-1.6496929 / RH) + 1.4157003))) * 1.0025884) + ((RH + TARP) / ((TARP * (Tair + ((-0.03680394 - RH) * 1.4157003))) * 0.5197074))) + 0.7374297"
