Complexity,Loss,Equation
1,67.84314,"TARP"
3,25.601809,"TARP * 1.1564198"
5,24.759378,"(TARP * 1.232018) - 3.27297"
7,21.60958,"(TARP * 1.361176) + (Tair * -0.30024332)"
9,20.935131,"(((Tair * -0.009980532) + 1.6065753) * TARP) + -6.459551"
11,20.6921,"(Tair * -0.26701963) + ((TARP - (TARP / RH)) * 1.3859717)"
13,20.62823,"(TARP * 1.3741534) + (Tair * (-0.25477085 - (TARP / (RH / 0.04045289))))"
15,20.60138,"(VPD * -0.13889731) + ((TARP - (TARP / (TARP + (Tair * -0.6146171)))) / 0.76655304)"
17,19.671263,"((TARP - (Tair * ((TARP / RH) / (TARP + (Tair * -0.63220984))))) / 0.79080313) + -2.1509547"
19,19.291956,"((TARP - (((Tair * TARP) / RH) / (TARP + (Tair * -0.6167906)))) / 0.7676533) + (Tair * -0.12942366)"
21,19.080076,"(Tair * -0.17610496) + ((TARP - ((Tair * (TARP / (RH + 4.7700677))) / (TARP + (Tair * -0.6059383)))) / 0.754264)"
23,17.446848,"((Tair / (((-7.3376794 / ((-7.3377423 - RH) - (Tair * -0.9180136))) - -337.24396) / (Tair * -2.2627642))) - (TARP * -1.3223207)) + -1.4910815"
25,17.159128,"((Tair / (((-7.3376794 / ((-7.3376794 - RH) - (Tair * -0.9180988))) - -337.24396) / (RH + (Tair * -2.2627642)))) - (TARP * -1.3223176)) + -4.2589025"
27,16.655067,"(Tair / (((Tair * (2.4377 / (-7.412302 - ((Tair * -0.91548777) + RH)))) - -337.24393) / ((Tair * -2.2451506) + RH))) + (-4.8289104 - (TARP * -1.3338928))"
29,16.589287,"((Tair / ((((TARP - (RH_1hr * -2.0540738)) / (-7.41232 - (RH + (Tair * -0.91507256)))) - -337.24393) / (RH + (Tair * -2.2451508)))) + -4.6772933) - (TARP * -1.3338903)"
31,16.520155,"(((Tair - (RH / VPD)) / (((2.4376998 * (Tair / (-7.41232 - ((-0.91507256 * Tair) + RH)))) - -337.24393) / ((Tair * -2.2451508) + RH))) - (TARP * -1.3338903)) + -4.8292427"
33,16.391045,"(((Tair - (RH / VPD)) / ((((TARP - (RH_1hr * -2.0540738)) / (-7.41232 - (RH + (Tair * -0.91507256)))) - -337.24393) / (RH + (Tair * -2.2451508)))) + -4.6772933) - (TARP * -1.3338903)"
35,16.386196,"(-4.6772933 - (TARP * -1.3338903)) + (((Tair - (RH / VPD)) + 0.4348575) / ((((TARP - (RH_1hr * -2.0540738)) / (-7.41232 - ((Tair * -0.91507256) + RH))) - -337.24393) / (RH + (Tair * -2.2451508))))"
37,15.718398,"(((Tair - (RH_1hr / (VPD - (RH - Tair_1hr)))) / (((((RH * 2.4376998) + TARP) / (-7.41232 - ((-0.91507256 * Tair) + RH))) - -337.24393) / ((Tair_1hr * -2.2451508) + RH))) - (-1.3338903 * TARP)) + -4.8292427"
39,14.391206,"-4.8292427 + (((Tair - (RH_1hr / ((-3.768394 - RH) - (-0.91507256 * (Tair_1hr + Tair))))) / ((((Tair * 2.4376998) / (-7.41232 - (RH + (Tair * -0.91507256)))) - -337.24393) / ((Tair * -2.2451508) + RH))) - (TARP * -1.3338903))"
41,14.053328,"(((Tair - ((TARP + TARP) / ((-3.768394 - RH) - ((Tair + Tair_1hr) * -0.91511315)))) / ((((Tair * 2.4376998) / (-7.41232 - ((Tair * -0.91507274) + RH))) - -337.24393) / (RH + (Tair * -2.2451508)))) + -4.867756) - (TARP * -1.3338903)"
43,13.909843,"((Tair - ((TARP + TARP) / ((-3.768394 - RH) - ((Tair + Tair_1hr) * -0.91511315)))) / (((Tair * (2.4376998 / (-7.41232 - ((Tair * -0.91507274) + RH)))) - -337.24393) / (RH + ((Tair * -2.2451508) + -3.768394)))) + (-4.867756 - (TARP * -1.3338903))"
45,13.855921,"((Tair - ((TARP + TARP) / ((-3.768394 - RH) - ((Tair + Tair_1hr) * -0.91511315)))) / ((((Tair + 2.4376998) * (2.4376998 / (-7.41232 - (RH + (Tair * -0.91507274))))) - -337.24393) / ((RH + (-2.2451508 * Tair)) + -3.768394))) + (-4.8292427 - (TARP * -1.3338903))"
47,13.839751,"(((Tair - ((TARP + TARP) / ((-3.768394 - RH) - ((Tair + Tair_1hr) * -0.91511315)))) / (((((Tair + Tair) - Tair_1hr) * (2.4376998 / (-7.41232 - ((Tair * -0.91507274) + RH)))) - -337.24393) / (RH + ((Tair * -2.2451508) + -3.768394)))) + -4.904523) - (TARP * -1.3338903)"
