Complexity,Loss,Equation
1,67.84314,"TARP"
3,25.601809,"TARP * 1.1564196"
5,24.759378,"(TARP + -2.656387) * 1.2320119"
6,21.646828,"(TARP - sqrt(VPD)) * 1.3155924"
7,21.609575,"(TARP + (Tair * -0.22057079)) * 1.3611777"
8,20.998028,"(TARP - (Tair / sqrt(RH))) / 0.7565814"
9,20.935135,"(TARP * (1.606582 - (Tair * 0.009980588))) + -6.4597898"
10,20.828112,"(TARP - (Tair / sqrt(RH + 4.5811744))) / 0.76456565"
11,20.557337,"((TARP * (0.012449788 - (Tair * 0.00024340603))) + 0.929016) * TARP"
14,19.777657,"((TARP - (Tair * 0.2167674)) - inv((Tair_1hr * 2.0432422) - RH_1hr)) * 1.3594538"
16,18.314413,"((TARP * 1.3868233) + (Tair * -0.3359063)) + (-1.8535058 / (Tair + (sqrt(VPD) - VPD)))"
17,17.643509,"(Tair * (Tair * -0.008429539)) + (((0.05127107 / (1.7086798 - (VPD / RH))) + TARP) * 1.3259681)"
18,17.38705,"(((Tair * (Tair * -0.008622465)) - 1.553682) - inv((Tair + -5.4685044) - RH_1hr)) + (TARP * 1.3642889)"
19,17.334694,"(Tair * (Tair * -0.008253968)) + (((TARP + (0.05127255 / (1.7083174 - (VPD / RH)))) * 1.3772475) + -2.474665)"
20,17.32377,"(-1.9432595 / (Tair + (sqrt(VPD) - VPD))) + ((((Tair * Tair) * -0.008192092) + (TARP * 1.366739)) + -1.6643728)"
22,17.286976,"(((inv(RH) / (1.7078117 - (VPD / RH))) + (-2.129005 + TARP)) * 1.3772515) - ((RH - (Tair * Tair)) * -0.008140528)"
23,17.258537,"(((TARP + (-2.528664 / ((1.7046459 - (VPD / RH)) * (RH * -8.164446)))) * 1.3686894) + -2.8652358) - (Tair * (Tair * 0.0074654506))"
24,17.080637,"((TARP * 1.3938186) - 2.8535392) + (((Tair * (Tair + (4.422635 / (Tair_1hr - RH_1hr)))) * -0.008766545) - inv(-5.46732 + (Tair - RH_1hr)))"
25,16.938143,"((inv((Tair + Tair) - RH_1hr) + (Tair * (Tair * -0.008401429))) + ((TARP * 1.3870318) - 2.8218117)) - inv((Tair + -5.4710016) - RH_1hr)"
26,16.921291,"(-2.4102676 + (((0.041969243 / (1.7078117 - (VPD / RH))) + (inv(Tair_1hr - VPD) + TARP)) * 1.3772515)) - ((-0.4817064 - Tair) * (Tair * -0.008140525))"
27,14.700227,"(((Tair * (Tair * -0.008563909)) - 2.8824148) - inv((Tair - RH_1hr) + -5.4698257)) + ((inv((Tair + (-1.1271704 - RH_1hr)) + Tair_1hr) + TARP) * 1.3903283)"
29,14.699448,"(((Tair * (Tair * -0.008563909)) - 2.8824148) - inv((Tair - RH_1hr) + -5.4698257)) + (1.3903283 * ((inv(Tair + ((-1.1271704 - RH_1hr) + Tair_1hr)) + TARP) + -0.008563909))"
33,14.41119,"((TARP * 1.3938146) - 2.8535392) + (((((Tair + (4.422635 / (Tair_1hr - RH_1hr))) * Tair) * -0.008870486) + inv(Tair + ((Tair_1hr - RH_1hr) + -1.1620067))) - inv((Tair + -5.4673448) - RH_1hr))"
34,14.374922,"((TARP * 1.3938186) - 2.8535392) + (((Tair * (Tair + (sqrt(TARP) / (Tair_1hr - RH_1hr)))) * -0.008766545) + (inv(Tair + ((Tair_1hr - RH_1hr) + -1.1620073)) - inv((-5.46732 + Tair) - RH_1hr)))"
35,14.211666,"(((inv(Tair_1hr + ((Tair - RH_1hr) + -1.160975)) - inv((-5.47521 - RH_1hr) + Tair)) + (TARP * 1.3987136)) - 2.822603) + (((Tair + (-0.2567462 / ((RH_1hr - RH) + -0.49973747))) * Tair) * -0.0089104595)"
38,14.201054,"((TARP * 1.398717) - 2.8226027) + ((inv((Tair_1hr + -1.1609753) + (Tair - RH_1hr)) - inv(Tair + (-5.475211 - RH_1hr))) + ((Tair * (((-0.2567462 / ((RH_1hr - RH) + -0.4997536)) + Tair) * -0.008842589)) - inv(VPD)))"
