Complexity,Loss,Equation
1,67.84314,"TARP"
3,25.601809,"TARP / 0.8647379"
5,24.759375,"(TARP * 1.2320058) + -3.2724361"
6,21.64683,"(TARP - sqrt(VPD)) * 1.3155745"
7,21.609575,"(TARP * 1.3611643) + (Tair * -0.30024254)"
8,20.998028,"(TARP - (Tair / sqrt(RH))) * 1.3217219"
9,20.935131,"(((Tair * -0.009980418) + 1.6065713) * TARP) + -6.459529"
10,20.8281,"(TARP - (Tair / sqrt(RH + 4.5479083))) * 1.3080728"
11,18.067812,"inv(28.3872 - RH_1hr) + (1.3097601 * (TARP - sqrt(VPD)))"
13,17.114372,"(TARP - ((Tair / sqrt(RH)) - inv(28.426462 - RH_1hr))) * 1.3195869"
15,16.864132,"(1.345308 * (TARP - ((Tair / sqrt(RH)) - inv(28.410269 - RH_1hr)))) + -1.098797"
17,16.82302,"((TARP - ((Tair / sqrt(RH + 1.8207561)) - inv(28.410269 - RH_1hr))) * 1.345308) + -1.3148593"
19,16.664267,"((inv(28.410269 - RH_1hr) - (VPD / ((VPD + RH) - Tair))) + (TARP - sqrt(VPD))) * 1.345308"
