Complexity,Loss,Equation
1,67.84314,"TARP"
3,25.601809,"TARP * 1.1564198"
5,24.759375,"(TARP * 1.2320058) + -3.2724361"
6,21.646828,"(TARP - sqrt(VPD)) * 1.315583"
7,21.609575,"(TARP * 1.3611695) + (Tair * -0.3002349)"
8,20.84022,"(TARP * 1.3581835) - (Tair / log(RH))"
10,20.7711,"(TARP * 1.3417358) - (Tair / (log(RH) - -0.29596397))"
11,20.749989,"(TARP * 1.3338478) - ((Tair * 23.017422) / (RH + 56.997074))"
12,17.902876,"(VPD * -0.20253822) + (inv(Tair + -33.63214) + (TARP * 1.2917286))"
14,17.24086,"(((TARP + -2.195973) + (VPD * -0.141313)) * 1.3521) + inv(Tair + -33.640144)"
16,17.10838,"inv(((RH * -0.14728698) + 6.2604303) * 1.3930464) + ((TARP * 1.3930467) + (Tair_1hr * -0.37761536))"
18,16.902534,"(inv(((RH * -0.14728698) + 6.2604303) * 1.4435835) + 1.0635072) + ((-0.40009284 * Tair) + (1.3930464 * TARP))"
19,13.692182,"inv((RH * -0.1428454) + 6.0964) + (((TARP * 1.3930464) + (Tair_1hr * -0.39637733)) + inv(Tair + -33.63214))"
21,13.4677515,"((-0.37521574 * Tair) + (inv((RH * -1.4254538) + Tair) + (TARP * 1.3930464))) + inv((RH * -0.1428454) + 6.0964)"
23,13.007458,"(((Tair * -0.37761536) + (TARP * 1.3930467)) + inv(((RH * -0.14728698) + 6.2604303) * 1.3930464)) + inv((RH * -1.4251759) + Tair)"
25,12.792781,"inv(Tair + (RH * -1.4251759)) + ((inv(((RH * -0.14728698) + 6.2604303) * 1.4316676) + 0.92246085) + ((Tair * -0.40009284) + (TARP * 1.3930464)))"
27,12.780409,"((Tair * -0.40009284) + ((1.3930467 * TARP) + (RH / RH_1hr))) + (inv((RH * -1.4251759) + Tair) + inv(((-0.14728698 * RH) + 6.2604303) * 1.3930464))"
28,12.634433,"(inv(Tair + (RH * -1.4251759)) + inv(((RH * -0.14728698) + 6.2604303) * 1.4399606)) + (((TARP * 1.3930467) + sqrt(RH / Tair)) + (Tair * -0.40009284))"
30,12.572036,"((Tair * -0.40009284) + ((TARP * 1.3930467) + sqrt(RH / Tair_1hr))) + ((inv(((-0.14728698 * RH) + 6.2604303) * 1.3930464) - 0.25732377) + inv((-1.4251759 * RH) + Tair))"
