Complexity,Loss,Equation
1,67.84314,"TARP"
3,25.601809,"TARP * 1.1564198"
4,25.601805,"inv(0.8647377 / TARP)"
5,24.759375,"(TARP * 1.232012) - 3.2726994"
6,21.646828,"(TARP - sqrt(VPD)) * 1.3155924"
7,21.609575,"(Tair * -0.3002554) + (TARP * 1.3611906)"
8,20.840221,"(TARP * 1.3581831) - (Tair / log(RH))"
9,20.656498,"((TARP - sqrt(VPD)) - sin(RH)) * 1.3213408"
10,20.327618,"((Tair * -0.22328655) + (TARP - sin(RH))) / 0.7296858"
11,19.79552,"((TARP - sqrt(VPD)) - sin(RH / 0.97759235)) * 1.3211106"
12,19.089987,"(((0.010670252 / tan(RH_1hr)) + -0.31711078) * Tair) + (TARP * 1.3714626)"
13,17.805025,"((exp(0.0859984 / tan(RH_1hr)) + TARP) * 1.3824298) - (Tair * 0.38614118)"
14,17.589073,"(Tair * -0.42526165) + (exp(exp(0.03710627 / tan(RH_1hr))) + (TARP * 1.3781939))"
15,17.542963,"(((TARP * 1.3757762) + (Tair * -0.45546514)) + exp(0.097362295 / tan(RH_1hr))) + 2.7063236"
16,15.820056,"TARP - (10.078859 - ((11.462189 / Tair) * (tan((RH_1hr + 3.300259) / 6.7423472) + TARP)))"
17,15.27444,"(Tair * -0.43074998) + (exp(exp(sin(0.03710566 / sin(Tair / 0.030656964)))) + (TARP * 1.3774384))"
18,15.271038,"(TARP * 1.3774384) + ((Tair * -0.43074998) + exp(exp(sin(0.03710566 / tan(sin(Tair / 0.030656964))))))"
19,14.86817,"((Tair * -0.42526197) - 1.3781921) + ((exp(exp(sin(0.037105665 / sin(Tair / 0.03065698)))) + TARP) * 1.3781921)"
20,14.7414465,"((exp(exp(sin(0.037105665 / sin(Tair / 0.030656977)))) + (TARP * 1.3781921)) + (Tair * -0.42526197)) - cos(RH)"
21,14.303247,"exp(exp(sin(0.03710566 / sin(Tair / 0.030656964)))) + (((TARP - sin(tan(Tair_1hr))) * 1.3781921) + (Tair * -0.4337044))"
23,14.166916,"((exp(exp(sin(0.037105665 / sin(Tair / 0.030656977)))) + (TARP * 1.3781921)) + (Tair * -0.42526197)) - sin(tan(VPD * VPD))"
25,13.988922,"((TARP - (8.718404 - ((TARP - tan(0.54376084 - (RH * RH_1hr))) * (7.4244256 / Tair)))) / 0.91626614) - tan(sin(tan(Tair_1hr + 0.029036844)))"
26,13.6366625,"(TARP - (cos(VPD * 7.696949) + ((0.080118045 / sin(tan(9.484054 - RH))) + (7.696949 - ((TARP * 9.484054) / Tair))))) - sin(tan(Tair_1hr))"
27,13.390218,"(TARP - ((0.08011797 / sin(tan(9.484054 - RH))) + (tan(cos(VPD * 7.696949)) + (7.696949 - (TARP * (9.484054 / Tair)))))) - sin(tan(Tair_1hr))"
29,13.373074,"TARP - (tan(cos(RH * 6.8000245)) + (((0.08011736 / sin(tan(9.484054 - RH))) + 7.7608275) - ((TARP / Tair) * (9.484054 - sin(tan(Tair_1hr / 0.9992495))))))"
30,13.299356,"TARP - (tan(cos(RH * 6.8000245)) + ((0.08011736 / sin(tan(9.484054 - RH))) + (7.7608275 - (((TARP / Tair) * 9.484054) - tan(sin(tan(Tair_1hr / 0.9992495)))))))"
