Complexity,Loss,Equation
1,67.84314,"TARP"
3,25.025467,"TARP ^ 1.0384444"
5,22.996544,"TARP ^ ND(Tair, -0.581485)"
6,22.017246,"SR(TARP, 0.7829627) - sqrt(VPD)"
7,21.47924,"(TARP / 0.7552751) - (VPD ^ 0.59702927)"
8,21.038532,"(TARP / 0.78020597) - SR(Tair, sqrt(RH))"
10,20.794327,"(TARP / 0.7800103) - (sqrt(VPD) + tan(sin(RH)))"
11,20.274382,"((TARP / 0.7740573) - SR(Tair, sqrt(RH))) - sin(RH)"
12,20.27438,"(TARP / tan(0.65872085)) - (SR(Tair, sqrt(RH)) + sin(RH))"
13,20.011507,"SR(TARP, 0.77896726) - ((tan(sin(RH)) + cos(RH)) + sqrt(VPD))"
14,19.630396,"(((TARP + TARP) * (Tair ^ -0.13327691)) - (-0.3165422 / tan(RH_1hr))) + -5.1381974"
16,17.684053,"(-5.421 + ((Tair ^ -0.1274272) * (TARP + TARP))) - (Tair / (tan(RH) + RH))"
18,17.525017,"(((Tair ^ -0.12459305) * (TARP + TARP)) + -5.818231) - (VPD / ((RH + tan(RH)) - 0.74902904))"
19,17.009554,"(-5.978122 + (((Tair ^ -0.12339833) * (TARP + TARP)) - (Tair / (RH + tan(RH))))) - cos(RH)"
21,16.88936,"((((Tair ^ -0.12323433) * (TARP + TARP)) - cos(RH)) + -6.0102863) - (VPD / (RH - (0.7044602 - tan(RH))))"
22,16.739635,"(-5.7734113 - (VPD / ((RH + tan(RH)) - tan(TARP)))) + (((Tair ^ -0.12429771) * (TARP + TARP)) - cos(RH))"
23,16.019886,"((((TARP + TARP) * (Tair ^ -0.12389114)) - sin(RH ^ 0.6425753)) + -6.13935) - (VPD / (RH - (0.41603455 - tan(RH))))"
24,16.00449,"((TARP + TARP) * (Tair ^ -0.12268634)) + (-6.2892404 - ((VPD / (RH - (sin(Tair_1hr) - tan(RH)))) + sin(SR(RH, -5.273814))))"
26,15.831236,"(-5.7734113 - (VPD / (RH - (0.32043147 - tan(RH))))) + (sin(tan((RH_1hr / 0.21187589) ^ 0.4344185)) + ((Tair ^ -0.12429771) * (TARP + TARP)))"
27,15.712059,"((-5.7734113 - (VPD / (RH - (tan(TARP) - tan(RH))))) + sin(tan((RH_1hr / 0.21187589) ^ 0.4344185))) + ((Tair ^ -0.12429771) * (TARP + TARP))"
28,15.491117,"((((Tair ^ -0.12389114) * (TARP + TARP)) - sin(RH ^ 0.6425753)) - sin(RH ^ 0.6425753)) + (-6.13935 - (VPD / (RH - (0.41603455 - tan(RH)))))"
