Complexity,Loss,Equation
1,67.84314,"TARP"
3,25.025467,"TARP ^ 1.0384444"
5,22.897053,"TARP ^ ND(Tair, -0.5577976)"
6,21.64683,"(sqrt(VPD) - TARP) * -1.3155745"
7,21.125416,"(TARP ^ ND(Tair, -0.84686255)) + -4.2560897"
8,20.840225,"SR(TARP, 0.7362797) - (Tair / log(RH))"
9,20.656496,"(sqrt(VPD) + (sin(RH) - TARP)) * -1.3213394"
10,20.27879,"((TARP ^ ND(Tair, -0.84686255)) + -4.035512) - sin(RH)"
11,18.541569,"((TARP / 0.7676148) - sqrt(VPD)) - ND(cos(RH), -0.044272393)"
12,18.07324,"((sqrt(VPD) - TARP) * -1.3365661) + ND(inv(RH), sin(RH_1hr))"
13,17.06197,"SR(TARP, 0.7265266) - ((Tair / log(RH)) - ND(0.04247704, sin(RH_1hr)))"
15,16.915005,"((0.7738043 + TARP) / 0.74006826) - ((Tair / log(RH)) - ND(0.0416122, sin(RH_1hr)))"
16,16.758173,"(TARP / 0.7684274) - ((SR(Tair, sqrt(RH)) + cos(RH)) - ND(0.041879676, sin(RH_1hr)))"
17,16.23858,"(TARP / 0.7684273) - ((sin(tan(Tair_1hr)) - ND(0.042041957, sin(RH_1hr))) + SR(Tair, sqrt(RH)))"
18,16.09916,"(TARP / 0.7684273) - ((tan(sin(tan(Tair_1hr))) - ND(0.042041957, sin(RH_1hr))) + SR(Tair, sqrt(RH)))"
19,15.557986,"SR(TARP, 0.73418856) - ((SR(Tair, sqrt(RH)) + (sin(tan(Tair_1hr)) - ND(0.043833863, sin(RH_1hr)))) * 1.4206861)"
20,15.502626,"SR(TARP, 0.7362797) - (((tan(sin(tan(Tair_1hr))) - ND(0.043833863, sin(RH_1hr))) + SR(Tair, sqrt(RH))) * 1.4206861)"
21,15.205049,"SR(TARP, 0.7265266) - (1.5153264 * ((SR(Tair, sqrt(RH)) + sin(tan(Tair_1hr / 0.9992495))) - ND(0.04551231, sin(RH_1hr))))"
22,14.8841715,"SR(TARP, 0.7299105) - (((tan(sin(tan(Tair_1hr / 0.9992495))) + SR(Tair, sqrt(RH))) - ND(0.04551231, sin(RH_1hr))) * 1.5153264)"
23,14.85137,"SR(TARP, 0.7299105) - (1.5153264 * (tan(sin(tan(Tair_1hr / 0.9992495))) + (SR(Tair, sqrt(RH)) - ND(0.04551231, tan(sin(RH_1hr))))))"
24,14.110048,"((Tair ^ -0.1222732) * (TARP + (TARP + (-9.82891 - tan(SR(sin(RH ^ 0.6433974), 0.7005715)))))) - (VPD / (tan(RH) + RH))"
25,13.559814,"((Tair ^ -0.120958395) * (((TARP + TARP) + -10.098559) - tan(tan(sin(RH ^ 0.6429816)) * 0.9340565))) - (VPD / (tan(RH) + RH))"
27,13.290693,"(((TARP + (TARP + -10.482094)) * (Tair ^ -0.12407466)) - tan(tan(sin(RH ^ 0.6426382) * 0.9119685) - 0.15355465)) - (VPD / (tan(RH) + RH))"
29,13.078006,"((Tair ^ -0.11970457) * ((-10.264233 - tan(SR(sin(RH ^ 0.6437202), 0.6999388))) + (TARP + TARP))) - (SR(VPD, tan(RH) + RH) - sin(SR(Tair, -0.033171453)))"
