Complexity,Loss,Equation
1,67.84314,"TARP"
3,25.601809,"TARP * 1.1564198"
5,24.759375,"(TARP + -2.6561754) * 1.2320055"
7,21.609575,"(Tair * -0.3002364) + (TARP * 1.3611776)"
9,20.935131,"(TARP * ((Tair * -0.009978157) + 1.6064378)) + -6.456693"
11,20.557335,"((TARP * ((Tair * -0.0002434263) + 0.012450666)) + 0.9290042) * TARP"
13,20.550747,"(((((Tair * -0.00024166278) + 0.012001093) * TARP) + 0.9604817) * TARP) + -0.5818206"
15,19.350443,"TARP * (0.9862806 - (((Tair / Tair_1hr) + -1.212856) * ((TARP + -15.275294) / VPD)))"
17,19.286663,"((0.95690846 - (((Tair / Tair_1hr) + -1.2200577) * ((TARP + -16.805243) / VPD))) * TARP) - -1.336468"
19,18.160568,"TARP / (0.87306815 - ((((-1.6188294 / Tair_1hr) * Tair) + 1.8303131) / (VPD / (TARP + (-14.162223 - VPD)))))"
21,18.159437,"(TARP / (0.87516934 - ((((Tair * -1.6445705) / Tair_1hr) + 1.859165) / (VPD / ((TARP - VPD) + -14.295655))))) - -0.15118805"
23,18.091986,"(TARP / (0.90829307 - ((((Tair * -1.6984799) / Tair_1hr) + 1.9337472) / (VPD / ((TARP + -16.267557) - (VPD / 1.2026908)))))) - -1.0852115"
25,18.056368,"((TARP + -3.8106399) / (0.8956687 - ((((-1.8091995 / Tair_1hr) * Tair) + 2.058388) / (VPD / ((TARP + -16.218431) - (VPD / 1.1860226)))))) + 4.716902"
27,17.689512,"(TARP - ((((TARP + -12.720648) - VPD) * ((Tair / VPD) + -0.47698545)) * (((Tair_1hr / Tair) * ((TARP * -0.015132314) + -5.833651)) + 5.7786407))) * 1.1354339"
29,17.079905,"(TARP - ((((Tair / (VPD + 15.734318)) + -0.48473826) * ((Tair_1hr * ((-21.67936 - (TARP * 0.03920464)) / Tair)) + 20.807264)) * (TARP + (-13.544896 - VPD)))) * 1.1403852"
