Complexity,Loss,Equation
1,67.84314,"TARP"
3,25.025467,"TARP ^ 1.0384421"
5,22.959772,"TARP ^ (RH ^ 0.011144577)"
7,20.831776,"(TARP - (1.0587399 ^ Tair)) / 0.75208145"
9,20.804798,"((TARP / 0.74890107) + -0.9242983) - (1.0651723 ^ Tair)"
11,20.751617,"(TARP / 0.74790394) - (Tair * ((RH ^ -0.30612814) / 1.3315195))"
13,20.63517,"(TARP / 0.7614942) + (-2.5797794 - ((0.98238176 ^ RH) / (0.93696785 ^ Tair)))"
15,19.82056,"((TARP / 0.7678023) + -3.5766444) - ((0.9777305 ^ (0.6627231 ^ (Tair - RH))) / 0.1957569)"
17,18.338789,"(TARP - ((0.9591823 ^ (-0.77691686 / ((3.6982548 - Tair_1hr) + RH_1hr))) / (VPD ^ -0.614457))) * 1.3877888"
19,17.779861,"1.3409206 * (TARP - ((1.147076 ^ (-0.7408507 / (((Tair_1hr - 0.22261046) / 1.1222769) - RH_1hr))) / (VPD ^ -0.5352043)))"
21,17.560934,"((0.6759241 + TARP) - ((1.147076 ^ (-0.6199858 / (((Tair_1hr - 0.22261046) / 1.1222769) - RH_1hr))) / (VPD ^ -0.5766137))) * 1.3409206"
23,17.457972,"1.3409206 * ((TARP - ((1.147076 ^ (-0.5879686 / (((Tair_1hr - 0.22261046) / 1.1222769) - RH_1hr))) / ((VPD - -1.911917) ^ -0.5871753))) - -1.1890602)"
25,17.237438,"1.3409206 * ((TARP - ((1.147076 ^ (-0.5879686 / (((Tair_1hr - 0.22261046) / 1.1222769) - RH_1hr))) / ((VPD + (Tair / VPD)) ^ -0.5871753))) - -1.1451536)"
27,17.08011,"(-3.8601296 - ((VPD ^ ((-1.4570873 + (0.5661582 ^ (Tair - RH))) / (TARP * (((Tair_1hr - 0.2032095) / 1.1229311) - RH_1hr)))) / 0.17294791)) + (TARP * 1.3167887)"
29,16.828846,"(TARP * 1.3167887) + (-3.8601296 - ((Tair_1hr ^ (((0.56455284 ^ (Tair - RH)) + -1.5146246) / ((((Tair_1hr - 0.2226105) / 1.1223694) - RH_1hr) * TARP))) / (Tair_1hr ^ -0.5181183)))"
