Complexity,Loss,Equation
1,67.84314,"TARP"
3,25.601809,"TARP / 0.8647623"
5,24.759373,"-3.2752666 - (TARP * -1.232071)"
7,21.609575,"(TARP * 1.3611685) - (Tair * 0.30024475)"
9,20.935131,"(((Tair * -0.009981539) + 1.6066277) * TARP) + -6.460669"
11,20.557335,"TARP * ((TARP * ((Tair * -0.00024340712) + 0.012450177)) - -0.92900795)"
13,20.550749,"(((((Tair * -0.00024165637) + 0.011999217) * TARP) - -0.96060324) * TARP) - 0.5842772"
15,16.359877,"(10.773706 / (Tair / TARP)) + (((-5.21624 / (RH + -42.513733)) + TARP) + -9.793229)"
17,16.237057,"((Tair + 9.369589) / ((Tair / TARP) + -0.018155975)) + ((-5.1798725 / (RH + -42.51217)) + -9.3237505)"
19,16.219715,"((Tair + 11.21093) / (Tair / TARP)) + (((Tair - RH_1hr) * (0.30189705 / (RH + -42.627502))) + -9.937243)"
21,13.607629,"(((((-5.152783 / (RH + -42.476086)) + 10.939877) + Tair) / (Tair / TARP)) + (1.3070703 / (28.449688 - RH_1hr))) + -10.311784"
23,12.659309,"(((-2.7272701 / (-42.69658 + (RH + 0.39140335))) + (Tair + 11.706743)) / (Tair / TARP)) + (-11.100141 + (0.94389343 / (28.386106 - RH_1hr)))"
25,12.023437,"((Tair + 11.684447) / (Tair / TARP)) + (((((Tair - RH_1hr) * 0.32814276) / (RH + -42.693283)) + -10.77359) + (0.9816982 / (28.37717 - RH_1hr)))"
27,11.984056,"(Tair * (0.027959196 / (28.376713 - RH_1hr))) + ((((Tair + 11.684451) / (Tair / TARP)) + -10.84022) + (((Tair - RH_1hr) * 0.32813603) / (RH + -42.64816)))"
29,11.97641,"((((Tair * 0.027958797) / (28.376713 - RH_1hr)) + (((Tair + 0.7037389) - RH_1hr) * (0.32813755 / (RH + -42.64816)))) + ((Tair + 11.684447) / (Tair / TARP))) + -10.840225"
31,11.730808,"(((((Tair - RH_1hr) * 0.32813752) / (RH + -42.69328)) + (0.97527325 / (28.376713 - RH_1hr))) + (((Tair + (1.1909167 / (Tair - TARP))) + 11.684447) / (Tair / TARP))) + -10.702458"
33,11.490282,"((Tair / VPD) / (Tair - TARP)) + ((((Tair + 11.684447) / (Tair / TARP)) + ((0.32813752 / (RH + -42.69328)) * (Tair - RH_1hr))) + (-10.718029 + (0.96420467 / (28.376713 - RH_1hr))))"
35,11.34723,"(((0.32813853 / (RH + -42.69328)) * (Tair - RH_1hr)) + ((0.94390804 / (28.376781 - RH_1hr)) + (((Tair + 11.684447) / (Tair / TARP)) + ((Tair / VPD) / ((Tair - TARP) - 0.2874179))))) + -10.715673"
37,11.32012,"((Tair / (-1.3170105 + VPD)) / ((Tair - TARP) - 0.27722496)) + (-10.715673 + ((((11.684447 + Tair) / (Tair / TARP)) + (0.94390804 / (28.376781 - RH_1hr))) + (((Tair - RH_1hr) * 0.32813853) / (RH + -42.69328))))"
39,11.234124,"(((Tair - RH_1hr) / (RH + -42.69328)) * 0.32813752) + (((0.95968246 / (28.376713 - RH_1hr)) + ((Tair + 11.684447) / (Tair / TARP))) + ((((0.57427895 / (VPD - TARP)) + (Tair / VPD)) / (Tair - TARP)) + -10.663427))"
41,11.152361,"(((((Tair - RH_1hr) * (0.32813752 / (RH + -42.69328))) + ((Tair + 11.684447) / (Tair / TARP))) + ((((1.1109068 / (VPD - (TARP + 0.14340617))) + Tair) / VPD) / (Tair - TARP))) + (0.9439076 / (28.376713 - RH_1hr))) + -10.842839"
43,10.9510145,"((((1.5408839 / (VPD - (TARP + 0.14340617))) + Tair) / VPD) / ((Tair - TARP) - 0.2772243)) + (((((Tair - RH_1hr) * 0.32813752) / (RH + -42.69328)) + ((Tair + 11.684447) / (Tair / TARP))) + ((0.9439076 / (28.376713 - RH_1hr)) + -10.814397))"
45,10.922266,"(((((Tair + 11.684447) / (Tair / TARP)) + (((Tair - RH_1hr) * 0.32813752) / (RH + -42.69328))) + (0.9439076 / (28.376713 - RH_1hr))) + ((((1.5408839 / (VPD - (TARP + 0.14340617))) + Tair) / (VPD - 0.75083685)) / ((Tair - TARP) - 0.2772243))) + -10.682552"
47,10.9212675,"(((0.9439076 / (28.376713 - RH_1hr)) + ((Tair + 11.684447) / (Tair / TARP))) + (((Tair - RH_1hr) * (0.32974413 / (RH + -42.69328))) + ((((1.5408839 / (VPD - (TARP + 0.14340617))) + TARP) / (VPD - (Tair / TARP))) / ((Tair - TARP) - 0.2772243)))) + -10.670991"
49,10.913979,"(((0.32813868 / (RH + -42.69328)) * (Tair - RH_1hr)) + ((((Tair + ((1.4126185 * Tair) / ((VPD - (TARP + 0.1427413)) * RH_1hr))) / (-1.3170105 + VPD)) / ((Tair - TARP) - 0.27722502)) + -10.715673)) + (((Tair + 11.684447) / (Tair / TARP)) + (0.9439081 / (28.376791 - RH_1hr)))"
