Complexity,Loss,Equation
1,67.84314,"TARP"
3,30.714598,"TARP ^ 1.0033519"
5,24.759336,"(TARP * 1.2319795) - 66.63655"
7,21.288918,"(TARP * 1.3488055) + (Tair * -0.34217805)"
9,21.044977,"((Tair * -0.0017171234) + 1.8689343) * (TARP + -76.847176)"
11,20.867086,"(((Tair * -0.002845659) + 2.201205) * (Tair + TARP)) - 506.1754"
13,20.671043,"(TARP + ((-17.062103 / VPD) + -73.17245)) * ((Tair * -0.0021718037) + 1.9904624)"
15,19.949724,"(((TARP + Tair) - (Tair * 1.2571894)) - (0.6482666 / (VPD - 23.81697))) * 1.3541876"
17,16.826092,"(RH_1hr / ((2.035456 / RH) - 4.796863)) + (((TARP + Tair) - (Tair * 1.2793598)) * 1.3926507)"
19,16.679106,"(RH_1hr / ((1.9691851 / RH) - 4.6383305)) + ((((RH - Tair) * 1.2859838) + (TARP + Tair)) * 1.4020926)"
21,16.648197,"(RH_1hr / ((2.111758 / RH) - 4.977811)) + (((RH + (RH + (TARP + Tair))) - (Tair * 1.2851163)) * 1.3988415)"
23,16.645596,"((((RH - Tair) * 1.2831403) + ((Tair + TARP) + RH)) * 1.3974181) + ((RH_1hr / ((1.9836061 / RH) - 4.6725845)) - 0.6485722)"
25,16.157267,"(((Tair + TARP) - (1.3390032 * Tair)) * 1.3963343) - (((-0.3122752 / ((1.3291782 / RH) - 3.1312275)) - 24.068483) - (0.30852777 / (VPD + -23.648983)))"
27,14.602726,"((((Tair + TARP) - (1.3360884 * Tair)) * 1.3876449) - ((-0.3192715 / ((1.3290232 / RH) - 3.1312315)) - 24.397581)) - (1.344548 / ((0.5983471 * VPD) - 24.228474))"
29,13.56543,"((((TARP + Tair) - (1.3360887 * Tair)) * 1.3876479) - ((-0.39618772 / ((1.3415614 / RH) - 3.152734)) - 24.61591)) - (-0.5528731 / ((RH - 24.277401) + (VPD * 0.59921455)))"
31,12.520809,"(((Tair + TARP) - (Tair * 1.3390136)) * 1.3965249) - (((-0.3138213 / ((1.3340529 / RH) - 3.14237)) - 23.790943) - (1.4871117 / (24.29824 - (((TARP ^ RH) - VPD) * -0.6658578))))"
33,12.368058,"(((((RH - Tair) * 1.3546633) + (Tair + TARP)) * 1.4283427) - (2.0828354 / ((((TARP ^ RH) - VPD) * -0.6780965) + -24.775522))) + (22.926079 - (-0.3701339 / ((1.3428941 / RH) - 3.160184)))"
35,12.278155,"((((RH - Tair) * 1.3546633) + (Tair + TARP)) * 1.4283427) + ((23.106073 - ((RH_1hr * -0.7781154) / ((1.3428941 / RH) - 3.160184))) - (2.0828354 / ((((TARP ^ RH) - VPD) * -0.6780965) + -24.775522)))"
37,12.254682,"(((((RH - Tair) * 1.3546633) + (Tair + TARP)) * 1.4283427) + (23.106073 - (((-0.3213303 - RH_1hr) * RH_1hr) / ((1.3428941 / RH) - 3.160184)))) - (2.0828354 / ((((TARP ^ RH) - VPD) * -0.6780965) + -24.775522))"
39,12.160327,"(((((Tair + TARP) - (6.2669716 / VPD)) - (1.4674555 / ((((TARP ^ RH) - VPD) * -0.67834073) + -24.785477))) + (((RH + RH) - Tair) * 1.3546628)) * 1.4273113) + (23.061472 - (-0.3539544 / ((1.3428898 / RH) - 3.1601856)))"
41,12.073973,"(((Tair + ((((((RH + RH) - Tair) * 1.3546628) - (1.4555112 / ((((TARP ^ RH) - VPD) * -0.67834073) + -24.785477))) + TARP) - (6.2669716 / VPD))) * 1.4273113) - ((RH_1hr / ((1.3428898 / RH) - 3.1601856)) * -0.7656199)) + 23.061472"
43,12.034689,"(((((Tair + TARP) + (1.3546628 * ((RH + RH) - Tair))) - (1.4283428 / ((((TARP ^ RH) - VPD) * -0.67834073) + -24.785477))) * 1.4283428) + (23.00055 - ((RH_1hr / ((1.3428898 / RH) - 3.1601856)) * -0.7548197))) - (6.2669716 / (VPD + -2.4080255))"
45,11.935717,"(((Tair + TARP) - (Tair * 1.3390032)) * 1.3963343) - (((-0.31577605 / ((1.3291782 / RH) - 3.1312275)) - (23.791105 - (3.1312315 / (((24.376461 - (((Tair ^ RH) - VPD) * -0.65404826)) / (RH - (RH ^ 1.5644051))) - 4.847439)))) - (0.30852777 / (VPD + -23.648983)))"
47,11.866761,"((((RH - Tair) * 1.3390093) + (Tair + TARP)) * 1.3963312) - ((-0.31485507 / ((1.3291684 / RH) - 3.1312315)) + (((3.1312315 / (((24.376461 - (((Tair ^ RH) - VPD) * -0.6540396)) / (RH - (RH ^ 1.5644047))) - 4.847439)) - (0.30852777 / (VPD + -23.648983))) - 23.173996))"
49,11.795161,"((((RH - Tair) * 1.3390093) + (Tair + TARP)) * 1.3963312) - (((0.15533026 - RH_1hr) / ((1.3291684 / RH) - 3.1312315)) + (((3.1312315 / (((24.376461 - (((Tair ^ RH) - VPD) * -0.6540396)) / (RH - (RH ^ 1.5644047))) - 4.847439)) - (0.30852777 / (VPD + -23.648983))) - 23.173996))"
