Complexity,Loss,Equation
1,67.84314,"TARP"
3,30.714598,"TARP ^ 1.0033519"
5,24.759129,"(TARP + -45.925858) ^ 1.0317752"
7,21.288916,"(TARP * 1.3487954) + (Tair * -0.34216976)"
9,21.044973,"((Tair * -0.0017148644) + 1.8679886) * (TARP + -76.80147)"
11,20.741713,"((VPD ^ RH) + (Tair * -0.3407837)) - (TARP * -1.3377522)"
13,16.851513,"((Tair + (0.098586425 / (RH + -0.42408922))) * -0.4072593) + (TARP * 1.409501)"
15,16.727377,"((TARP + RH) * 1.4025671) + ((Tair + (0.09595108 / (RH + -0.42394915))) * -0.40173593)"
17,16.703869,"((Tair + ((RH_1hr / (RH + -0.4239722)) * 0.19833776)) * -0.40173388) + ((TARP + RH_1hr) * 1.4025692)"
19,16.658386,"(((0.08773872 / (RH + -0.42378876)) + Tair) * -0.40173587) + ((TARP + ((RH + -0.18886305) / RH)) * 1.4025671)"
21,15.614045,"(((((Tair / TARP) ^ VPD) + (TARP + (Tair * 0.6768063))) - (0.032160223 / (RH + -0.42482325))) - Tair) * 1.4733164"
23,15.138885,"(((((Tair / TARP) ^ (VPD * 1.4983288)) + Tair) * 0.6774018) - ((0.032121725 / (RH + -0.42497578)) + (Tair - TARP))) * 1.4732794"
25,12.78703,"((TARP - (0.0338662 / (RH + -0.42483753))) + (((Tair * 0.71227014) + (7.8130603 / ((VPD / RH) - (Tair * 0.55258876)))) - Tair)) * 1.4070895"
27,12.498074,"(-0.40173587 * ((0.08773872 / (RH + -0.42378876)) + Tair)) + ((TARP + (((RH_1hr ^ -1.6248767) / ((VPD / RH) - (Tair * 0.55258876))) + RH)) * 1.4025671)"
29,12.2459545,"(((RH ^ (Tair_1hr - Tair)) / ((VPD / RH) - (Tair * 0.5525325))) + (((0.09595107 / (RH + -0.42395383)) + Tair) * -0.4017368)) + ((RH + TARP) * 1.4025663)"
31,12.235785,"(((Tair + (0.0959511 / (RH + -0.4238915))) * -0.401736) + (-0.102813415 + ((TARP + RH) * 1.4025671))) + ((RH ^ (Tair_1hr - Tair)) / ((VPD / RH) - (Tair * 0.5525526)))"
33,12.031942,"1.4070895 * (((-0.7232189 / ((0.61368304 + RH_1hr) - (TARP / Tair))) / ((VPD / RH) - (Tair * 0.5524871))) + ((TARP + ((Tair * 0.71227014) - (0.031518638 / (RH + -0.42483753)))) - Tair))"
35,11.725272,"((((-0.6942866 / ((RH_1hr - ((TARP + 0.18147852) / Tair)) + 0.61368304)) / ((VPD / RH) - (Tair * 0.5524871))) + ((TARP - (0.031518638 / (RH + -0.42483756))) + (Tair * 0.71227014))) - Tair) * 1.4070895"
37,11.558093,"((((-0.7000918 / ((RH_1hr - (TARP / (Tair + -0.17574058))) + 0.61368304)) / ((VPD / RH) - (Tair * 0.5524871))) + ((((Tair * 0.7122433) - Tair) + RH) + TARP)) * 1.4043254) - (0.045416858 / (RH + -0.42483756))"
39,11.474135,"(((((TARP + ((-0.6911147 / (RH_1hr + (0.61368304 - (TARP / (Tair + -0.18317068))))) / ((VPD / RH) - (Tair * 0.5524871)))) + RH) + (Tair * 0.7124801)) - Tair) * 1.4043254) - ((0.09596832 / (RH + -0.42470694)) * RH_1hr)"
41,11.27193,"((((7.885356 / ((VPD / RH) - (0.5525512 * Tair))) + ((Tair * 0.7122795) + TARP)) - Tair) * 1.4044667) + ((((Tair - Tair_1hr) / (VPD / 0.27829972)) / ((0.61366177 + RH_1hr) - (TARP / Tair))) - (0.04721169 / (RH + -0.42460507)))"
43,10.919404,"(((Tair - Tair_1hr) / (VPD / 0.26730096)) / ((RH_1hr + 0.6136593) - (TARP / Tair))) + (((RH + ((((Tair * 0.71227944) + (7.885356 / ((VPD / RH) - (Tair * 0.5525452)))) + TARP) - Tair)) * 1.4043446) - (0.04721164 / (RH + -0.42476308)))"
45,10.736347,"(((RH + ((TARP - Tair) + ((8.237266 / ((VPD / RH) - (Tair * 0.55258876))) + (Tair * 0.7122701)))) * 1.4043396) + (((Tair - Tair_1hr) / ((1.154412 ^ VPD) / 0.2732389)) / ((0.6136806 - (TARP / Tair)) + RH_1hr))) - (0.04721211 / (RH + -0.42483756))"
47,10.635692,"(((8.237266 / ((VPD / RH) - (Tair * 0.55258876))) + ((TARP - Tair) + (Tair * 0.7122701))) * 1.4043396) + (((((Tair - Tair_1hr) / ((1.154412 ^ VPD) / (-0.13899045 + RH_1hr))) / (RH_1hr + (0.6136806 - (TARP / Tair)))) - (0.04721211 / (-0.42483753 + RH))) + RH)"
49,10.567358,"(((TARP + (((((Tair + 0.15370382) - Tair_1hr) / ((1.154412 ^ VPD) * (1.843987 / RH))) / ((RH_1hr + 0.6136806) - (TARP / Tair))) + (((RH + Tair) * 0.7122701) + (7.926683 / ((VPD / RH) - (Tair * 0.55258876)))))) - Tair) * 1.4043396) - (0.047402628 / (RH + -0.42483768))"
51,10.520951,"((((TARP + ((((RH_1hr ^ -1.6567287) / ((VPD / RH) - (0.55258876 * Tair))) + (Tair * 0.7122701)) + ((((Tair + 0.15290123) - Tair_1hr) / (1.8283788 * ((1.154412 ^ VPD) / RH))) / ((0.6136806 - (TARP / Tair)) + RH_1hr)))) - Tair) * 1.4043396) - (0.047217302 / (RH + -0.42483753))) + RH"
53,10.452673,"(((((TARP + (7.926683 / ((VPD / RH) - (Tair * 0.55258876)))) + (((0.15370382 + (Tair - Tair_1hr)) / ((1.843987 / RH) * (1.154412 ^ VPD))) / ((RH_1hr + 0.6136806) - (TARP / Tair)))) + ((Tair * 0.7122701) + RH)) - Tair) * 1.4043396) - (0.047217302 / ((-0.4248376 + RH) - (RH ^ VPD)))"
55,10.4175825,"(((TARP + (((RH_1hr ^ -1.6823488) / ((VPD / RH) - (Tair * 0.55258876))) + (((((((Tair + 0.17237304) - Tair_1hr) / ((1.154412 ^ (VPD + 1.7835855)) / RH)) / ((RH_1hr + 0.6136806) - (TARP / Tair))) + Tair) + RH) * 0.7122701))) - Tair) * 1.4043396) - (0.047217302 / ((RH + -0.42483756) - (RH ^ VPD)))"
57,10.365078,"((RH + RH) + ((8.698067 / (((VPD / RH) - 0.18149884) - (Tair * 0.55258876))) + ((((((0.15651399 + (Tair - Tair_1hr)) / ((1.154412 ^ VPD) * (1.843987 / RH))) / ((RH_1hr + 0.6136806) - (TARP / Tair))) + ((0.7114141 * Tair) + TARP)) - Tair) * 1.4043396))) - (0.047217302 / ((RH + -0.42483753) - (RH ^ VPD)))"
59,10.3208,"(((((((((Tair - Tair_1hr) + 0.15966175) / ((1.154412 ^ VPD) * (1.8806044 / (RH / ((0.6136806 - (TARP / Tair)) + RH_1hr))))) + TARP) + (((Tair * 0.7122701) + RH) + RH)) - Tair) * 1.4043396) - (0.047217302 / ((-0.42483756 + RH) - (RH ^ VPD)))) + (8.698067 / ((VPD / RH) - (0.55258876 * (Tair_1hr + 2.0495014))))) + -0.6991658"
