Complexity,Loss,Equation
1,67.84314,"TARP"
3,30.714598,"TARP ^ 1.0033519"
5,24.759338,"(TARP * 1.2320193) - 66.64888"
7,21.288929,"(Tair * -0.34217814) + (TARP * 1.3488064)"
9,21.083113,"(TARP * ((Tair * -0.0012814553) + 1.7368777)) + -103.63548"
11,20.741724,"((Tair * -0.3407783) + (VPD ^ RH)) + (TARP * 1.3377434)"
13,20.462444,"(Tair * -0.3287555) + ((((VPD + -3.5310998) ^ RH) + TARP) * 1.3242705)"
15,18.37262,"(((TARP + (Tair * 0.71909785)) - (0.039336782 / (RH_1hr + -0.49695683))) - Tair) * 1.3973106"
17,16.934933,"(((TARP + (-8.184366 / ((RH + -0.42401645) * Tair_1hr))) + (0.71483237 * Tair)) - Tair) * 1.4012406"
19,16.755035,"(((TARP + (-8.184366 / (Tair_1hr * (RH + -0.42401677)))) + ((Tair + RH) * 0.71483237)) - Tair) * 1.4012406"
21,16.729725,"((RH_1hr - Tair) + (((TARP + -0.17450888) + (Tair * 0.71483237)) + (-8.173313 / (Tair_1hr * (RH + -0.42401665))))) * 1.4012406"
23,16.669401,"((((RH_1hr + TARP) + (-3.5568507 / ((RH + -0.42500213) * ((0.8142324 - RH_1hr) * Tair)))) + (Tair * 0.7167547)) - Tair) * 1.3972414"
25,16.546057,"(((-3.5459757 / (Tair * ((0.7707718 - RH_1hr) * (RH + -0.4261035)))) + (((Tair * 0.7165146) + TARP) + (RH_1hr + RH))) - Tair) * 1.396048"
27,16.424562,"1.3914349 * ((RH_1hr - Tair) + (RH + (RH + ((0.7178556 * Tair) + (TARP + (-3.535766 / ((0.7668401 - RH_1hr) * ((RH + -0.42611364) * Tair))))))))"
29,15.354659,"(((3.2407372 / ((VPD - (VPD / RH)) + ((Tair + 2.5028317) * 0.4220894))) + (TARP + ((Tair - (0.05760073 / (RH_1hr + -0.49768084))) * 0.7145404))) - Tair) * 1.4048781"
31,14.707115,"(3.240736 / (VPD - ((VPD / RH) - ((Tair + 2.5028393) * 0.42138207)))) + (((RH_1hr + (((Tair - (0.048499167 / (RH_1hr + -0.497444))) * 0.71274394) + TARP)) - Tair) * 1.403832)"
33,14.303766,"((((RH + ((Tair - (0.057664663 / (RH_1hr + -0.497444))) * 0.71274394)) + (RH + TARP)) - Tair) * 1.403832) + (3.240736 / (VPD - ((VPD / RH) - ((Tair + 2.5136666) * 0.42138207))))"
35,13.854465,"((3.240736 / (VPD - ((VPD / RH) - ((2.5028393 + Tair) * 0.42138207)))) - 1.6190012) + ((((((Tair - (0.057664663 / (-0.497444 + RH_1hr))) * 0.71274394) + TARP) - Tair) + (RH / 0.20692456)) * 1.403832)"
37,13.852732,"(((3.240736 / (VPD - ((VPD / RH) - ((2.5028393 + Tair) * 0.42138207)))) - 1.6190012) + ((((((Tair - (0.057664663 / (-0.497444 + RH_1hr))) * 0.71274394) + TARP) - Tair) + (RH / 0.20692456)) * 1.403832)) + 0.04612886"
39,13.807248,"((((((Tair + (3.240736 / (VPD - ((VPD / RH) - ((Tair + 2.5028393) * 0.42138207))))) + ((-0.84873426 / RH) - (0.057664663 / (RH_1hr + -0.497444)))) * 0.7125966) + (TARP - (Tair - 1.8092145))) * 1.403832) - -1.388078) + -0.23356707"
41,12.499697,"((((((Tair - (0.057664827 / (RH_1hr + -0.49753395))) * 0.71258926) + TARP) + (((1.9245416 / (VPD - ((VPD / RH) - ((Tair + 2.4966958) * 0.42142183)))) - 1.7393714) / (((RH / 0.36846745) ^ VPD) + 0.7916863))) - Tair) * 1.4038277) + 2.5413313"
43,12.491087,"(((((Tair - (0.059239816 / (RH_1hr + -0.49753395))) * 0.71258926) + (TARP - (1.7393714 / (0.7863003 + ((RH / 0.36846745) ^ VPD))))) + (((RH ^ -0.6636952) / (VPD - ((VPD / RH) - ((Tair + 2.4966958) * 0.42142183)))) + 1.7113023)) - Tair) * 1.4038277"
45,12.34918,"1.4038317 * ((((TARP + (-2.8100536 / (((RH / 0.3684668) ^ VPD) + 0.9456113))) + (((0.71259624 * (Tair - (0.057664856 / (RH_1hr + -0.49753377)))) - Tair) + 2.4966958)) + ((1.7129977 / (VPD - ((VPD / RH) - ((2.4966958 + Tair) * 0.42139176)))) / 0.71259624)) - RH_1hr)"
47,12.317433,"((((TARP + (-2.8100536 / (((RH / 0.3684668) ^ (VPD / RH)) + 0.9456113))) + (((Tair - (0.057664856 / (RH_1hr + -0.49753377))) * 0.71259624) - Tair)) + (2.4966958 + ((1.7129977 / (VPD - ((VPD / RH) - ((Tair + 2.4966958) * 0.42139176)))) / 0.71259624))) - RH_1hr) * 1.4038317"
49,12.051479,"((2.327353 + (((((Tair - (0.057664856 / (RH_1hr + -0.49753377))) * 0.71259624) - ((RH_1hr + 0.3684668) ^ VPD)) + (TARP + (-2.8100536 / (((RH / 0.3684668) ^ VPD) + 0.9456113)))) - Tair)) * 1.4038317) + (1.7129977 / ((VPD - ((VPD / RH) - ((Tair + 2.4966958) * 0.42139176))) / 2.078314))"
51,11.927765,"(1.4038317 * ((2.327353 + ((-2.7545288 / (0.8367859 + ((RH / 0.3684668) ^ VPD))) + (((0.71259624 * (Tair - (0.057664856 / (-0.49753377 + RH_1hr)))) - ((RH_1hr + 0.46021807) ^ VPD)) + TARP))) - Tair)) + ((1.7129977 / ((VPD - ((VPD / RH) - ((2.4966958 + Tair) * 0.42139176))) / 2.078314)) - -0.513433)"
53,11.917669,"(1.7129977 / ((VPD - ((VPD / RH) - ((Tair + 2.4966958) * 0.42139176))) / 2.078314)) + ((((-2.7545288 / (((RH / 0.3684668) ^ (VPD - -1.6019619)) + 0.8367859)) + ((((Tair - (0.057664856 / (RH_1hr + -0.49753377))) * 0.71259624) - ((RH_1hr + 0.46021807) ^ VPD)) + ((2.327353 + TARP) - Tair))) * 1.4038317) - -0.513433)"
57,11.827112,"((((((TARP + ((Tair - (0.057664827 / (RH_1hr + -0.4975344))) * 0.71260446)) - (RH_1hr - -0.796021)) + 1.2632798) - Tair) - (1.9804407 / (((RH / 0.36846718) ^ VPD) + 0.7898957))) * 1.403836) + ((1.7121272 / ((VPD - ((VPD / RH) - (((Tair + 2.4966953) - ((RH_1hr / 0.33935848) ^ (VPD + 1.5264473))) * 0.42141318))) / 2.078314)) + 2.5057063)"
59,11.82711,"((((1.2632798 + (TARP + ((0.71260446 * (Tair - (0.057664827 / (RH_1hr + -0.4975344)))) - (RH_1hr - -0.796021)))) - Tair) - (1.9804407 / (((RH / 0.36846718) ^ VPD) + 0.7898957))) * 1.403836) + (((1.7121272 / ((VPD - ((VPD / RH) - ((Tair + (2.4966953 - ((RH_1hr / 0.33935848) ^ (VPD + 1.5264473)))) * 0.42141318))) / 2.078314)) + 2.76266) - 0.2569538)"
