Complexity,Loss,Equation
1,67.84314,"TARP"
3,30.907549,"TARP * 1.0194012"
5,27.435423,"(TARP + -26.949568) * 1.1121329"
7,25.94362,"((TARP + -15.634776) - 17.317764) * 1.1387849"
9,22.147135,"(TARP * 1.008027) - ((Tair_1hr - TARP) * 0.3366271)"
11,21.41442,"(TARP - (0.5079443 + -2.089091)) - ((Tair_1hr - TARP) * 0.3366271)"
13,21.409937,"(((TARP - -0.6431749) * 2.001237) - ((Tair_1hr - TARP) * 0.33572748)) - TARP"
17,21.204483,"(RH_1hr + ((((TARP + (Tair * 0.74264425)) - (Tair + -0.21882062)) - -1.2854155) * 1.3492329)) + -1.0316739"
19,21.1989,"((((TARP - (Tair + -0.32969534)) + ((Tair * 0.7440891) - -1.397341)) + -1.3985362) * 1.3480359) + (RH ^ 0.45067513)"
29,20.995462,"(((TARP - Tair) + ((((0.1255196 ^ ((RH + (RH + -1.6490486)) * (RH * 2.2418475))) * 0.62267005) + ((Tair_1hr + -1.8030957) + RH_1hr)) * 0.75527614)) * 1.3286563) + 1.2539169"
39,18.837027,"(RH + (Tair / (Tair_1hr - RH_1hr))) + (((((TARP - Tair) + ((-0.08182521 / (-0.59880376 - -1.0888019)) + ((-0.82281345 + (((Tair - -1.0888019) - (0.028317317 / (RH_1hr + -0.49515054))) * 0.77399)) - 1.5583935))) * 1.3038323) - 0.062223762) + 0.4504526)"
41,18.780363,"(((RH + (TARP / (Tair_1hr - RH_1hr))) + (((TARP - Tair) + (((1.2741886 / ((Tair + RH_1hr) - -1.6013151)) + (-0.82281345 + (((Tair - -1.0888019) - (0.028317317 / (RH_1hr + -0.49515054))) * 0.77399))) - 1.5583935)) * 1.3038323)) - 0.062223762) + 0.4504526"
47,17.554497,"(((RH + (Tair / (Tair_1hr - RH_1hr))) + (((((Tair - -1.069757) * 0.73596466) + -3.1403732) + (-3.5480943 / (TARP * (RH * ((RH / (VPD ^ (((RH + 1.3264121) * -0.55462486) + 2.8420749))) + (RH + -0.4273683)))))) + (TARP + (0.60026985 - Tair)))) * 1.3661413) - -0.12958108"
