Complexity,Loss,Equation
1,67.84314,"TARP"
3,30.714602,"TARP ^ 1.0033504"
5,24.759348,"(TARP * 1.2320119) + -66.64671"
7,21.60977,"(TARP - (Tair * 0.28719944)) * 1.4089813"
9,21.26906,"TARP - (((Tair + -5.7724633) - TARP) / 2.8698962)"
11,21.040089,"TARP - (((Tair - TARP) + -5.535964) / (3.2018373 - RH))"
13,21.034586,"TARP + (RH - (((Tair + -4.4724913) - TARP) / (3.1995661 - RH)))"
15,21.022995,"TARP - (((Tair - TARP) + -5.4771886) / ((-0.8953033 - RH) - (Tair / -73.74801)))"
17,20.971127,"(TARP + -48.72147) - (TARP / (((VPD ^ RH_1hr) - ((Tair * Tair) / TARP)) / 50.155396))"
19,20.734943,"TARP + ((TARP / (((VPD ^ (RH + RH)) - Tair) * ((Tair / TARP) / -47.555134))) + -47.01104)"
21,20.72681,"TARP + (-54.866055 - ((TARP / (((VPD ^ (RH + RH)) - (Tair * (Tair / TARP))) / 46.604076)) + -8.840781))"
23,20.507107,"(TARP + -44.364483) - ((TARP / (((VPD ^ (RH + RH)) - (Tair * (Tair / TARP))) / 45.661133)) + (11.625385 / VPD))"
25,20.060482,"((((1.0551065 / ((Tair_1hr * RH) - (VPD / 0.5644907))) / VPD) - -1.2646106) * TARP) + (-75.97351 - (((VPD / RH) ^ 1.2896202) / TARP))"
29,19.275646,"((TARP * (((0.97268075 / ((Tair * RH) - (VPD / 0.5597017))) / VPD) - -1.3237386)) + RH_1hr) + (-93.862564 - (((5.81372 / RH) - -2.5959284) / (Tair / VPD)))"
31,18.700422,"((1.240794 / ((RH * (-0.92369485 + Tair_1hr)) - (VPD / 0.56072074))) - (-1.2607712 * (RH + TARP))) + (-74.820404 - ((4.4181066 / (RH * 0.82251084)) / (TARP / (VPD + -1.4199696))))"
35,18.479984,"((1.240794 / ((RH * (Tair_1hr + -0.92369485)) - (VPD / 0.56072074))) - ((RH + TARP) * -1.2607712)) + (-74.820404 - ((4.4181066 / (RH * 0.82251084)) / ((TARP / (RH_1hr / RH)) / (VPD + -1.4199696))))"
37,18.395397,"(((1.240794 / ((RH * (-0.92369485 + Tair_1hr)) - (VPD / 0.56072074))) - (-1.2607712 * (RH + TARP))) + (-74.820404 - ((4.4181066 / (RH * 0.82251084)) / ((TARP / (RH_1hr / RH)) / (-1.4199696 + VPD))))) + RH_1hr"
45,18.359161,"(-76.59271 - ((5.237038 / RH) / ((TARP + (0.47547004 - -0.16845256)) / VPD))) + ((TARP + 0.6215503) * ((2.27893 / (((TARP * (-74.817665 + ((1.782347 ^ RH_1hr) / (((RH * Tair) - (VPD / 0.5512433)) / (RH_1hr - VPD))))) / VPD) + -74.817665)) - -1.2685549))"
47,17.767101,"((((TARP + RH) + RH) * (((0.914819 / ((Tair_1hr * RH) - (VPD / 0.5634047))) / VPD) - -1.2588693)) + -74.82041) - ((((4.418106 / RH) - -1.9274224) * VPD) / ((-0.43794668 / (((RH_1hr - (Tair_1hr / VPD)) / VPD) + 0.71977514)) + (Tair_1hr / (RH_1hr / RH))))"
49,17.618677,"(((RH + RH) + TARP) * (((0.91481864 / (((Tair_1hr * RH) + -0.21802038) - (VPD / 0.56425613))) / VPD) - -1.2588769)) + (-74.82041 - (((4.418106 / RH) - -1.9274224) * (VPD / ((-0.43794402 / (((RH_1hr - (Tair_1hr / VPD)) / VPD) + 0.71977234)) + (Tair_1hr / (RH_1hr / RH))))))"
