Complexity,Loss,Equation
1,67.84314,"TARP"
3,25.601805,"TARP / 0.86475575"
5,24.759375,"(TARP * 1.2320113) + -3.2726798"
7,21.609573,"(Tair * -0.30023187) + (TARP * 1.3611652)"
9,20.935131,"(((Tair * -0.009980458) + 1.6065632) * TARP) + -6.459271"
11,20.557335,"((((Tair * -0.00024343123) + 0.012450608) * TARP) + 0.92902035) * TARP"
13,20.390902,"((((Tair - TARP) * (Tair_1hr * -0.036820468)) * RH) + TARP) + 2.026057"
15,20.347305,"((RH * ((Tair_1hr * ((Tair - TARP) * -0.03705364)) + -1.5422504)) + TARP) + 2.5689578"
17,16.679228,"(311.12415 * (TARP / ((0.16757783 / (RH + -0.42417508)) + (Tair + (Tair + 175.29144))))) + -7.759495"
19,16.678913,"((TARP * 311.12415) / ((0.16757783 / (RH + -0.42417508)) + ((Tair + 175.29144) + Tair))) + (-7.759495 - -0.019730596)"
21,16.67229,"(((TARP * 311.12415) / ((((0.16929576 / (-0.42417508 + RH)) + (Tair - RH)) + Tair) + 175.29144)) + -6.8235383) - 0.9734083"
23,16.483393,"(TARP * (312.2551 / (((-12.130975 / (Tair + -12.130975)) + ((Tair + 177.15738) + Tair)) + (0.1675778 / (RH + -0.42422765))))) + -7.6758432"
25,15.000781,"((TARP + (TARP * 311.02374)) / (((1.5821201 / (RH + -0.42341775)) / (Tair + (VPD * -0.8316496))) + ((Tair + Tair) + 177.29893))) + -8.304965"
27,14.342214,"((TARP * 311.12415) / ((0.1675778 / (-0.42422763 + RH)) + ((-7.6758432 / (Tair + (-0.82354754 * (0.5176024 + VPD)))) + (177.15738 + (Tair + Tair))))) + -7.6758432"
29,14.337002,"(((RH + 311.12415) * TARP) / ((((-7.6758432 / (Tair + ((VPD + 0.5176024) * -0.82354754))) + 177.15738) + (0.1675778 / (RH + -0.42422763))) + (Tair + Tair))) + -7.6758432"
31,14.206405,"((311.12415 + RH) * (TARP / (((177.15738 + (0.1675778 / (-0.42422763 + RH))) + (-7.6758432 / (Tair + (-0.82354754 * ((RH_1hr + RH_1hr) + VPD))))) + (Tair + Tair)))) + -7.6758432"
49,13.91796,"(RH + -7.6758432) + ((TARP * 311.12415) / (((0.1675778 / (RH + -0.42422763)) + Tair) + ((Tair + (-7.6758432 / ((-7.6758432 / (((RH + -7.6758432) + (Tair / ((TARP / (VPD - 0.21513319)) * (-0.82354754 + 0.1675778)))) + 177.15738)) + (Tair + ((VPD + 0.45813116) * -0.82354754))))) + 177.15738)))"
