Complexity,Loss,Equation
1,67.84314,"TARP"
3,25.601805,"TARP / 0.86475575"
5,24.759375,"(TARP * 1.2320113) + -3.2726798"
7,21.609571,"(Tair * -0.30023968) + (TARP * 1.3611823)"
9,20.935131,"(((Tair * -0.009980458) + 1.6065632) * TARP) + -6.459271"
11,20.557333,"((TARP * ((Tair * -0.00024338941) + 0.012448787)) + 0.92902976) * TARP"
13,20.390902,"((((Tair - TARP) * (Tair_1hr * -0.036820468)) * RH) + TARP) + 2.026057"
15,20.00258,"(RH * (((Tair - TARP) + -6.235761) * ((RH_1hr + -0.8618437) * 2.2142217))) + TARP"
17,16.677189,"(TARP * (311.12415 / (((0.17018458 / (RH + -0.42417508)) + (Tair + Tair)) + 175.2418))) + -7.75959"
19,16.551582,"((TARP * 311.2715) / (((Tair + Tair) + ((RH_1hr + -0.29797947) / (RH + -0.4244012))) + 173.906)) + -7.7760143"
21,16.242483,"((TARP * 311.12415) / ((Tair + (((2.4596794 / (RH + -0.4238044)) / (Tair_1hr + -9.045202)) + Tair)) + 175.2418)) + -7.6973233"
23,14.408651,"((TARP / ((Tair + (((1.8419106 / (RH + -0.42400926)) / ((VPD * -0.8324029) + Tair)) + Tair)) + 177.11314)) * 311.26474) + -7.715978"
25,13.977626,"(TARP * (311.02374 / (((1.4681444 / (RH + -0.4234306)) / (((VPD + 0.15022641) * -0.83163536) + Tair)) + (Tair + (Tair + 177.29893))))) + -7.678433"
27,13.852626,"(((RH + TARP) / (((((1.4888271 / (RH + -0.4235266)) / (Tair + ((VPD * -0.8310702) + -0.14395285))) + Tair) + 176.46703) + Tair)) * 311.60538) + -8.438068"
29,12.817968,"(((311.12415 / ((Tair + 175.29144) + ((0.18198349 / (RH + -0.42435503)) + Tair))) * TARP) - (-7.995321 / (((Tair - 0.16205406) / RH) + (Tair - 175.29144)))) + -7.857756"
31,12.72041,"((((TARP + RH) * 312.16885) / ((((0.16619636 / (RH + -0.4241239)) + Tair) + Tair) + 175.29144)) + -8.345197) - (-7.995321 / (Tair + (((Tair - 0.16026731) / RH) - 175.29144)))"
33,12.536241,"((TARP / (((Tair + Tair) + 174.20157) + ((0.785945 / (Tair * 0.1598228)) / (RH + -0.42436296)))) * 311.12415) + (-8.049608 - (-8.049608 / (((Tair - 0.1598228) / RH) + (Tair - 175.29144))))"
35,12.481648,"((((TARP * 312.65726) / (((0.7916131 / (Tair * 0.1598228)) / (RH + -0.42436677)) + ((Tair + Tair) + 175.29144))) + RH) + -8.3016) - (-8.14247 / ((((Tair - 0.1598228) / RH) + Tair) - 175.29144))"
37,12.203391,"((((TARP / (((Tair + Tair) + 175.29144) + (0.18324162 / (RH + -0.42433175)))) * 311.12415) - (-0.70814 / (VPD - (TARP + 0.21016228)))) - (-7.995321 / (Tair + (((Tair - 0.15982282) / RH) - 175.29144)))) + -7.8470287"
39,11.526737,"(((TARP - (-1.1431539 / ((VPD - (0.5775352 - VPD)) - TARP))) * (311.12415 / ((0.1819837 / (RH + -0.42417854)) + ((Tair + 175.29144) + Tair)))) - (-7.995321 / ((((Tair - 0.16205408) / RH) + Tair) - 175.29144))) + -7.857756"
41,11.433732,"((((RH + TARP) - (-1.2209307 / (VPD - (0.56809455 - (VPD - TARP))))) * 311.12415) / ((175.29144 + (Tair + Tair)) + (0.18015704 / (RH + -0.42434087)))) + (-8.3016 - (-7.995321 / ((((Tair - 0.16179037) / RH) - 175.29144) + Tair)))"
43,11.2370405,"(((311.12415 / ((Tair + Tair) + (((0.7844499 / (Tair * 0.15905705)) / (RH + -0.42436296)) + 175.29144))) * (TARP - ((Tair_1hr - Tair) / ((VPD + (VPD - 0.5501151)) - TARP)))) + -7.8902593) - (-7.8902593 / (Tair + ((Tair / RH) + -175.9778)))"
45,11.23356,"((((311.12415 / (((Tair + Tair) + ((0.7844499 / (Tair * 0.15905705)) / (RH + -0.42436296))) + 175.29144)) * (TARP - ((Tair_1hr - Tair) / ((VPD + (VPD - 0.5501151)) - TARP)))) + -7.8902593) - (-7.8902593 / (Tair + ((Tair / RH) + -175.9778)))) + 0.05220171"
47,11.115422,"((((RH + TARP) - ((Tair_1hr - Tair) / ((VPD + (VPD - 0.545301)) - TARP))) * 311.12415) / (((0.7916131 / (Tair * 0.1598228)) / (RH + -0.42436296)) + ((Tair + Tair) + 175.29144))) + (-8.347446 - (-8.14247 / (((Tair - 0.1598228) / RH) + (Tair - 175.29144))))"
49,11.086556,"((((TARP + RH) - ((Tair_1hr - Tair) / (VPD + ((VPD - (RH / 0.7491007)) - TARP)))) * (311.12415 / (((Tair + Tair) + 175.29144) + ((0.7844499 / (Tair * 0.1598228)) / (RH + -0.42436296))))) - (-7.995321 / ((Tair + ((Tair - 0.16169682) / RH)) - 175.29144))) + -8.3016"
