Complexity,Loss,Equation
1,1.2913195,"2.3675978"
3,1.0018395,"NIR * 5.8928366"
5,1.0002737,"(NIR * 6.348448) + -0.19182809"
6,0.9918845,"SR(6.3484526, inv(NIR - Red))"
7,0.9438805,"(-0.19172345 + (NIR / Green)) * NIR"
8,0.87289906,"SR(SR(NIR, Green), inv(NIR - Red))"
9,0.8714694,"-0.5720747 - (exp(NIR / sqrt(Green)) * -0.5720747)"
11,0.8632675,"(-0.70683295 + Blue) - (exp(NIR / sqrt(Green)) * -0.5720747)"
20,0.86184895,"SR((ND(SR(NIR, Green) * 1.2972102, sqrt(1.2972069 / Green)) / CC(0.31771037, NIR)) / 0.47865355, Green + 0.554254)"
22,0.84075385,"ND(SR(NIR + ((log(Red) + 0.67556554) / NIR), 1.9485011) * (0.72516745 - NIR), (Blue ^ Green) - NIR) + -0.044209294"
23,0.83101046,"ND(SR(Green, ND(Blue, Green)) / ((Green * ((Green + Green) ^ ND(SR(Green, Blue), 6.6769266))) / (Green * 1.9988407)), Green)"
24,0.8229928,"(NIR + ND(log(2.537154) + (log(Red) / sqrt(SR(NIR, 2.3894594 * Green) - (1.9840856 - NIR))), Blue ^ 0.093316965)) - 0.36434254"
25,0.81997013,"NIR + (ND((log(Red) / sqrt(SR(NIR, 2.3894594 * Green) - (1.9840856 - NIR))) + log(2.537154), Blue ^ 0.093316965) - log(1.4220234))"
26,0.5929046,"ND(SR(sqrt(Red), ND(Blue, Green)) / ((Green * 1.4711933) * (((Green + Blue) ^ ND(SR(Green, Blue), 8.417988)) / Green)), Green) + Blue"
28,0.57899064,"(ND(SR(sqrt(Red), ND(Blue, Green)) / ((Green * 1.4711933) * (((Blue + Green) ^ ND(Green / Blue, 8.417988)) / Green)), Green) + Blue) - Green"
30,0.57286257,"(ND(SR(sqrt(Red), ND(Blue, Green)) / ((Green * (1.4711933 * ((Blue + Green) ^ ND(Green / Blue, 8.417988)))) / Green), Green) + (Blue - Green)) - Green"
34,0.56874555,"((ND(SR(sqrt(Red), ND(Blue, Green)) / (Green * (1.4711933 * (((Blue + Green) ^ ND(Green / Blue, 8.417988)) / Green))), Green) + (Blue - Green)) - (Green / NIR)) + Blue"
36,0.54824835,"ND(SR(sqrt(Red * (2.0480468 ^ (CC(Blue, 2.0018158) ^ (NIR * 1.0296066)))), ND(Blue, Green)) / ((Green * (0.71428144 * (Blue ^ ND(Green / Blue, 10.185287)))) / Green), Green) + (0.17256367 - Green)"
40,0.48385945,"ND(SR(sqrt(Red * (2.0480468 ^ ((Blue ^ NIR) * 1.0296066))), ND(Blue, Green)) / (((Green * 0.71428144) * ((Blue + ((Red * 0.48284203) * Green)) ^ ND(Green / Blue, 10.185287))) / Green), Green) + (0.17256367 - Red)"
45,0.48151204,"ND(SR(sqrt(Red * ((2.0480468 ^ (Blue ^ NIR)) * 1.0296066)), ND(Blue, Green)) / SR((Green * 0.71428144) * ((Blue + (Red * ((0.48284203 ^ sqrt(Blue ^ Green)) * Red))) ^ ND(Green / Blue, 10.185287)), Green), Green) + (0.17256367 - Red)"
47,0.46666577,"ND(SR(sqrt(Red * (4.225316 ^ ((CC(Blue, 0.73043406) ^ NIR) * 1.8426586))), ND(Blue, Green)) / (((((Blue + (Red * (Green * (Blue + sqrt(0.34933862 ^ NIR))))) ^ ND(Green / Blue, 9.663296)) * 0.93981814) * Green) / Green), Green) + (0.19754195 - Green)"
