Complexity,Loss,Equation
1,1.2913195,"2.3675356"
3,1.0018395,"NIR * 5.8928423"
5,0.94142854,"SR(NIR, Green - -0.10542312)"
7,0.85207736,"NIR * ((NIR / Green) - 0.92775106)"
8,0.66351044,"inv(ND(MSR(Blue / -0.09882759, Green), -1.50272))"
9,0.5386321,"sqrt(inv(ND(MSR(Blue / -0.10068971, Green), -2.5091681)))"
10,0.45082742,"SR(inv(ID(MSR(SR(Blue, -0.12298085), Red), -2.362889)), 3.2215111)"
12,0.44726714,"SR(inv(ID(MSR(SR(Blue, -0.12226207), Red), -2.4011972)), 3.6296377) - -0.09571628"
14,0.44253367,"SR(inv(ID(MSR(Blue / -0.12329308, Red), -2.368073)), 3.6832657 - NIR) - Blue"
15,0.35715562,"CC(MSR(CC(1.1123879, CC(Red, Blue / 0.1749453) * -2.295397), -1.3054408), 1.8990855) + 0.952552"
16,0.35692823,"CC(MSR(CC(1.8530544, CC(Red, Blue * -8.584761)), -0.61876243) + 2.049493, 0.5208019) + sqrt(NIR)"
17,0.34709346,"CC(MSR(CC(1.0010645, CC(Red, Blue / 0.22010198) * -1.8399361), ND(Red, -0.47492942)), 1.9309689) + 0.8900483"
19,0.31703857,"CC(MSR(CC(ND(0.020691432 / Blue, Blue), CC(Red, Blue / 0.21811579) * -1.8546269), -2.2666657), 1.8218831) + 0.9439354"
21,0.2937798,"CC(ID(Green, Blue), -2.9183066) + CC(MSR(CC(ND(NIR, Blue), CC(Red, Blue / 0.22014576) * -1.7718378), -2.35434), 1.8022926)"
23,0.2929642,"CC(MSR(CC(ND(0.020691432 / Blue, Blue), -1.8546269 * CC(Red, Blue / 0.21811579)), -2.2666657), 1.8218831) + ND(0.020691432 / Blue, Green)"
24,0.2917119,"(CC(MSR(CC(sqrt(0.9341083), CC(Red, Blue / 0.24382316) * -1.7251619), -2.3090482), 1.8440361) + CC(ID(Blue, Green), -3.0067992)) - (Blue / 0.049693625)"
25,0.290809,"(CC(MSR(CC(ND(0.020691432 / Blue, Blue), CC(Red, Blue / 0.21811579) * -1.8546269), -2.2666657), 1.8218831) + ND(0.020691432 / Blue, Blue)) - Green"
26,0.26243177,"CC(MSR(CC(sqrt(ND(NIR, Blue)), CC(Red, Blue / 0.24382316) * -1.7251619), -2.3090482), 1.8440361) + (CC(ID(Blue, Green), -3.0067992) - (Blue / 0.049693625))"
27,0.24293034,"CC(ID(Blue, Green), -4.5173163) + (CC(MSR(CC(ND(ID(Green, 0.99663675), Green), CC(Red, Blue / 0.22519241) * -1.8130633), -2.0097604), 1.8634703) - (Blue / 0.04868319))"
29,0.2379744,"(CC(MSR(CC(ND(ID(Green, 0.14025904), Green), CC(Red, Blue / 0.22457117) * -1.7988315), -2.0047567), 1.8599707) + CC(ID(Blue, Green), -4.5159397)) - ((Blue / 0.046712786) * 0.9641468)"
33,0.23569721,"CC(ID(Blue, Green), -4.50925) + ((CC(MSR(CC(ND(ID(Green, 0.13384873), Green), CC(Red, Blue / 0.21275602) * -1.8597322), -2.05732), 1.9143198 - Green) - (SR(Blue, 0.03762521) - Green)) + Green)"
35,0.23447162,"CC(MSR(CC(ND(ID(Green, 0.1425717), Green), CC(Red, Blue / 0.2198787) * -1.8262348), -2.0409703), 1.8535482) + (CC(ID(Blue, Green), -4.4984226) - ((Blue / 0.08544243) + ((Blue / 0.08544243) + (Green - 0.14438799))))"
37,0.23176752,"((CC(MSR(CC(ND(ID(Green, 0.12836453), Green), CC(Red, Blue / 0.19529396) * -1.9358648), -2.0551417), 1.8470198) - ((Blue / 0.07497683) + ((Red * 1.8538653) + SR(Blue, 0.07501565)))) - -0.20861278) + CC(ID(Blue, Green), -4.4627595)"
39,0.23158543,"CC(ID(Blue, Green), -4.4627595) + (CC(MSR(CC(ND(ID(Green, 0.12836453), Green), CC(Red, Blue / 0.19529396) * -1.9358648), -2.0551417), 1.8470198) - ((((Blue / (0.07497683 + Red)) * 1.8538653) + ((Blue / 0.07501565) - 0.21830556)) + Red))"
41,0.23097923,"((CC(ID(Blue, Green), -4.4627595) + CC(MSR(CC(ND(ID(Green, 0.12836453), Green), CC(Red, Blue / 0.19529396) * -1.9358648), -2.0551417), 1.8470198)) - (((((Blue / (0.07497683 + Red)) * 1.8538653) + (Blue / 0.07501565)) - 0.21830556) + Red)) - 0.016519155"
49,0.22897491,"CC(ID(Blue, Green), -4.4403224) + (CC(MSR(CC(ND(ID(Green, 0.1189376) - ND(CC(MSR(Red, Green) + SR(Blue, 0.053930733), -3.5690317), Red), Green), CC(Red, Blue / 0.20325774) * -1.9054756), -2.0750768), 1.828002) - (((Red * 0.41634163) + (Blue / 0.07460797)) + (SR(Blue, 0.07465866) - 0.16511849)))"
