Complexity,Loss,Equation
1,1.2913195,"2.3675356"
3,1.0018395,"NIR * 5.8928423"
5,0.94142854,"SR(NIR, Green - -0.10542312)"
7,0.85207736,"NIR * ((NIR / Green) - 0.92775106)"
9,0.8496594,"((NIR * (NIR / Green)) - NIR) + Blue"
19,0.608282,"MSR(CC(ID(ND(SR(Green, Green), Blue), (Blue / (Green * -1.720311)) - -0.90961635), SR(Blue, Green)), 0.52560943)"
23,0.56598115,"MSR(CC(ID(ND(SR(Red, Green), Blue), (Blue / (Green * -1.6805419)) - -0.91125786), Blue / Green), MSR(1.1065267, CC(Green, Red)))"
27,0.5268835,"MSR(CC(ID(ND(ID(0.8094262, CC(NIR, SR(Red, -0.23141752))), Blue), (Blue / (Green * -1.6805419)) - -0.91125786), Blue / Green), MSR(1.1065267, CC(Green, Red)))"
29,0.49899778,"MSR(CC(ID(ND(ID(0.8094262, CC(NIR, SR(Red, -0.23141752))), Blue), (Blue / (Green * -1.6805419)) - -0.91125786), Blue / Green), MSR(1.1065267, CC(Green, Red))) / 1.0553988"
38,0.48940605,"CC(ID(sqrt(ND(0.4798037, Blue)), SR(Blue, Green * -1.318005) - -0.77976537) - ((Blue / Green) * -1.3845272), SR(Blue, Green)) - ((((Red - sqrt(Blue)) - Blue) + (Red + Blue)) / (sqrt(Blue) - Blue))"
