Complexity,Loss,Equation
1,1.2913195,"2.367305"
3,1.0018394,"NIR / 0.169716"
5,0.7101206,"MSR(Blue, -0.018775843) * -0.95797914"
7,0.4860197,"-0.5808421 - MSR(CC(Blue, Red), -0.25323993)"
9,0.47662497,"MSR(NIR, 1.0682964) - MSR(CC(Blue, Red), -0.2552751)"
11,0.44566694,"SR(MSR(CC(Blue, Red), -0.2651053), -0.7700268) - ND(-0.19343407, Blue)"
13,0.43244928,"SR(MSR(CC(Blue, Red), Blue + -0.28373313), -0.7518181) - ND(-0.19156358, Blue)"
15,0.41517028,"(SR(MSR(CC(Blue, Red), -0.26452923), -0.79858494) - ND(0.18449746 - NIR, Blue)) - -0.03776158"
17,0.4151173,"SR(MSR(CC(Blue, Red), -0.26452923), -0.79858494) - ((ND(0.18449746 - NIR, Blue) - -0.03776158) + -0.08176582)"
19,0.40758145,"SR(MSR(CC(Blue, Red), -0.26722634), -0.7116911) - ND(CC(Red, 1.084571) - NIR, Blue - (Green * -0.95825607))"
