Complexity,Loss,Equation
1,1.2913195,"2.3673048"
3,1.0018394,"NIR / 0.169716"
5,0.9414281,"SR(NIR, Green - -0.10538354)"
7,0.81647944,"(CC(Green, -0.37972066) + NIR) / 0.08844303"
9,0.7539298,"(-0.00788346 / Blue) + SR(NIR * 0.49227935, Green)"
11,0.6839153,"(NIR / (Green + 0.05364883)) + SR(Red * -0.23040338, Blue)"
13,0.5198687,"1.2470064 - (ND(Green, Blue) * (ND(Red, Blue * 7.0632343) * 11.181674))"
15,0.48540217,"(NIR * (ND(CC(Blue * -2.2897007, Red), Green) - 1.5044389)) / (-0.044642698 - Blue)"
17,0.43033668,"(NIR * ND(0.12782331, Blue)) * ((ND(CC(-3.1744478 * Blue, Red), Green) - 1.2714981) / -0.026751073)"
19,0.411033,"((ND(CC(Blue * -3.2323856, Red), Green) * ND(NIR, -0.024764514)) - 1.4123325) * (ND(0.11659487, Blue) / -0.062351674)"
