Complexity,Loss,Equation
1,1.2913195,"2.367305"
3,1.0018394,"NIR / 0.169716"
5,0.79387707,"CC(MSR(-0.0766148, Blue), 2.0324898)"
7,0.40684864,"CC(MSR(CC(Blue, -0.14494167), Red), 2.1502383)"
9,0.4044231,"ND(MSR(MSR(Blue * -3.3291812, Red), 2.1215827), 1.6735581)"
11,0.37727073,"CC(MSR(Blue / Red, -0.14447053), ND(NIR, Blue) * 2.414177)"
13,0.31997216,"CC(MSR(MSR(Blue * MSR(ND(Blue, 0.125822), 0.52355564), Red), 2.142543), 2.120787)"
15,0.31017938,"ND(MSR(MSR(Blue * MSR(ND(Blue, 0.12784155), 0.5272961), Red), 2.1596327), 1.6722885) - Green"
17,0.25612944,"ND(MSR(MSR(Blue * MSR(0.6136012, ND(Blue, 0.16346861)), Red), 1.9664727), 1.7551453) - (Blue / 0.04968897)"
19,0.23685025,"ND(MSR(MSR(MSR(0.61499643, ND(Blue, 0.16445893)) * Blue, Red), 1.964085), 1.7432872) - SR(Blue, 0.12272067 - Green)"
