Complexity,Loss,Equation
1,1.2913195,"2.3673048"
3,1.0018395,"SR(NIR, 0.16970026)"
5,0.97397447,"ND(-0.8606777, NIR - Green)"
7,0.8529779,"NIR / (Green / (NIR - Green))"
9,0.8264687,"SR(SR(Green * -1.2088372, 0.34624147) + NIR, 0.08075904)"
11,0.6863943,"ID((Green + 0.053855535) / NIR, Blue / SR(Red, 4.547208))"
13,0.5417777,"ID((Blue + 0.07829941) / NIR, (SR(Blue, Green) / Red) / 6.9871607)"
15,0.5262878,"ID((Blue + 0.08754472) / NIR, SR((Blue / Green) / Red, 4.8988147) - Green)"
19,0.41877037,"4.977796 - ND(1.5734702, ND(SR(ND(Green / Blue, -2.7543182) * -0.3058993, ID(Blue / Red, 0.3087461)), -2.53314))"
21,0.37667042,"3.9973512 - ND(SR(Green, Red), ND(-0.50340694 - (ND(SR(Green, Blue), -2.4711468) / ID(Blue / Red, 0.27012572)), -3.9168315))"
23,0.35320917,"3.715809 - ND(Green / Red, (-0.7385343 - ((ND(SR(Green, Blue), -3.0246997) / ID(SR(Blue, Red), 0.33206984)) / -2.440287)) - Blue)"
27,0.33799765,"(2.4018853 - ND(Green / Red, ND(ND(Green, NIR) - (SR(ND(SR(Green, Blue), -3.2771125), ID(Blue / Red, 0.35032305)) / 1.6812117), -2.2620633))) / 0.460505"
29,0.33600518,"(2.4668067 - ND(Green / Red, ND(ND(Green, NIR - Blue) - (SR(ND(SR(Green, Blue), -3.2766185), ID(Blue / Red, 0.34542495)) / 1.6873099), -2.3578691))) / 0.47722167"
31,0.31617084,"(1.0678674 - ND(ND(Red / Green, ND(Green, NIR) - ((Blue + (ND(Green / Blue, -4.1706853) / ID(Blue / Red, 0.4352638))) / 1.9435196)), ND(Green, NIR))) / 0.2064185"
33,0.26861978,"4.635514 - SR(ND(NIR / Red, 0.11645229 - ND(Red / Red, -1.5091031 - ND((ND(Green / Blue, -3.7716544) + -2.284975) / SR(ID(Blue / Red, 0.2608264), NIR), -4.0240307))), 0.6171982)"
55,0.26559773,"((-0.2045699 - Blue) + 4.201189) - ND(NIR / Red, ND(Red / -0.1993061, ND((-1.4175216 - Red) / ND(-0.2806921, (Blue / ID(NIR, -2.854248)) / Red), -3.91438)) - SR(ND(Red / Red, -1.2926881 - ND((ND(Green / Blue, -4.049464) + -2.8179495) / SR(ID(SR(Blue, Red), 0.25300345), NIR), -4.0180483)), 0.5600214))"
57,0.26373112,"((-0.2045699 - Blue) + 4.201189) - ND(NIR / Red, ND(Red / -0.1993061, ND((-1.4175216 - Red) / ND(-0.2806921, (Blue / ID(SR(Green, NIR), -2.854248)) / Red), -3.91438)) - SR(ND(Red / Red, -1.2926881 - ND((ND(Green / Blue, -4.049464) + -2.8179495) / SR(ID(SR(Blue, Red), 0.25300345), NIR), -4.0180483)), 0.5600214))"
59,0.2636937,"((-0.2045699 - Blue) + 4.201189) - ND(NIR / Red, ND(Red / -0.1993061, ND((-1.4175216 - Red) / ND(-0.2806921, (Blue / ID(SR(Green, NIR), ND(-0.9928219, 1.6903023))) / Red), -3.91438)) - SR(ND(Red / Red, -1.2926881 - ND((ND(Green / Blue, -4.049464) + -2.8179495) / SR(ID(SR(Blue, Red), 0.25300345), NIR), -4.0180483)), 0.5600214))"
