Complexity,Loss,Equation
1,1.2913195,"2.367305"
3,1.0018394,"SR(NIR, 0.1697161)"
5,0.9414281,"SR(NIR, Green + 0.10539818)"
7,0.78897065,"ID(ND(Green, 0.15829691), -0.08578538 / NIR)"
9,0.6414719,"ID(ND(Red, SR(Blue, Green)), -0.09456299 / NIR)"
11,0.5541498,"ID(ND(Green, SR(Blue, Red)), (-0.08793388 / NIR) - Blue)"
13,0.5192361,"ID(ND(Green, SR(Blue, Red)), NP((NIR - Blue) - Blue, -0.14012277))"
15,0.4465282,"ID(-0.6844888, SR(ID(ND(Red, Blue / Green), SR(Red, Blue)) * 0.048684936, NIR))"
17,0.38711828,"ID(-1.0717851, SR(Red + (ID(ND(Red, SR(Blue, Green)), SR(0.044006087, Blue)) * 0.07798564), NIR))"
19,0.38518107,"ID(NIR + -1.3325856, SR(Red + (0.07659062 * ID(ND(Red, SR(Blue, Green)), SR(0.046824455, Blue))), NIR))"
21,0.3166503,"ID(ND(Blue, ID(ID(CC(Blue, Green), -0.8341905), 6.310884)), (ID(ND(Red, SR(Blue, Green)), 5.152906) / NIR) * 0.064467646)"
23,0.31104118,"ID(ND(Blue, ID(ID(CC(Blue, Green), -0.8229501), 6.357431)), (ID(ND(Red, Blue / Green), SR(0.28823844, Green)) * 0.06478659) / NIR)"
25,0.30560413,"ID(ND(Blue, ID(ID(CC(Blue, Green), -0.89580584), 6.279691)), SR(ID(ND(Red, NP(1.6648756, Blue / Green)), 6.366026), NIR) * 0.06883528) - -0.3286206"
27,0.30536866,"ID(SR(ND(0.049011365, Blue / NIR), 3.5619876) / Green, ID(ND(Red, CC(Blue, Green)), -5.1514225) * SR(0.07340854, (NIR - Blue) - Blue)) + -0.9332854"
29,0.29338115,"ID(((-0.019212184 / Blue) + ND(Green, ID(ID(CC(Blue, Green), -1.0265567), 5.571699))) + 0.20349295, SR(ID(ND(Red, Blue / (Green - -0.019392319)), 5.5716944) * 0.06775846, NIR))"
31,0.2907526,"ID((SR(-0.0203833, Blue) + ND(Green, ID(ID(CC(Blue, Green), -1.0200428), 5.57816))) + 0.244879, SR(0.07378893, NIR - -0.04455012) * ID(ND(Red, Blue / (Green - -0.021419734)), 5.7557826))"
33,0.2897094,"ID(ND(Green, ID(ID(CC(Blue, Green), -1.031966), 5.6004333)) + ((-0.019930601 / Blue) + 0.2494729), ((ID(ND(Red, Blue / (Green - -0.013050167)), -6.4217515) * 0.08448271) / NIR) - 0.010606468) - Blue"
35,0.28945374,"ID(ND(Green, ID(ID(CC(Blue, Green), -1.031966), 5.6004333)) + ((-0.019930601 / Blue) + 0.2494729), ((ID(ND(Red, Blue / (Green - -0.013050167)), -6.4217515) * 0.08448271) / NIR) - 0.010606468) - (Blue * 0.795532)"
