Complexity,Loss,Equation
1,67.84314,"TARP"
3,25.53023,"NP(TARP, -347.362)"
5,21.14549,"NP(TARP, SR(-114.210976, RH))"
7,20.824043,"NP(NP(TARP, -47.789764 - Tair), 101.64184)"
9,18.277908,"NP((-117.5419 / RH) - ND(RH, -0.4265289), TARP)"
11,17.656677,"NP(SR(-105.61828, RH), TARP - ND(Tair, CC(-0.4097604, RH)))"
13,17.430834,"SR(NP(SR(-110.474335, RH), TARP - ND(Tair, CC(-0.40979064, RH))), 0.984363)"
15,17.276833,"NP((-110.87731 / RH) - VPD, SR(TARP - ND(Tair, CC(-0.40990916, RH)), 0.9742544))"
17,14.913617,"ND(Tair_1hr, CC(RH, -0.24499686)) + NP(SR(-109.222725, RH), TARP - ND(Tair, CC(-0.40998268, RH)))"
19,14.194635,"NP(TARP - ND(Tair, CC(-0.4097604, RH)), SR(-109.222725, RH)) + ND(Tair_1hr, CC(RH, SR(-0.06931554, RH_1hr)))"
21,13.691727,"NP(((ND(Tair_1hr, CC(RH, SR(-0.06931554, RH_1hr))) - 0.53284156) + TARP) - ND(Tair, CC(-0.4097604, RH)), SR(-109.222725, RH))"
25,13.564931,"NP(TARP - ND(Tair, CC(-0.4097604, RH)), SR(-109.222725, RH)) + (ND(Tair_1hr, CC(RH, SR(-0.06931554, RH_1hr))) - (SR(Tair_1hr, TARP) - 0.33667713))"
27,13.252949,"(ND(-1.9695389, SR(-10.283006 / ND(CC(VPD, NP(-0.41554645, RH)), ((ND(VPD - Tair_1hr, -7.9299545) - VPD) + -1.6304106) * RH), Tair)) * TARP) + -7.940028"
29,12.956749,"((TARP * ND(-1.9690422, (-10.283057 / ND(CC(VPD, NP(-0.41521466, RH)), (RH * (ND(VPD - Tair_1hr, -7.940028) - VPD)) + -1.6419204)) / Tair)) + -7.940028) - 0.7089291"
31,12.90395,"(-7.940028 - 0.7089291) + (TARP * ND(-1.9690422, (-10.283057 / ND(CC(VPD - -0.7343101, NP(-0.41521466, RH)), (RH * (ND(VPD - Tair_1hr, -7.940028) - VPD)) + -1.6309999)) / Tair))"
33,12.40453,"(ND(-1.8812528, SR(-10.043825, ND(CC(VPD, NP(ID(0.6639467, RH), 0.8942986)), (-0.6214326 - VPD) * RH)) / Tair) * TARP) - (8.559431 - CC(CC(0.5224649, VPD), ID(0.6635644, 0.89438975 - RH)))"
35,12.076801,"(ND(-1.8812528, SR(-10.043825, ND(CC(VPD, NP(ID(0.6638085, RH), 0.89434445)), RH * (NP(RH_1hr, -0.29447594) - VPD))) / Tair) * TARP) - (8.559431 - CC(CC(0.5224649, VPD), ID(0.6635644, 0.89438975 - RH)))"
37,11.9592495,"(TARP * ND(-1.8752158, SR(-10.043825, ND(CC(VPD, NP(ID(0.66381043, RH), 0.8940658)), (NP(RH_1hr, -0.29447618) - VPD) * RH)) / Tair)) - (8.559431 - CC(NP(0.52236843, TARP) / VPD, ID(0.6635644, 0.89438975 - RH)))"
39,11.913097,"(TARP * ND(-1.8752158, SR(-10.043825, ND(CC(VPD, NP(0.8940658, ID(0.66381043, RH))), (NP(NP(RH_1hr, TARP), -0.29447618) - VPD) * RH)) / Tair)) - (8.559431 - CC(NP(TARP, 0.52236843) / VPD, ID(0.6635644, 0.89438975 - RH)))"
