Complexity,Loss,Equation
1,67.84314,"TARP"
3,25.601805,"TARP * 1.1563959"
5,24.759375,"(TARP * 1.232018) + -3.2729626"
6,21.646826,"(TARP - sqrt(VPD)) * 1.315598"
7,21.609573,"(TARP - (Tair * 0.22048189)) * 1.3610675"
8,21.179499,"(sqrt(RH + 1.3112688) * TARP) - 5.4976854"
9,20.776896,"sqrt(RH + 1.4109163) * (TARP - sqrt(Tair))"
11,20.557335,"(((0.012445587 - (Tair * 0.00024335705)) * TARP) + 0.92914194) * TARP"
13,19.832014,"(TARP * 1.3771664) + ((1.3771664 / (VPD - 39.999233)) - (Tair * 0.32958376))"
14,18.187382,"((0.418224 / ((VPD + -6.4491835) - Tair)) + (TARP - sqrt(VPD))) * 1.3113947"
15,17.261276,"(1.4170414 * (TARP + (1.4170414 / ((0.42629328 - RH) * 34.880466)))) - (Tair * 0.397886)"
17,16.972773,"((1.5289444 / (1.776881 - ((0.37353045 - RH) * -35.111008))) + (1.4037046 * TARP)) - (Tair * 0.38145036)"
19,16.758444,"(((RH + TARP) * 1.3975179) + (1.4027879 / (1.8620304 - (-35.11568 * (0.37118703 - RH))))) - (Tair * 0.3893295)"
21,16.725126,"((((TARP + RH) * 1.4150598) + (1.4213743 / (1.7781962 - ((0.37353045 - RH) * -35.111008)))) + RH) - (Tair * 0.42272413)"
22,15.738444,"(((-0.8789754 / ((-6.486408 - VPD) + Tair)) + (0.47236246 / ((VPD - Tair) + -6.444059))) + (TARP - sqrt(VPD))) * 1.3090535"
23,14.805847,"((0.54317224 / (VPD + (-6.4527955 - Tair))) + ((TARP * 1.4366394) + (1.4157364 / (VPD - (Tair + -6.4906535))))) - (Tair * 0.42167893)"
25,12.84951,"(1.5654392 / (1.7781962 - ((0.37359935 - RH) * -35.111008))) + (((0.5455114 / (VPD + (-6.45278 - Tair))) - (Tair * 0.4166761)) + (TARP * 1.4213742))"
27,12.536766,"((0.5530364 / ((VPD - Tair) + -6.452772)) + ((1.5414732 / (1.7781962 - ((0.3736209 - RH) * -35.111008))) - (Tair * 0.42906886))) + ((RH + TARP) * 1.4213743)"
29,12.417238,"(((1.5414732 / (1.7781963 - ((0.3737394 - RH) * -35.111008))) - ((Tair * 0.44162697) - RH)) + (0.555301 / (VPD + (-6.452748 - Tair)))) + ((TARP + RH) * 1.4213743)"
30,12.218241,"((0.9064367 / (VPD + (-6.429478 - Tair))) + ((TARP - ((Tair * 0.33137137) - (sqrt(VPD) * RH))) * 1.4037046)) + (1.48764 / (1.7891794 - ((0.37333357 - RH) * -35.111008)))"
32,12.202556,"((0.9064367 / ((VPD + -6.4294786) - Tair)) + ((TARP - ((Tair * 0.33137134) - (RH * sqrt(VPD)))) * 1.4037046)) + ((RH_1hr - -1.0682361) / (1.7891794 - ((0.37357542 - RH) * -35.111008)))"
34,12.17216,"((1.6386826 / (1.7891794 - ((0.37361842 - RH) * -35.111008))) + (-6.4294786 / TARP)) + ((0.9064367 / ((VPD + -6.429478) - Tair)) + ((TARP - ((Tair * 0.32977018) - (sqrt(VPD) * RH))) * 1.4037046))"
35,12.166005,"(((1.5690844 / (1.7891794 - (-35.111008 * (0.37353045 - RH)))) + (-6.4294786 / TARP)) + (0.9064367 / (-6.4294786 + (VPD - Tair)))) + ((TARP - ((sqrt(0.10874837) * Tair) - (sqrt(VPD) * RH))) * 1.4037046)"
36,12.014315,"(((TARP - ((0.33137134 * Tair) - (RH * sqrt(VPD)))) * 1.4037046) + ((0.9064367 / (-6.4294786 + (VPD - Tair))) + (1.5121888 / (1.7891794 - (-35.111008 * (0.37353045 - RH)))))) + (-0.9704447 / (TARP - Tair))"
38,11.742355,"((TARP + (((1.1185714 / (1.7891794 - ((0.37362885 - RH) * -35.111008))) + (-0.5406371 / (TARP - (Tair / 0.5545934)))) - ((Tair * 0.32977024) - (RH * sqrt(VPD))))) * 1.4037046) + (0.9064367 / ((VPD + -6.429478) - Tair))"
39,11.742218,"((TARP - ((sqrt(0.10874837) * Tair) - (sqrt(VPD) * RH))) * 1.4037046) + ((0.9064367 / ((-6.4294786 + VPD) - Tair)) + ((1.48764 / (1.7891794 - (-35.111008 * (0.37353045 - RH)))) + (-0.9704447 / (TARP - (Tair / 0.55459243)))))"
40,11.516797,"(((RH / (VPD + (sqrt(Tair) - Tair))) + (0.9064367 / (-6.4294786 + (VPD - Tair)))) + ((TARP - ((sqrt(0.10874837) * Tair) - (sqrt(VPD) * RH))) * 1.4037046)) + (1.5690844 / (1.7891794 - (-35.111008 * (0.37353045 - RH))))"
