Complexity,Loss,Equation
1,67.84314,"TARP"
3,25.601805,"TARP * 1.1563959"
5,24.759375,"(TARP * 1.232018) + -3.2729626"
6,21.646826,"(TARP - sqrt(VPD)) * 1.315598"
7,21.60958,"(TARP - (Tair * 0.22057594)) * 1.3611755"
8,21.598333,"(TARP * 1.3350223) - (sqrt(VPD) * 1.4781535)"
9,21.009237,"TARP * ((TARP * (RH * 0.010499632)) + 0.9991297)"
11,20.731106,"(1.2536672 + (RH * 0.23378262)) * (TARP - (Tair * 0.19413258))"
13,19.903776,"(TARP * (22.387848 - (VPD / (TARP - (Tair * 0.6494915))))) / 18.21381"
15,19.655033,"((TARP - 1.5983151) * (22.369804 - (VPD / (TARP - (Tair * 0.6353789))))) / 17.557673"
17,19.213055,"(31.708395 - (VPD / (TARP - (Tair_1hr * 0.6214128)))) * ((TARP - (Tair * 0.16086514)) / 23.501867)"
18,18.519394,"(((TARP - sqrt(VPD)) * 41.275524) + (Tair / ((Tair - (VPD * 1.1401364)) - -12.201671))) / 31.904419"
20,17.832409,"(((41.275524 * (TARP - sqrt(VPD))) + (Tair / ((Tair - (1.1401364 * VPD)) - -12.201671))) - VPD) / 31.06843"
22,17.736067,"(((1.0205688 / ((Tair - (1.139663 * VPD)) - -12.202015)) + (TARP - sqrt(VPD * 1.6348207))) * 41.275524) / (30.764282 - RH)"
24,17.553776,"((((TARP + (0.8278926 / ((Tair - (VPD * 1.1401364)) - -12.201671))) - sqrt(VPD)) * 41.275524) - Tair_1hr) / (31.875345 - (RH / 0.40286222))"
26,16.774624,"((Tair / (((Tair * 1.1290176) - VPD) - -2.2293313)) + ((((TARP - sqrt(VPD)) * 41.20461) - VPD) + (Tair / (VPD + -12.155478)))) / 30.85413"
28,16.609015,"(((VPD / ((Tair - (VPD * 1.1398561)) - -12.2017975)) + (((TARP - sqrt(VPD)) * 41.275524) - VPD)) - (VPD - (41.275524 / (VPD + -12.201671)))) / 30.55231"
30,16.477612,"(((41.275524 * (TARP - sqrt(VPD))) + ((Tair / ((Tair - (VPD * 1.1400255)) - -12.201671)) - (VPD - ((Tair_1hr * 1.638975) / (-12.201671 + VPD))))) - VPD) / 30.55231"
32,16.425503,"(((((TARP - sqrt(VPD)) * 41.275524) - VPD) + ((Tair / ((Tair - (1.1400255 * VPD)) - -12.2017355)) - (VPD - ((Tair_1hr * 1.638975) / (VPD + -12.201671))))) / 30.55231) - -0.24904338"
34,16.408985,"((((Tair / ((Tair - (VPD * 1.1400255)) - -12.2017355)) - VPD) - (VPD - (((-12.201671 + Tair_1hr) / VPD) * (41.275524 / (VPD + -12.201671))))) + ((TARP - sqrt(VPD)) * 41.275524)) / 30.55231"
35,16.391825,"((((((TARP - sqrt(VPD)) * 41.275524) - VPD) + ((Tair / ((Tair - (1.1400255 * VPD)) - -12.201671)) - (VPD - ((Tair_1hr * 1.638975) / (VPD + -12.201671))))) / 30.55231) - RH_1hr) + sqrt(RH)"
36,16.289106,"((((TARP - sqrt(VPD)) * 41.275524) + ((Tair / ((Tair - (VPD * 1.1401364)) - -12.201671)) - (Tair / ((VPD * 1.1532899) - Tair_1hr)))) / (30.764282 - (RH + (RH - (RH_1hr / RH))))) - 0.81328773"
38,16.28828,"(((((TARP - sqrt(VPD)) * 41.275524) + ((Tair / ((Tair - (VPD * 1.1401364)) - -12.201671)) - (Tair / ((VPD * 1.1532899) - Tair_1hr)))) / (30.764282 - (RH + (RH - (RH_1hr / RH))))) - 0.81328773) - 0.088312976"
